,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,0.17999397,-0.36242044,0.019723227,0.09165498,-0.17088345,0.28598124,0.20553689,-1.33079,-0.6854976,0.50015354,-1.363701,0.9247238,-1.5752455,0.5221208,0.7488138,-1.5804294,0.44417918,-0.6179423,1.5445828,2.3769243,-1.0866685,-1.1411183,0.32904357,-1.8811526,-1.0331988,-0.06625748,1.084365,1.5428622,0.17505418,-0.9252706,0.30874178,-0.4626033
anatomical_abnormality,0.5037195,-0.50226295,0.19331537,-0.47475457,-0.38529357,-0.10771882,0.9483069,-1.8837934,-0.81360495,0.8255222,-1.1621361,1.0784447,-1.9364781,1.4707459,0.65955615,-0.26055172,0.50918925,-0.75016546,1.6431847,3.1110432,-0.53982115,-1.0853943,-0.35325807,-2.1475496,-1.1429807,-1.1502417,1.0115681,1.907566,0.023428682,0.061431583,0.019502724,-0.50110376
alga,-0.55519265,-0.5048092,-0.49471357,0.0029473836,0.17763881,0.68055284,1.2073693,-1.7644199,2.2776167,0.8471881,-1.1394383,0.7167428,1.741079,-0.28209674,2.5474868,-0.0725638,-1.6669785,0.06741259,0.2198988,1.656234,0.23548469,-0.62431914,-1.3438593,-1.1615851,-1.6580607,0.104944035,-0.40225247,0.55695325,0.8175588,-0.11092254,-1.0008869,-2.6097946
mental_or_behavioral_dysfunction,0.65171057,-1.6827035,0.8853299,0.40719578,-1.8478675,0.19104381,1.1681287,-0.4848337,-0.57925874,1.1596439,-0.8191437,1.1956202,-1.6052123,0.42007923,-0.09283409,0.6106597,0.95958525,-1.0510478,1.4826522,0.679157,-1.0887178,-0.99478406,-0.65183425,-1.3602495,-0.8013855,0.7895913,0.34395733,-1.2701149,-0.17578223,-0.7664756,-0.9200732,-0.94923306
health_care_activity,-1.1123704,-0.9485989,-0.32565218,-0.06263058,-0.71910256,-0.84995997,-0.016520945,-0.7471483,2.2657979,1.4661088,-0.15864135,-0.56773573,-0.7923908,0.06101514,1.0272386,0.11750525,0.4522136,-0.19594009,1.1874293,-0.1692051,-0.4945065,0.30003557,0.339599,-2.1413405,-0.5358791,-0.276348,-1.6888571,-0.38444063,0.7490547,-1.1155757,-2.7208247,-1.1332682
population_group,-0.8480904,0.65877056,-0.1498379,0.042580266,-1.4634672,0.5456402,2.600512,-1.5392039,0.30074847,0.8788928,-1.4672118,1.5971954,-1.3373387,0.7316337,1.2836425,-0.09296997,-2.2735648,0.0053940085,0.4091376,-1.4651313,-1.0105419,1.3892852,0.32739714,-1.325753,0.11911682,0.12068342,-0.9320313,-0.06010519,-0.665696,-0.15856197,0.5839733,-2.2827537
clinical_attribute,1.1582364,-2.069628,-1.6571705,0.004453948,-0.4908849,0.6800894,0.65005416,-1.653208,1.9886348,0.4113022,-0.4774046,1.7268507,-2.0137196,0.87343085,-0.422846,0.16332531,-0.41295883,-0.56383264,1.5819542,-0.07772734,-0.8603327,1.7428323,0.21074815,-1.7297428,-0.16006717,-0.44878256,-0.4115531,-0.43718293,-0.3253956,-0.84293455,-0.16823715,-1.9972602
body_part_organ_or_organ_component,1.4911225,1.0562906,0.08559685,-0.6045299,-0.41183853,0.58458287,-0.26358643,-1.8748446,-0.6891278,0.708275,-1.2124531,-0.0465128,0.5547581,0.38068146,-0.40681583,-0.14649107,-0.46528545,-0.7092873,1.2797406,0.750472,-0.81703043,-0.6859871,-2.2461743,-0.75913167,-1.0067049,-0.95092183,-0.6865938,0.9248514,0.22271666,-1.500749,0.2919006,-1.6068791
biologically_active_substance,1.00773,0.012424182,0.32134894,-0.7755199,-0.9904218,0.8517355,0.8494484,-0.6031554,2.1600797,1.0181657,-1.0655513,-0.21899225,1.6360296,0.52683276,-0.4742564,0.0598916,0.32741827,-0.41469017,0.6601171,0.048302297,0.29090092,-0.7270911,-0.122358896,-2.515114,1.6789402,-0.59294885,-1.1938547,-0.64023656,0.37888852,-1.0189638,-0.04486681,-1.2415273
disease_or_syndrome,0.5238903,-1.5495118,0.25081223,0.44867572,-1.5502852,0.7513707,0.77562964,-0.6593491,-0.5501427,0.9788318,-0.72439367,0.95123965,-1.601941,1.1071672,0.4809291,-0.42432764,0.9033315,-0.47464016,1.4677371,0.8009452,-1.1912469,-1.0727335,0.2273297,-1.0633754,-0.7501488,0.4461532,0.27315608,-0.7712447,-0.36207774,-0.108026326,0.07118484,-1.4160615
