,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
location_of,-1.2710564,-1.5007105,-0.28121793,-0.9193437,0.7571098,-1.3092121,0.37889487,-1.3158436,1.6743234,-0.82225245,1.6729771,0.2515103,0.019617539,1.0213145,-1.6259512,-1.0064712,-1.5650812,0.3743392,1.0523453,0.9791206,0.23581547,1.1228442,1.1223809,-2.1338458,-0.61166364,0.4612907,-0.7913723,-0.97022074,1.7511637,-0.5577263,-1.6802282,-1.092899
manifestation_of,0.6914107,-0.056968614,1.2212154,0.13638656,-1.5489295,-0.29645905,-1.4776591,-2.7467213,0.0061995042,-0.8465259,-0.27762648,-0.40574324,2.8855975,-0.17716017,-2.349938,-0.072820164,2.2210195,0.9899189,0.93810993,-1.3143592,-0.34862816,0.64714724,-2.5941565,-1.5834106,2.1469789,1.1152955,0.46176755,0.19888549,-0.52314955,-2.7220564,-0.07517013,-1.4961215
isa,1.1681755,1.5059835,-0.94730675,1.1873186,-0.33040208,-0.88150525,-0.8675682,-0.676055,0.93773806,0.15954366,-1.8434122,0.7824569,0.8428508,-0.64222765,-0.25609803,-0.17901835,0.8899594,-0.9778325,-3.0829265,1.0053289,0.8740879,1.733381,-0.792248,-1.423416,0.4290972,-1.0135087,0.006000192,-0.5683708,-0.47149673,0.5832946,0.29932597,-1.4627478
affects,-0.37344,1.4571589,-0.6437621,-0.58984834,-0.09634809,-0.8454903,-0.7109275,-1.8434366,-1.2662383,0.68483514,-0.13475871,0.86197305,-0.919698,-0.0655695,-0.6043953,-1.1419098,-0.2358229,-0.059214942,0.6501097,0.6059806,-0.17645958,1.241795,-0.19047731,-1.180418,0.54445755,-0.37365285,-0.37389827,0.9830304,0.16739313,-0.61134964,-1.3559989,-1.0979471
associated_with,-0.25632975,0.16358207,0.037090737,-1.3273333,1.0098592,0.44468993,-0.22430211,-0.88838315,-0.41559824,-0.60479194,-0.382691,-1.9334774,2.357938,0.43282288,-0.38141662,-0.0078047467,0.55161387,-0.37728423,-0.32287553,-0.5526579,0.9310162,-1.7169899,0.093792595,-1.5859308,-0.32543352,0.307056,-1.7408503,-0.35831124,0.05576242,-0.5736161,-0.036073584,-1.2630173
interacts_with,1.240144,1.3121637,-0.44460276,0.28232297,-0.42944226,-0.749211,0.33592582,-1.1033309,0.50301915,-0.21142049,0.12532648,-0.13792965,1.4965589,-0.03803145,-0.8318525,0.504168,1.0858094,-0.075758785,-0.16659915,0.45072192,-0.5335979,0.48915103,-0.64884835,-1.1504835,1.4048212,-0.5414182,-1.0104884,0.17581175,-0.16228548,-1.4789623,0.008372894,-1.229758
result_of,0.11458608,1.4914207,0.27632946,-2.8764849,-1.315937,-1.162552,-2.696538,-1.8879554,-0.0076330137,-0.14734727,-0.20197843,-1.1680641,2.662103,-0.94369864,0.02893997,-0.61637866,1.3521413,0.23557606,-0.19016355,0.98128176,0.41637158,-0.004025054,0.8949623,-0.9451191,0.026916597,-0.11391731,-1.9811865,0.38339964,-1.0870137,-0.8358036,0.08594721,-1.5125022
complicates,-0.5177913,0.75317425,-0.09721036,0.17957702,-0.27764222,0.0331882,-0.6328367,-2.9513452,-2.4006941,-0.9480156,-0.30975336,0.43112907,-0.123961106,-0.17647474,-0.37578535,-0.81838346,1.5458745,1.0248388,0.36113364,1.245777,0.604485,2.9715686,-0.2477713,-0.6390202,-1.142629,-0.2238806,0.22167422,0.038079794,-0.76996326,-1.5094241,-0.56823635,-1.6280124
occurs_in,-0.37998018,1.2139814,-0.6348205,-0.07428772,0.5613158,0.3750201,0.29174656,-0.8433793,2.5964732,-2.039641,0.47120962,0.9911095,1.826046,-0.9125637,0.081437774,0.5429666,-0.3895896,-0.5962663,-3.0953853,-1.5572144,2.3155744,0.21587275,-0.30056372,-2.1602728,-1.4111383,-0.8945745,-0.2915102,-0.73346764,-0.75785345,-2.6188238,-0.28371158,-0.046705402
uses,-0.3315932,0.052274022,1.7301184,-0.10945354,0.4368361,0.40790033,-3.2149327,-1.5214174,0.1967413,0.3599566,-0.49248603,-2.089243,-0.84940505,2.3251781,-2.5576718,-1.8212411,0.65012026,-0.044345014,0.77138,2.8784027,1.8358136,-1.3569134,-0.95405746,-1.6665258,-0.3106904,-0.886861,-0.109715074,0.5613211,-3.1547163,-1.5335115,0.12379534,-0.75319344
produces,-0.1464928,-0.9895749,-0.74179065,1.1097862,1.2601329,-0.94281554,-0.37397388,-1.2941443,-0.92432886,-0.6761556,1.1704799,-1.2046185,-0.18315281,0.44605714,-4.340489,-0.4195448,1.7025443,-0.5187083,-2.1118557,1.2011973,-2.2230337,0.6381914,0.24268079,-1.2477775,-3.3093226,-0.09324053,0.2810889,0.2045926,0.71111,-0.26389,-1.5358671,-1.1577026
degree_of,0.57167,1.9549682,0.33292767,0.6391662,0.116010115,0.34815952,-2.0180612,-1.1117101,0.95357066,-1.804173,-1.6411893,-0.7900088,1.25357,-1.119378,-2.1155148,0.50801766,1.2055736,-0.32660937,-1.1383374,-0.3208658,1.7440978,1.6314447,-0.3195291,-3.0333517,0.12004755,-0.9854216,0.27997956,0.056881282,-0.4251911,0.27673918,-1.257937,-1.1048768
connected_to,-0.24997665,1.1408061,-0.5041279,-1.0463802,-0.43924505,0.26146364,-0.85240555,-0.9172563,2.1183236,0.42588326,0.9308215,-1.8065408,1.2788491,-0.25512373,-0.9656314,-1.7052878,-1.2540848,0.3548185,-3.4204261,0.12988597,1.6456054,-0.74235696,1.8374265,-2.06076,-0.5984959,1.0403986,0.85820353,-0.47529018,1.3790855,-1.0958365,-0.39282283,-1.4006324
process_of,0.2411295,3.8754597,-0.16068739,-0.24892136,-0.28627574,-0.7173596,-1.0279124,-2.4031866,0.07362903,0.13048624,0.020100476,1.2760656,-1.2595727,-0.68214035,0.20215106,-0.22484806,0.25340417,-1.5023909,-1.5254987,-0.45822,0.06699015,1.53617,-1.6621011,-2.3518646,2.160843,-0.031256493,0.04719183,-0.4924312,-0.938098,-0.76531893,-1.9438518,-0.64199483
co-occurs_with,0.41707802,1.0771812,0.33800387,-0.06384221,-0.14190045,0.35523355,0.72587436,-1.1651554,2.3315797,-1.506646,-1.1536589,-0.6339591,0.9851602,-0.37695706,0.143667,-0.80210614,0.9049886,-0.44826904,-1.0033743,1.8253939,0.97073215,0.607069,-0.4393129,-2.0807867,1.0216093,-0.27747804,1.8177582,-0.744048,-0.82855695,-1.2872877,0.28536323,-1.4486852
disrupts,0.8002683,-0.9887187,-0.32111776,-1.2970362,-1.4090325,-0.46240777,-2.8851125,-0.6067665,-2.5058873,1.1006386,1.3046864,-0.1254722,1.7260711,-0.29831007,-2.274391,1.3084636,0.37973976,0.66083175,1.2230917,0.7469948,-0.72817624,1.3937907,0.1444319,-2.0395627,-0.36322454,-0.19518255,-0.70093906,1.699579,2.9550202,-0.08260215,-1.1756271,-0.7825059
issue_in,-0.39908642,0.043450877,-0.100181274,1.9848539,-0.5608947,0.5447703,0.32813507,-0.083254725,-0.25117067,-2.1575732,-1.1463594,-0.1072058,-0.011425961,0.41035762,-0.09022603,1.4160385,0.4433994,-0.2936883,-0.023008034,0.40423846,0.18594493,0.26541975,-0.24248087,-0.8024606,-0.45808423,0.48386022,-0.008543865,-0.30307811,-0.43573606,-1.2564174,-1.3409461,-2.636551
part_of,0.4896086,-0.6471305,-2.6045861,0.58898395,-2.0583773,-0.006033564,-0.85669994,-2.3394742,-3.2138312,0.7751393,0.80980605,0.106085256,0.6394431,-0.23658125,-0.99850553,-0.5291364,-0.013447995,-2.620119,-2.7842786,1.4742473,0.98384297,-1.761263,1.7217144,-2.4938197,3.2284021,2.245304,-1.562439,-0.18076698,0.32603407,-0.9231969,-1.489027,-0.81408834
