,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
location_of,-1.9493473,1.1875532,-3.074116,3.09086,2.9157732,-4.881854,1.5813154,0.19576277,0.5736085,1.8730563,1.8039259,-4.621263,-1.1825547,-3.105784,-1.6000936,-4.113565,-0.21629848,-0.59442675,-0.56936616,-1.1503807,-1.683872,1.2593122,-2.5251455,-0.5218289,1.3365587,1.1077181,0.12411481,-0.46644002,0.13331126,0.38511363,-1.4474392,-0.15137908
manifestation_of,-2.635364,-2.39521,3.3876245,2.1179516,0.39076826,-3.2353497,-3.8046274,-1.0020792,0.41549647,4.6081567,-2.4897664,0.5690827,2.012445,-3.347977,0.32873452,-1.2094445,-1.9346175,-0.37911078,1.5884194,0.5080846,-0.6343238,0.4396048,-1.0253822,1.5145965,-0.4896017,-1.8199095,-0.8855115,0.22165096,-1.1662261,-0.0064999275,0.38688967,0.75260675
isa,-2.608107,-0.9901625,-2.174658,0.07032883,0.92494977,-2.1641693,-0.25640947,-0.73488927,1.292992,0.1798302,-3.3064916,2.252555,0.66753054,0.41482353,1.9007134,2.5782287,-0.65128875,-0.38741407,0.5565907,-0.3583549,-0.7399489,1.30287,0.6803689,-0.019297995,-0.607617,-0.096759416,-0.82593733,-0.10451158,0.0024727806,-0.4984993,0.9737034,0.096984
affects,-1.5178568,3.1422536,-1.026037,-0.14222905,-2.6272757,-1.8208351,1.161327,-0.73600996,0.45928034,-0.22282457,3.6258154,2.5277855,-1.9011891,0.16194916,0.44220096,-1.5191779,0.503143,-1.9730709,0.58745176,1.0707811,-1.2491515,-0.60929483,-0.42581594,-0.4817563,0.01284222,-0.9752404,0.54564834,-0.28283042,-0.052795794,-0.06804639,-0.63217926,0.54037756
associated_with,-2.63684,-0.34825423,3.3251834,-0.5867583,-1.742737,2.5941544,-0.30994782,-2.0654254,0.33455378,-1.7983525,-2.7792754,-2.3692844,-1.0562112,0.9428753,-4.7957435,2.5654333,0.8575434,0.68827474,0.634768,2.2103422,-0.36627498,-1.70153,0.96967095,-0.43616447,-1.0155078,0.4486252,-0.73182523,-2.2084932,0.6041873,-0.3918534,0.23390518,-0.55134636
interacts_with,1.5419503,0.043080047,-0.22148152,-3.395917,3.0562775,1.457534,-1.51007,0.8474069,-1.4485419,2.9066584,0.26121184,0.02084079,-2.9582226,0.5428698,-3.922547,0.6131879,0.10401219,0.579689,0.55068785,-0.22148888,0.28241593,0.64171785,-1.315658,-0.6595954,0.0503122,-0.31684577,0.13248199,-1.0115495,-1.0041561,-0.13690749,0.24442667,-0.018749733
result_of,-2.1793566,-2.4958081,5.836465,0.43062478,1.3541726,-2.947077,0.7944438,-0.8416905,3.579117,-0.31324673,-1.093967,1.9450203,-0.17877023,3.3849096,3.0802035,0.9899034,0.36152202,-1.1003778,-0.055150244,0.54646856,-0.6175978,1.5494463,0.56693834,0.086863756,1.1070676,0.1894716,-0.81139684,-0.012009863,-0.75140876,-0.49522808,0.34232637,-0.25295594
complicates,-3.3690464,0.791883,-1.0744865,2.5411696,2.799383,0.034463923,-4.209763,1.7244186,-0.26689267,1.8047616,1.442934,3.3663847,-1.2499629,3.7764237,-0.93027985,-0.004374759,-1.6116842,1.7534633,-1.1339185,1.3773748,0.37221065,0.9888698,-0.9169586,-1.7414674,0.86046803,-0.35319066,0.34731638,-0.42563277,-0.18327707,0.15130667,-0.18970266,1.2679305
occurs_in,1.0827477,-6.2784114,0.4763333,0.13312654,1.9457638,1.4469187,-0.36966956,-4.4051676,1.362137,0.47937062,4.389585,0.8426641,5.090663,-0.37227425,-1.4091996,-0.93628615,-0.07390921,0.6991521,0.12599717,-0.57986546,2.4945524,-0.5309529,0.4235466,0.42491645,-0.84640676,0.19616428,1.3648379,-0.98705673,-0.35567573,-0.24856628,0.031637415,-2.044441
uses,-1.1954427,0.14740114,5.6932344,1.3734865,4.055137,2.6892738,-2.2638285,0.3632738,1.9800574,3.4011807,-0.42021427,-4.270901,-2.7824116,2.120802,-0.7596069,-1.097014,0.50590706,0.75736773,0.4292768,0.6218637,1.3497487,1.6112087,-1.3137728,-1.7418433,-1.10231,-1.7237688,0.54444474,-0.111070365,0.7105988,0.36608344,0.9141297,0.20654744
produces,-0.50180835,-1.6741687,-3.8902984,-3.388518,-1.2259703,3.3712423,0.049882293,1.0694069,-2.528045,-2.3302035,1.5467594,2.6240196,-1.3842827,-1.6663603,2.1329052,-3.0537665,-0.36398816,0.18187788,0.39412796,-0.3694101,-0.97532916,-2.387595,0.7541937,-0.57957983,1.3488888,0.4508671,0.028594323,0.967803,-0.71775705,0.16812603,0.06788097,1.0403199
