,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,-2.7607708,1.4637895,-3.1822977,0.6242704,-1.4210807,2.385458,-0.1726196,-5.147655,3.54059,-1.1423748,-3.173966,-1.1210548,3.0521858,2.0257895,-0.205746,-0.655474,-1.2564497,-0.6917086,0.48818696,0.7336148,0.038005635,1.4326996,0.87074524,1.8105391,1.1684731,-1.4759994,-1.864242,-0.63624394,0.73455286,2.5962749,-0.35252786,0.13250995
anatomical_abnormality,-2.5343435,0.0854615,-2.2599342,1.6588743,0.038364314,-3.224992,0.18541934,3.1533282,-2.9693525,0.35021996,1.790523,0.1462804,-1.2368327,2.1416843,-5.328736,-0.46481597,-1.2536939,1.3816273,-1.0703801,0.24157305,-0.7401336,-1.4329141,-0.92988807,0.3780928,0.45187062,1.8290727,2.186908,1.8814234,0.19952938,-2.674387,0.45087922,0.19889942
alga,2.0552845,0.95360005,3.013184,-0.15117693,-1.2414895,4.020847,-0.07854339,-0.901879,-4.8569746,-0.19600677,2.0210068,0.35828823,-0.7946374,0.5044815,0.75330985,5.879186,0.2562791,0.55976146,0.15703136,1.0960733,2.1709588,0.7206401,-1.8981259,-1.537725,1.4946351,1.7518082,-1.7177705,-2.6292737,0.8397503,-1.5555522,0.06956552,0.04083017
mental_or_behavioral_dysfunction,1.6720371,-2.0951252,5.166991,1.3236995,-5.7204504,-1.7166557,0.85297596,-0.80321693,-0.009578189,-0.34682494,-1.2485561,3.0592854,3.440392,-1.6034809,0.9489185,-2.3199883,-1.0808785,-2.108705,-0.46412638,0.11825381,-1.8065733,-2.1877337,-2.1114752,0.59104574,-0.93362206,-0.538049,0.83177227,-1.8686862,-1.1812441,-0.3905589,0.7781199,0.31533042
health_care_activity,-5.668966,1.2516384,-0.382857,-0.60967165,-3.6845663,1.416553,4.832574,-0.22635871,-0.2187254,2.0038447,-3.2031696,-0.5965243,-3.3269227,-0.020588081,-0.31451827,3.183879,1.9802109,2.074965,0.63531905,2.4322064,0.42452505,-0.5986941,1.9645442,-2.5203035,2.3263702,3.3877494,-0.9079675,1.3357241,-2.5693119,1.1933173,-2.2094097,-0.3759827
population_group,2.4237814,1.1618135,3.2984922,-3.321354,3.439619,0.66212237,1.2933817,3.620473,1.469964,1.6594869,-2.1302347,-1.401987,0.31515497,-3.724525,0.19131893,-1.9793757,-4.5764117,-0.38343668,-3.2008743,-3.1849923,1.8351617,-0.36486936,1.4374106,0.7618191,-1.8541102,-2.1478465,0.7867529,-0.27287087,-1.0824844,-4.0320187,-0.27757543,-0.36606866
clinical_attribute,1.7044475,0.4313224,-2.1947758,2.326006,-1.7363042,-2.2503014,0.26440644,4.4326224,3.607957,-0.78582203,3.4379122,0.9669157,-1.0389122,-2.9044828,3.9047925,-0.8856317,1.0473049,-0.56721854,1.5326493,1.8234754,-1.3169885,-3.1433444,2.0888085,-0.79004925,1.362797,0.60397977,0.312357,-1.2514763,-1.065411,3.2066023,0.6735129,3.4546337
body_part_organ_or_organ_component,-4.9409566,0.105082035,-2.6067789,-0.60119444,0.33944798,5.0977025,1.9271036,-3.3038852,-0.45540467,-2.893572,-2.6800523,-1.5164689,1.3454549,4.4673586,-1.6028748,0.16634971,1.8815258,-3.0892987,-2.984694,-2.3668225,-4.151347,1.801406,1.7916107,0.1517103,-0.99840987,-0.5817981,0.018839091,0.11327335,0.47401243,2.8496387,-0.4862739,0.81341535
biologically_active_substance,2.7333071,-0.65369,-1.555993,-2.6216156,1.9403278,-1.60302,2.5663815,-0.43473086,1.5031496,5.9166374,1.8563937,-0.18791853,4.0132594,-1.6036887,-4.6645713,0.9786941,-1.4715368,0.5916366,0.2874869,-0.42516634,2.1937835,0.3682405,2.171457,-2.1383789,-1.0156171,1.8835155,-2.1469743,0.5044476,-3.7306259,-1.9133247,-0.3980409,0.061015185
disease_or_syndrome,1.5967718,-2.6690633,2.5627337,-1.2503053,-1.1049931,1.9159669,1.9093398,-2.2282095,-2.8080919,0.21277317,2.627494,2.4420962,4.3104253,-0.5741763,-0.109388046,0.13565868,-0.43387133,0.65941775,-0.79415935,1.1087213,-0.89119095,1.0263504,-2.1283655,1.2116423,-2.205641,0.01978289,0.41919073,-1.0189428,-0.9336731,-0.2780797,-0.7103385,-0.52088463
