,0,1,2,3
location_of,0.4853475,-0.20268002,0.45601887,-0.45288765
manifestation_of,0.3129515,-0.53245205,-1.4002719,-0.02206413
isa,0.22845435,-0.48922476,0.14883569,-0.99130976
affects,0.40032658,-0.8178115,-0.31155053,0.27866235
associated_with,-0.33000958,-0.17537734,-0.6478685,-0.8263366
interacts_with,0.292725,0.09698787,-0.27861363,-0.25825623
result_of,-0.0056572924,0.1317,0.1664973,0.030509122
complicates,-0.123590775,-0.16164255,0.50992787,0.81374353
occurs_in,-0.5562992,-0.22751737,1.5585493,-1.5210272
uses,0.050573763,0.70297116,-0.6167626,1.0487831
produces,0.36818132,-0.8399562,0.37193167,-0.23869681
degree_of,-0.045891043,-0.9813743,-0.7108544,-0.7039286
connected_to,2.5779088,0.40825984,-2.4714727,-1.7610608
process_of,-0.29808733,0.25128746,0.3146342,0.50358343
co-occurs_with,0.8347506,-0.08018008,1.576829,0.69236916
disrupts,0.7019844,-0.51422715,0.1787958,-0.58112127
issue_in,0.2726695,0.5310718,-0.092446566,-0.73922807
part_of,-2.3061333,2.0088563,-0.89294446,-0.8900794
measures,1.2504497,0.4354599,1.460018,0.9612253
prevents,-1.7412956,-1.3464088,0.39467013,-0.20187695
causes,-0.32319596,0.27273038,0.078997105,-0.6790336
indicates,-0.8684713,-0.8363269,1.8540355,2.2090096
treats,0.8337629,-2.049842,0.06176461,0.7269195
evaluation_of,-0.030066326,1.3216838,0.78386146,0.26059902
diagnoses,0.35629776,0.32277614,1.047373,-0.39121976
exhibits,2.0571795,-0.76117,-1.5245236,-2.81075
ingredient_of,-0.15973952,-3.0922272,0.18771592,-1.223857
property_of,1.7167774,0.30153355,1.1367915,0.1666502
manages,-2.705527,-0.8188602,0.26824734,5.5528107
assesses_effect_of,0.6798364,-0.49965253,1.804814,-0.468432
method_of,1.6500428,1.6907488,-1.0058709,-1.5785211
measurement_of,0.012075609,0.5388778,0.54714686,-0.26092172
precedes,0.5355037,0.46185416,-0.5195879,0.7641854
consists_of,0.19270565,3.0150037,3.0792942,-2.4677715
performs,0.53414226,0.42233145,0.10452371,-1.1040509
conceptual_part_of,-2.094284,-2.8216636,-2.3228588,-0.07180512
analyzes,-0.35546598,0.59088695,0.31200308,0.8342698
carries_out,0.6261883,2.0078788,0.5092573,1.1016932
developmental_form_of,-0.10639182,4.245377,0.97921425,-1.5405846
contains,-2.4649727,2.3998842,-0.56921804,0.8923931
adjacent_to,0.6133714,-2.9484794,-3.8124285,0.58558035
interconnects,0.8651469,-0.9328934,0.18439598,4.5278673
conceptually_related_to,1.3009689,-5.2558694,2.914552,4.1326466
surrounds,-0.19110277,1.9070129,2.5822625,0.54712695
derivative_of,4.4744196,2.2930326,-3.7043169,-2.6884532
practices,-1.149497,-1.3737999,-3.7499893,-0.69171363
