,0,1,2,3
acquired_abnormality,1.1425898,0.34236115,-1.4375681,0.2433449
anatomical_abnormality,0.032770164,-1.7533958,0.7136573,0.031394638
alga,1.8283001,0.0029275776,0.039066996,1.1777303
mental_or_behavioral_dysfunction,-0.38245416,0.5725727,1.1212847,-0.26511762
health_care_activity,-2.3083549,0.7417186,-0.32504112,0.9091298
population_group,-0.74107784,-0.51826376,-1.4857394,-2.215303
clinical_attribute,1.1188377,-0.70185065,-0.8041776,1.5247427
body_part_organ_or_organ_component,2.5754552,0.13909656,-0.5202072,1.3191456
biologically_active_substance,0.6669639,1.4831933,-1.0003117,0.7021403
disease_or_syndrome,-0.5160603,-1.4023372,-0.14670983,-0.31545037
carbohydrate,0.21324466,0.8313882,0.42098692,-1.0305785
molecular_sequence,-0.15201922,1.6585418,0.93772745,-0.006536687
steroid,1.0260247,0.57723945,-0.80757004,0.607006
experimental_model_of_disease,0.4633503,0.644298,-0.31264368,-1.1687342
patient_or_disabled_group,-0.09158625,-0.5357468,0.56131005,2.2315483
professional_or_occupational_group,-1.1041023,0.6986311,-1.1104902,0.030547298
nucleic_acid_nucleoside_or_nucleotide,-0.24916837,0.4015721,-1.0930172,0.988173
organism_function,0.4533694,0.6411597,-0.59703916,-0.39477092
mental_process,-0.99842834,1.1510864,-0.52139163,0.27868575
therapeutic_or_preventive_procedure,1.2470521,0.9739916,0.009789574,0.1937928
cell_function,0.07021521,0.53793895,0.024301847,-1.4549518
pathologic_function,-0.0359155,-1.1629885,1.5111398,-1.3664744
organ_or_tissue_function,1.2500025,0.5640971,-1.094828,-0.26110342
enzyme,-1.2527409,1.7051338,-0.27059975,-0.63286746
cell,0.011794401,0.9298483,-0.104997665,0.8444354
cell_component,0.3358843,1.1216166,-0.46100572,0.7277849
cell_or_molecular_dysfunction,-0.41574132,-1.011095,0.15114263,-1.2613361
hormone,0.18179896,1.9630464,0.79268616,0.5867838
organic_chemical,-1.6126429,-1.3859495,-0.71696246,-1.9063934
behavior,-1.5666243,0.31339055,0.104161605,1.2499467
neuroreactive_substance_or_biogenic_amine,-0.18827367,0.19840193,-0.42896518,-0.21081765
embryonic_structure,-0.9682625,-0.2951852,0.08822534,-1.0576966
neoplastic_process,-0.40086254,-1.1344128,-0.9917928,-0.594686
laboratory_procedure,-0.7434901,0.073318996,0.81025356,0.69443166
natural_phenomenon_or_process,-1.5781538,0.5434044,0.6340296,2.4611454
immunologic_factor,-0.36111477,0.67957443,-0.7961098,0.065468684
receptor,0.5189537,0.7996494,1.5913897,-0.1884333
self_help_or_relief_organization,1.829423,0.26749265,0.8649554,2.0489442
pharmacologic_substance,-0.4811766,-0.2320089,1.1212788,-1.3160222
molecular_function,-0.19663975,-0.08045401,1.8330222,1.0666726
regulation_or_law,0.4546434,-0.75042814,0.008857862,2.6466413
human,-0.5884752,0.14216124,1.9639975,-3.8107333
eicosanoid,2.2884104,0.5184686,-0.3345823,-0.48719057
amino_acid_peptide_or_protein,-1.2158282,-1.416819,1.4998173,2.2831366
group_attribute,1.953929,2.9422183,-0.82726157,0.091055095
organism_attribute,0.22165674,-1.3058301,-0.8927985,1.7851729
finding,-1.0427508,0.6341724,0.06807204,2.1378574
congenital_abnormality,0.1287532,-0.43756434,1.943552,-0.9795032
anatomical_structure,-0.05599305,-0.642388,1.6505493,1.0224029
molecular_biology_research_technique,-0.7793456,0.6493337,-0.17014836,0.4053251
diagnostic_procedure,-0.8347055,0.76406264,-0.2779549,1.2444239
biologic_function,0.060199678,0.22243077,-0.63303775,0.6370105
tissue,-1.5983264,0.2359762,-0.46166745,1.4216765
hazardous_or_poisonous_substance,1.586658,0.38394427,-0.124204025,-0.7213619
chemical_viewed_functionally,-0.27649736,0.8049632,2.501449,-2.075382
reptile,-1.0223346,0.2275439,-0.044408597,1.1147414
family_group,1.5108876,2.425261,-0.47480637,0.9382396
virus,0.5729269,0.30313328,-2.765779,-1.0107863
indicator_reagent_or_diagnostic_aid,-0.6702261,0.19371872,1.433653,1.0278325
sign_or_symptom,-0.20777813,-0.17919482,-0.5174626,-0.24527048
antibiotic,-0.100527704,0.64577645,-0.16927215,-0.19975208
chemical_viewed_structurally,1.6500034,-1.6343844,-0.02574079,-0.052920666
body_space_or_junction,-1.6579812,-0.18396723,-0.9417825,-1.5253628
amphibian,-0.13061807,0.97589093,-0.14990036,0.14900942
health_care_related_organization,2.6029644,1.0632229,-0.43906417,3.5945957
fish,-0.97979337,0.78718036,-0.5273422,1.7492805
physiologic_function,0.30515987,-0.35476273,-1.1035203,-0.107968576
animal,0.40277547,0.051977634,-1.8949922,0.44527042
injury_or_poisoning,-0.31421593,0.85895026,1.143785,-0.13964474
lipid,0.41664648,-0.10565855,0.26678702,0.19491394
plant,0.06341962,0.19824176,-0.4086659,0.62697804
organization,1.9947414,0.11651282,-1.3382089,2.6235726
genetic_function,0.9748931,0.28554127,0.39811254,-0.10000023
gene_or_genome,0.58942515,-0.6485523,-0.99549687,-0.26671508
laboratory_or_test_result,-1.2576205,-0.0010421677,-1.1257241,0.49721465
spatial_concept,1.7192409,-2.1238425,0.73986465,0.20705146
rickettsia_or_chlamydia,2.097211,0.21684027,-0.32427415,0.9242795
body_substance,-0.8501274,-0.97030663,-1.8161707,0.40020734
intellectual_product,1.9808767,0.2811594,0.121772625,4.2808375
element_ion_or_isotope,-0.16055265,-2.0948122,0.40357298,-1.0359517
research_activity,-0.18503436,-0.22754881,0.10244245,-0.5162216
geographic_area,-0.66292614,0.20682411,-0.98553675,1.6056087
professional_society,1.1541625,0.23144628,1.1091384,1.0139449
organophosphorus_compound,1.2867151,0.56588453,1.491648,-0.8964371
body_location_or_region,-0.42336243,0.052592658,-1.5552595,0.4616973
invertebrate,0.03399486,0.060380004,-1.9524379,0.17350958
age_group,-0.80094117,-0.33075443,-0.71217436,1.2506253
