,0,1,2,3
location_of,0.36959806,-3.2813964,2.2806327,-1.7689567
manifestation_of,-2.1186042,-1.8162531,-0.9081341,1.0266167
isa,-1.5883656,-0.508045,3.7940967,1.6853535
affects,-2.1750426,1.5049179,0.35947764,-0.6213728
associated_with,-1.0660776,1.0348309,0.90903366,1.4229974
interacts_with,0.08128522,-1.1232578,1.3656203,-0.30680636
result_of,0.4939526,-0.30070394,-0.6543116,-0.1604781
complicates,-2.2005806,1.1083833,-1.6489973,-0.12313129
occurs_in,1.3024716,3.4872217,-0.066206515,-0.3397294
uses,1.8133705,-0.4441468,1.8704923,-1.2694758
produces,4.1795263,-2.5372767,1.4197496,0.4420538
degree_of,-3.4526858,1.6709132,1.0268025,-0.28550664
connected_to,-1.1984836,-3.0633156,-0.24605541,-1.8895906
process_of,-1.8506054,0.7951067,1.134146,-0.60108143
co-occurs_with,1.0355535,0.87311214,2.6763594,1.794601
disrupts,-4.524246,2.1751847,-1.7636645,1.4889646
issue_in,-0.22961563,5.383707,0.10122825,-4.335356
part_of,-1.5730401,-0.2617145,2.2539294,-2.114161
measures,-2.6787336,1.5857631,-0.25211024,4.0298147
prevents,-3.2691734,0.63240504,-1.9407008,1.2231541
causes,-2.3966844,2.2042313,-2.1545215,-0.69908714
indicates,-5.590471,1.616456,-0.28463596,-1.1117097
treats,-3.5485213,1.7097179,-2.2553725,1.7335763
evaluation_of,-3.8688545,-2.1475837,-0.85354584,-0.14867774
diagnoses,-3.6683702,-1.1390406,-2.800316,-0.08045404
exhibits,3.8262413,-1.6429925,0.06600664,0.7769884
ingredient_of,0.6981455,4.1640053,3.7946997,-1.6117066
property_of,-1.654367,-1.775501,1.3298737,-1.2845826
manages,-0.9583849,1.0399134,-0.0596685,-0.028382497
assesses_effect_of,-3.4051862,-1.1897529,0.14482844,2.40966
method_of,-3.5656245,4.8763165,0.009842875,-0.85363346
measurement_of,-0.5768651,-4.749746,1.5443089,1.0764258
precedes,1.656333,-0.6601347,1.6993484,-0.05505259
consists_of,1.3046008,1.7095217,1.8238133,0.5153235
performs,0.56358486,-5.83463,0.7580873,-2.499964
conceptual_part_of,-0.2911685,-2.4485781,0.1897121,2.9791656
analyzes,0.084524706,-3.181105,0.20788878,3.2811737
carries_out,1.3483084,-7.837344,3.785305,-3.511315
developmental_form_of,0.20716257,-1.5277975,-1.3020567,-1.3185533
contains,2.5149992,-1.5963876,0.7440212,-1.4112864
adjacent_to,0.059967168,-1.0100249,-1.2759833,-0.048009384
interconnects,-1.7186522,-0.51225185,1.2776935,0.08794252
conceptually_related_to,-5.856341,-0.4250137,0.88216496,1.1249223
surrounds,0.38898522,0.43375608,-0.5625882,0.24632862
derivative_of,2.0406883,2.6575248,-3.7446513,1.4256569
practices,-2.1024833,6.3010445,2.2890806,-2.002705
