,0,1,2,3
acquired_abnormality,-0.053141184,-0.78027236,1.1872308,1.6730028
anatomical_abnormality,0.040568743,-1.009335,1.5200607,1.7855253
alga,-0.21412517,-3.2689848,0.57305753,2.7689111
mental_or_behavioral_dysfunction,-0.55164075,-2.505552,-0.26199487,2.2058032
health_care_activity,0.45041957,-1.1789769,-0.53165585,2.3201165
population_group,0.3910556,-1.4450608,0.6602881,2.0614684
clinical_attribute,-0.8626659,-2.732165,-1.5479627,0.7951009
body_part_organ_or_organ_component,-0.03347723,-0.9307736,-0.5540134,2.9297478
biologically_active_substance,1.5646013,-0.5245159,-1.6614345,4.378397
disease_or_syndrome,-1.6057385,-1.7720127,0.7282411,1.5897237
carbohydrate,0.9999271,-2.4397917,-1.9377508,2.059153
molecular_sequence,1.6949368,-1.1603208,0.04672061,1.0290719
steroid,-0.80405575,-1.270649,-0.066961735,2.137197
experimental_model_of_disease,0.6845654,-2.0421498,-0.8232677,2.624493
patient_or_disabled_group,0.47512493,-0.1768988,1.8435751,2.3242497
professional_or_occupational_group,0.6226042,-0.15352903,-1.2398508,0.9671188
nucleic_acid_nucleoside_or_nucleotide,2.5886738,-2.670784,-2.693971,2.0161033
organism_function,1.4857,-2.5450218,0.26161665,1.5934756
mental_process,0.4877537,-2.4716213,-0.3865,3.6367362
therapeutic_or_preventive_procedure,-1.0130072,-1.2923112,0.33636066,1.6988395
cell_function,0.4700688,-2.3376453,-0.408083,2.962399
pathologic_function,2.1978714,-1.763881,-0.17430812,1.7520357
organ_or_tissue_function,-0.24956778,-2.3133748,-0.45263678,2.1701238
enzyme,-0.78044164,-2.9079247,-0.27602425,4.380359
cell,-1.028581,-1.2655791,2.0728688,2.7227821
cell_component,1.6052802,-1.3281753,0.19451939,2.4632366
cell_or_molecular_dysfunction,0.35661525,-1.8288375,0.2600547,3.0800405
hormone,2.3237984,-1.5195035,-0.66812956,1.2004368
organic_chemical,-1.7623003,-1.0538327,-1.4575334,2.4024968
behavior,-0.4197986,-1.4370749,1.1193407,0.6086304
neuroreactive_substance_or_biogenic_amine,1.4293222,-2.1005383,-0.34991154,2.9718637
embryonic_structure,1.065152,-1.6270945,0.82815874,1.4115039
neoplastic_process,-1.9920235,-1.8859696,-0.40117654,3.2603168
laboratory_procedure,-1.1874149,-0.8951772,-0.8625654,3.1356573
natural_phenomenon_or_process,0.7858997,-2.7375956,-1.372719,2.8668778
immunologic_factor,-0.7958753,-0.8784504,1.2843463,1.6096581
receptor,0.108717985,-1.4227723,0.9225506,3.709486
self_help_or_relief_organization,-1.253676,-0.53649,0.10980051,3.0860565
pharmacologic_substance,0.99583775,-1.1696874,-0.5032181,1.415582
molecular_function,1.7308394,-1.9038895,0.35433632,2.805036
regulation_or_law,0.2225928,-0.56168944,-0.58845574,0.19372147
