,0,1,2,3
location_of,-0.7631998,1.2409617,0.002272361,-2.8666856
manifestation_of,-0.2415566,1.6573272,-0.2669946,-0.5723129
isa,0.09261446,1.3067846,0.30851886,-1.3355776
affects,0.11405309,1.3190007,-0.041542973,-0.99534667
associated_with,0.4276785,1.6205088,0.35250926,-2.1635242
interacts_with,-0.19937707,2.6292272,-0.26743153,-2.215711
result_of,-0.9583415,1.4599723,-0.3913467,-2.9181962
complicates,-0.29727367,1.6084648,-0.836885,-1.1666709
occurs_in,-0.5584362,0.68290865,-1.8243432,-2.0116441
uses,0.4904815,1.165233,0.8955911,-2.858039
produces,0.18259682,0.97422945,0.9056858,-3.3668153
degree_of,1.3800845,1.092778,-2.2280405,-2.8506877
connected_to,-2.15523,-1.8162394,-0.68559104,-0.22270843
process_of,0.82274944,1.2270507,-0.4785956,-2.3689854
co-occurs_with,0.5073554,1.6189177,0.64108986,-2.6684303
disrupts,0.85429317,1.2328143,-1.0241125,-3.1952713
issue_in,0.9429283,1.0650284,-0.8272539,-1.9606085
part_of,-0.6212453,1.3368206,-0.17010151,-1.1977953
measures,0.23512901,1.9045221,1.3188084,-1.889524
prevents,1.3557712,2.2315762,-0.18490356,-0.67786247
causes,0.021260591,1.8151599,1.1398735,-2.198802
indicates,0.38833877,2.1794229,1.7836218,-1.5639322
treats,1.4350138,1.0474833,-0.56885153,-1.1460493
evaluation_of,-0.9381085,1.5678192,-0.61494684,-0.1562505
diagnoses,-1.0248994,1.779331,-0.17532088,-0.860961
exhibits,1.374327,0.8195474,1.4539415,-1.8573945
ingredient_of,-1.4514039,2.9158475,0.6246229,-2.4202993
property_of,0.7155387,1.3696171,-1.5571885,-1.6893648
manages,-1.8477561,0.72505236,-0.20459789,-2.509729
assesses_effect_of,-1.2856297,0.932199,-0.70661104,-4.475797
method_of,-0.28074446,2.0996702,0.51357234,-0.73919636
measurement_of,-0.25113535,1.8472881,-1.2016596,-1.2901832
precedes,1.545529,1.6375014,-1.1922436,-4.6494155
consists_of,0.058924466,0.08356326,-1.1567705,-0.46443895
performs,-0.58999527,1.5441817,-0.5797626,-2.0565012
conceptual_part_of,1.4721422,0.52747405,1.9505402,-0.9158187
analyzes,2.5391965,2.136539,-0.8684383,-1.7813151
carries_out,2.6145146,1.7876773,1.7572443,-1.4103472
developmental_form_of,0.52985185,2.6751108,1.5290955,-1.207332
contains,0.85503334,0.11874455,0.09534745,-2.2302961
adjacent_to,0.5101815,4.591765,-1.3505349,-3.2589123
interconnects,2.623654,-0.4744768,6.8408628,-2.200151
conceptually_related_to,0.09801085,2.4129415,6.2284465,-1.8507555
surrounds,-8.26806,0.06259649,-1.9062424,-2.3730998
derivative_of,-2.732892,-2.116046,-3.744609,1.4255831
practices,-4.0707693,-0.8209434,-0.7871512,0.9384708
