,0,1
location_of,-0.59088564,0.3615832
manifestation_of,-0.014959127,0.54939276
isa,-0.24228439,1.0743062
affects,-0.4827798,0.010389913
associated_with,0.18974437,0.36793816
interacts_with,-0.42188987,-0.4789941
result_of,1.1518478,-0.39138937
complicates,0.7705799,-1.8996814
occurs_in,1.4014797,1.2635217
uses,0.92809707,0.9027406
produces,-0.32419264,-0.39122558
degree_of,-1.3824382,-0.09695822
connected_to,0.12545447,-0.6596234
process_of,-0.07880927,-0.913379
co-occurs_with,0.85597646,0.5839008
disrupts,2.382398,-0.12375945
issue_in,-0.27885336,-0.71093094
part_of,-0.5079425,-0.4811062
measures,-0.055393696,0.21698499
prevents,-1.2008232,2.2225394
causes,1.2388002,0.06641628
indicates,0.72348887,-1.1763593
treats,1.1791275,1.5370631
evaluation_of,-0.48403388,-0.6383147
diagnoses,1.5421921,0.20021091
exhibits,1.7753181,-0.036759138
ingredient_of,0.69214493,-1.5130694
property_of,1.1841084,1.3150599
manages,1.9365402,-0.22552148
assesses_effect_of,1.8505133,-1.9001586
method_of,-1.2256398,-0.3344588
measurement_of,-0.9560752,1.8987976
precedes,0.38012147,1.0577942
consists_of,2.9769256,2.0563502
performs,-1.7327865,-0.6058233
conceptual_part_of,-0.4659872,-1.3109437
analyzes,1.8389721,1.774492
carries_out,1.6471404,-1.0177183
developmental_form_of,2.1125855,-5.0107055
contains,0.8367257,1.4799978
adjacent_to,1.9801948,0.5813669
interconnects,-0.5202787,-3.7014952
conceptually_related_to,-4.468502,-6.093519
surrounds,-1.6692597,-2.9963915
derivative_of,1.1514945,-2.838724
practices,0.22690026,1.8360345
