,0,1
location_of,0.14280534,-0.0027779937
manifestation_of,-0.72850317,-0.13023911
isa,-0.0144410925,-0.33649153
affects,0.06272765,-0.04371604
associated_with,0.22882164,0.7139837
interacts_with,-0.12610881,0.37858948
result_of,-0.39642838,0.31527126
complicates,-0.15389884,0.7430366
occurs_in,-0.07783726,0.3246214
uses,0.22319032,0.15251307
produces,0.1152247,0.17419903
degree_of,-1.3586723,1.498557
connected_to,0.6990416,0.80362517
process_of,-0.21354376,-0.4537471
co-occurs_with,-0.081489824,1.0869436
disrupts,0.19479872,-0.31629077
issue_in,0.4806338,0.6251509
part_of,-0.06328933,0.28088728
measures,-0.2900799,-0.030517906
prevents,0.7665995,0.7301595
causes,-0.21973333,-0.57984364
indicates,0.9532129,-0.69734555
treats,0.156319,-0.3015741
evaluation_of,0.038495418,0.08500541
diagnoses,-0.20706216,1.475908
exhibits,-0.15104704,-0.021417944
ingredient_of,-0.85705715,0.38782084
property_of,0.041681215,-0.26427996
manages,1.1170839,0.7406708
assesses_effect_of,-0.13546555,-0.27571163
method_of,0.31489053,0.15400402
measurement_of,-0.03593313,0.68370247
precedes,-0.20379762,0.9989527
consists_of,0.5912752,1.3030599
performs,0.15506865,-0.50316936
conceptual_part_of,-0.36654088,-0.25417
analyzes,-1.0698534,-0.0046117716
carries_out,-0.06371269,0.021942593
developmental_form_of,0.37924412,-1.4779977
contains,-0.72027916,0.23087257
adjacent_to,-1.936906,1.8122163
interconnects,0.7351203,0.6624696
conceptually_related_to,-1.2209232,-0.42787477
surrounds,0.29209208,-0.44420964
derivative_of,-0.5409672,-1.1460186
practices,-0.0919642,2.8665752
