,0,1
location_of,-0.24786738,0.45808852
manifestation_of,-0.24071711,-1.3305721
isa,0.29505965,0.15820067
affects,-1.5123622,-1.1269205
associated_with,0.05015863,2.2673075
interacts_with,1.0896369,-0.05656018
result_of,1.1520317,0.6055058
complicates,0.89301133,1.4133018
occurs_in,-1.2838175,-0.6471098
uses,1.105171,-0.25220662
produces,0.09719676,2.3204913
degree_of,-0.75152206,0.9436896
connected_to,0.64036953,0.6322296
process_of,0.33388937,0.9590779
co-occurs_with,-0.20916833,0.1073629
disrupts,1.0872467,-2.2525713
issue_in,0.36085787,-1.0753756
part_of,0.7555628,-0.80590194
measures,0.10752537,-0.3627097
prevents,1.4524692,0.6182558
causes,1.6665978,-0.8775968
indicates,0.8062345,0.7635561
treats,-1.0772476,-0.7460472
evaluation_of,-0.7018849,0.8774859
diagnoses,1.1390648,1.0397027
exhibits,-0.6811603,-0.42978832
ingredient_of,-0.55090183,0.019136358
property_of,0.7173869,0.25485078
manages,0.6140467,-0.0698461
assesses_effect_of,0.46148282,0.532412
method_of,1.402668,1.5102129
measurement_of,0.29474574,0.6551711
precedes,-0.010865797,-1.3317726
consists_of,0.17723222,0.80946743
performs,0.6707255,-1.6162252
conceptual_part_of,-0.78952974,-1.5063932
analyzes,-1.7848445,0.31648934
carries_out,0.86866444,0.06074516
developmental_form_of,-0.6467645,-0.8534516
contains,-0.77340543,-0.16917737
adjacent_to,-1.8511086,0.72890204
interconnects,-0.5240119,-0.21524093
conceptually_related_to,-1.3734938,-0.93607163
surrounds,0.6633004,0.40358353
derivative_of,-0.996508,-0.56527513
practices,-0.22242826,1.8951505
