,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
location_of,-0.45354295,0.38769653,0.2538512,-1.8286358,0.46274507,-1.1260831,0.66678566,-1.6907667,0.81322324,0.69130355,0.13866901,-0.8009501,1.6550868,0.5976596,0.04793021,1.7373352,-0.210559,0.5118062,0.22848475,-0.49417788,1.2682874,-0.2874586,0.5288588,2.5282896,-0.15897886,0.3363708,0.34054175,-0.1195937,1.647567,-0.8124494,0.3177675,0.7957536
manifestation_of,-1.1190004,-0.909989,-1.1456332,0.15912852,-0.49079272,-1.3530929,-0.31566536,0.66906387,1.3150485,0.7941035,0.95632595,0.8570564,-0.3016942,-1.3223057,0.9957065,1.9017248,0.47710404,0.9078564,0.14027461,-0.3234994,-1.6660179,-0.034010142,0.040803235,0.43604606,-2.0554063,-0.68510616,1.4282645,0.6205556,0.8725138,2.1914155,-1.3855516,2.289799
isa,-1.4933407,1.3997253,0.87911844,0.12182799,0.6780631,0.8500191,0.8954239,-0.4927844,0.13518536,-1.1241776,0.6588439,2.4950945,0.012033609,-1.2699639,-1.7530701,-0.35124928,-0.7384066,-0.08056283,0.66714954,0.7669991,0.9755687,-0.2521748,-0.47115248,0.6605444,-1.1580426,0.2369648,1.3853681,0.26098412,-1.3349798,0.58615476,-0.37772766,-1.8159529
affects,0.28967157,-0.25284344,0.51560277,-0.5105091,-1.027929,0.8321613,1.6731756,-0.15323351,-0.890562,0.40113607,0.3705401,1.2173694,0.07328863,-0.5405279,-0.0049260585,0.34492174,0.26353213,-1.5685967,-0.76468736,0.74979955,0.06825532,1.2931808,-0.7700481,-0.9917219,0.35640487,-0.56905913,2.1305616,-1.5004684,0.17670673,-0.6061166,-1.2405103,-1.0485468
associated_with,0.0737697,1.11625,-0.517727,0.073379554,0.28426403,-0.99877346,1.524889,1.4115709,0.70912313,0.09534763,1.2291325,0.5022779,-1.4203228,-1.3815513,0.1848262,1.7436291,0.019917566,-1.0436767,0.80025387,-1.0937395,-0.6658954,1.5677898,1.2050735,0.22506043,0.26034057,-1.1415277,1.3026339,-0.5565077,-0.52034044,1.7331136,-1.6388677,0.2016056
interacts_with,-0.51933056,-0.5885722,-0.005998347,-0.8365407,-0.46614093,1.6879625,-0.06802288,-0.77809083,-0.45953995,-0.8759625,-0.70159245,0.9010421,-0.44207054,0.85500425,0.044811524,-0.18871649,-0.28577626,-0.36911476,1.2342017,0.30386397,1.5682114,0.71092963,0.772167,-0.8145735,0.14967194,-0.57868916,-0.44722676,-0.2695395,-1.1318967,0.25737843,-0.22147106,-1.5270034
result_of,-0.55223453,0.63553244,0.61553067,-0.45363718,0.61221445,-0.32544947,0.12733324,-0.28406578,1.3002317,0.36328122,0.048006956,-0.2787135,1.1822107,0.48026356,0.17652343,1.9388063,0.9488183,0.81357664,0.38892275,1.1588678,-0.4969204,0.5996735,1.0456331,0.9158452,1.4767507,-4.1590796,1.6351653,0.35166988,-1.0609089,-0.17403282,-0.1325041,1.4780942
complicates,0.49505308,1.274937,0.44053623,-1.4185928,1.2231075,0.39470977,-2.109533,0.018503994,-0.2785383,-1.4131632,-0.012614624,-1.375721,-3.1382565,1.0850656,-1.1560007,-0.3897815,0.6931391,0.43337798,-0.48105872,1.2511145,0.46469808,-1.2575427,-0.11781767,-1.4315374,-1.2277868,1.4514675,1.7881583,1.904339,-0.31634292,0.27035394,0.2679916,0.40041497
occurs_in,0.091534205,0.7475344,0.3913147,0.46571147,0.021027673,1.4167207,1.1380024,-0.70705044,1.3497285,0.06301382,0.8769128,0.21174414,-2.7822683,-1.6790684,-1.3227209,-0.41881332,-1.0558414,0.009893037,-0.8604289,-1.0115594,0.17750853,-0.6959235,-0.29084933,0.594158,-0.27756348,0.053675245,0.4653476,-1.2571633,-0.7517987,-0.5088043,-1.6964229,-0.7113918
uses,1.0543158,1.6988382,-0.9617264,-0.5415236,1.6543069,1.4263588,-0.2814302,0.5102452,-1.1989496,-0.30583367,2.9163177,-1.3175386,-0.9722653,1.0050329,0.36618617,-0.15697512,-0.60854554,-1.2820256,-0.73524404,-0.37561786,-1.5185997,-0.118371315,-0.2194633,0.64880323,-0.8711111,-0.7169879,1.1927724,-1.3790778,2.0747452,-2.2841008,-0.37536025,-1.3579624
produces,1.4039599,1.096815,-1.8437241,-1.5349176,1.0680804,-0.24994205,1.2722067,-1.0145403,-0.07450569,-0.008883777,-0.89106375,0.9781849,-0.9454117,-0.052616682,0.897104,0.7008061,-0.94224083,-0.99451476,-2.2308998,1.0685619,-1.1108094,-0.8935676,0.717866,-1.1136883,1.4262675,0.9180986,-0.9904069,-1.6263908,0.8592725,-2.5099716,-0.4001168,-0.55991423
degree_of,0.15450786,-0.33783308,0.9421387,1.1620584,-0.14646192,1.0712584,0.21064383,0.3624575,-0.9143676,0.017932573,0.10902167,0.08317016,1.2178321,0.1502365,-0.24553423,-0.5743135,-0.9440817,-0.55922765,-0.06062723,0.2953999,-1.0737525,-0.8275211,-0.0052772393,0.20245607,0.18246363,-1.6462258,-1.3858457,-0.8450003,-0.117882945,0.06506433,-1.016799,1.663911
connected_to,0.82272786,0.09104943,-1.2740651,-1.1889654,-0.06503287,-1.778836,0.68599796,-0.951485,1.2025312,-1.6472621,-0.6735018,-0.4483575,-1.9070244,0.38764212,-0.30382025,0.20995687,-1.0363449,1.5947216,-2.173247,1.1664335,0.21148674,0.35271576,0.7568806,0.4689518,-1.4708942,0.32672167,1.3050226,-0.42334613,1.2718889,-0.10569839,-2.3663807,-1.6047599
process_of,0.31082907,1.0588939,0.6221414,-0.11945865,-0.48519215,0.46220604,0.2948267,2.373044,2.6238344,-0.29216266,0.6158634,-1.2467079,0.90490913,-0.5561263,0.22475998,-0.93617755,-0.5666333,-1.1435915,0.3311054,-0.70449245,-1.3288429,0.6696148,0.43143362,1.7612768,0.16212876,0.041046113,0.7803671,-0.7309348,-0.6530484,-1.6664613,-0.62559915,-1.0138242
co-occurs_with,-0.40681553,0.16137274,-1.4887947,2.2397642,-0.24791111,1.2936102,-0.5069927,1.0293105,1.7472092,-1.4078588,1.4099619,0.21706752,2.1914105,1.496515,-0.42562827,-1.1144537,-0.6466363,0.47091395,0.24793912,-0.29998106,-0.16079225,0.14014247,0.17986129,-1.9345315,-1.0502788,0.41977787,-0.63570315,-0.05246001,1.4664905,-2.0834377,0.7169864,-1.0518774
disrupts,2.5144458,1.3615596,-1.2191017,0.34778726,-0.5932296,-1.2811096,0.51254654,-1.9619232,-1.078169,-0.9959317,-1.4390241,0.6403234,-0.21697949,-0.51126206,1.151773,0.7465285,0.47957736,-0.32984367,0.8331642,0.14415519,-1.734491,-0.47038922,0.53223175,0.5008179,1.2394155,-0.33358768,0.9945667,-0.36240003,-0.39276215,-0.505706,-1.4196968,-0.88683116
issue_in,1.5622388,-1.794258,0.12290734,0.61365646,-0.2475382,0.08034692,0.5447752,2.102528,-1.6571542,0.9277251,1.010647,-0.98901397,-0.33850327,1.5433034,0.99101377,0.08610098,-1.4179811,1.3530182,-1.023397,-1.465243,-0.62265337,-0.20198733,-0.07710426,1.4705813,1.0248244,0.69303536,-0.9297534,-0.97771233,-0.2142537,-2.8368392,1.7106342,-0.22413549
part_of,1.1547397,-0.22956608,0.36466828,1.2226257,0.8063919,-0.8346276,0.61396533,-0.93102986,0.2082246,0.23207319,0.66242784,-0.6239066,1.7398223,0.16907385,-0.61478454,0.6803416,-0.57426226,-0.020204484,0.24688818,-0.41674978,-0.35091892,0.5974446,-0.42115757,-0.12052029,-2.170576,0.67801845,1.1777178,-1.1720412,-0.32755035,1.5984622,-0.9925406,0.031454526
measures,0.8812647,-1.4433964,0.1967504,-0.10740327,0.58433855,0.68687564,0.098673925,2.0552888,0.33391914,1.258634,-1.2182046,1.6653241,0.68702203,-1.4404963,-1.3202955,-0.6362211,-1.5302957,0.8572864,-0.4915096,-0.47998846,1.3374953,-0.88948184,-1.4846202,-1.9756738,-0.3525072,-0.08975848,-0.28296554,-0.31713036,-0.19724195,0.48490006,-2.3676953,0.41527903
prevents,2.6064663,1.266405,-0.50165486,0.23764296,-1.3761265,0.3328809,1.5400774,-1.4526216,0.81335133,0.90760875,0.8668208,0.1410517,-0.43016386,-1.0648191,-0.29370838,0.2018839,-0.32860005,0.8827699,0.65406394,-1.2654123,0.25368983,0.4942104,1.7741679,0.77286166,0.18244456,-1.8532389,0.16198437,1.412147,1.1908711,0.5731502,0.6392922,1.2516667
causes,-1.4526224,-0.61857426,-0.49836272,-0.91108817,1.0241786,-1.5962416,0.72468156,0.50992054,0.5751978,0.33569804,2.4000182,-0.450296,0.87705827,-1.1360263,1.1029379,-0.37116566,0.75827813,0.19162802,-0.11855796,0.114686035,-0.48127618,-0.26179892,-0.18291594,-0.73549104,0.6877042,0.22534823,0.422349,0.31330135,-1.0191267,-1.063021,0.683772,-0.119999
indicates,-1.083276,-1.163227,-0.4762979,0.73568153,1.6248018,-1.2002615,-1.0160121,-0.44445443,-0.06929295,-0.4173998,-0.98639023,-0.50115573,1.1734147,-0.66409963,-1.5472944,-2.2171018,0.86471003,2.1426606,-0.5914164,-0.38282302,0.59563714,-1.6918118,-1.4586765,0.9418541,-1.1417701,-0.13422067,-2.3419201,-0.0053171264,-0.06685507,0.46951047,0.6603865,1.2620152
treats,1.7247545,0.3945323,0.22021739,-2.941803,0.02966293,0.984416,-0.02352234,-1.5732371,-1.8014545,-0.4107929,-1.0973221,0.055084504,0.44076174,-1.2577264,-1.1568764,-0.28390673,1.0335042,0.8949413,0.31729484,-0.34809297,-0.3129925,-1.2115034,-0.5194699,0.9239401,0.7231884,-1.2139503,-0.5849539,0.36022174,-0.2850817,0.22657149,0.42978078,-0.8194416
evaluation_of,1.4535924,0.727855,-0.3812215,0.3465777,-1.8364521,-0.27181217,1.6170192,0.6727074,2.0214283,1.8562827,0.35636675,-1.966282,0.20560648,1.0577435,-0.33827516,-1.1744597,1.0918152,0.24090846,1.3619988,-1.0542578,0.5831974,-0.7970547,0.84325373,-0.8844953,-0.8564607,-0.13722418,-0.69734365,2.9048276,0.77178425,-0.13651873,0.71706486,0.18037294
diagnoses,0.52313125,0.19026268,2.0089622,1.7913799,-2.7739398,1.8003561,-0.20095357,-0.48172763,-0.4874935,-1.6159749,1.535767,0.17110084,-0.13011517,-0.22494994,0.07800149,1.2392944,-0.4739211,1.2493858,1.3213722,0.48439497,-1.7446643,1.6025587,0.4224135,1.4027578,0.27001718,-0.6124483,1.7097341,-0.5476641,-1.7128311,-0.84443074,2.9268582,0.9555853
