,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,-1.4767928,-0.7272264,-0.7023008,-1.4949639,-0.074692465,-0.61497784,-1.0345613,-1.495013,-0.6587859,0.42202842,-0.7089473,-0.34912875,-0.24569297,1.6417888,0.1954454,0.46507365,-0.7677291,-1.1962318,0.8153337,0.11307773,0.8309872,0.26805186,-0.6079091,0.79566115,1.0406691,-0.12801053,-2.3013456,-1.5055233,-0.003946919,-0.55559117,-0.752075,-0.17869109
anatomical_abnormality,1.7402669,0.1726316,-0.08180218,-0.83046657,0.22252573,-0.011738615,0.09796266,-0.46910673,-0.065265074,0.31256878,-0.08419906,-0.060496487,2.4092622,-1.0761135,1.4906865,-0.6071082,-0.9150036,0.57376313,0.3335194,-0.4549947,0.7457555,0.46070695,1.2087034,1.9413974,0.09066831,1.1005503,-0.16951662,-0.6214225,1.4436775,-0.7889333,-3.3208392,-0.7832448
alga,-0.007277186,-0.9715907,-0.6148327,-1.0038747,-0.26792058,-0.08830587,1.6016703,-0.019386316,-0.72517574,-0.18950993,-1.0612127,-0.80465645,-0.36619553,-0.49330652,0.32934675,-0.9903358,-0.5094446,0.35483062,-0.61392844,0.79396594,-1.3834764,-0.56553113,0.099758446,-0.080087796,0.25386846,-0.45154306,-0.96004987,0.804365,-0.98763853,-0.4391346,0.27766523,2.0923605
mental_or_behavioral_dysfunction,0.7442318,0.9459042,0.7815517,-0.96511126,1.4281033,-0.7348566,-0.8527418,1.0704418,1.3618816,0.68295246,-0.14404146,-0.064541265,-2.0347526,-0.5764161,-1.3987279,-1.0797775,0.8222226,-0.77744156,1.2118961,0.867486,0.11273445,0.22000612,0.5544179,-0.39385203,2.4934924,-0.23570482,-0.021379417,1.797775,-1.9754268,1.7263434,0.14798638,0.28973058
health_care_activity,0.9310038,-2.1088476,0.25745344,1.0574431,-0.53156495,-2.047172,0.7097014,-0.8025374,-1.6223794,-1.8209317,0.37186792,0.55728644,2.1341712,0.69897926,1.7707287,-1.751124,-1.54042,-0.79992074,1.3706532,0.98826313,0.794157,-0.40294892,0.58822066,-1.4436625,0.42825627,0.07681779,0.58222467,1.6990817,1.8685097,1.5637548,-0.44380212,2.5913136
population_group,0.34342948,0.06425495,-0.7862803,-0.48444784,-0.5714279,-1.0114379,0.8043872,1.0436487,0.3428076,1.529419,1.2622073,-1.8958137,-0.41336945,-1.0315084,-0.07872318,-0.09700487,0.97609746,1.3992497,0.47156367,1.682167,-0.9192711,0.087522745,-0.07461038,-0.31225446,1.737402,-0.27365476,0.19106275,1.5404453,0.1786294,1.4658562,-0.2831187,1.0453272
clinical_attribute,-0.8205409,0.8715253,1.7685405,-0.13511027,0.6670127,-1.774495,-2.9156513,-0.5657405,-0.6092464,0.8287353,-0.89481497,0.5749166,-1.4616168,-0.16040073,0.7235276,0.17953299,0.99632955,1.3020338,-0.42000824,1.3549831,0.15119068,2.0260534,1.7688072,1.318221,-0.97007066,1.2709149,1.1187629,-0.6038227,0.08856565,-0.5262633,1.4083148,1.8564475
body_part_organ_or_organ_component,1.7345505,-0.46386036,-0.34454542,-1.5118299,1.3250005,1.3277981,0.47340724,0.44414815,-0.07058374,0.2874321,0.8105733,-1.3245643,1.6685585,-2.356164,-0.9002475,0.24403699,0.22242032,0.9358177,1.4834269,-0.4526676,-0.67860657,-0.083957344,-0.225628,-0.10460666,0.29471466,-0.5323183,-0.5679332,1.0441831,-0.09030578,-1.1319766,0.019759985,0.51972336
biologically_active_substance,-1.1971856,0.91835517,0.103312135,0.825872,2.394967,0.9633382,-0.414729,-1.7082549,-1.2533883,1.4828981,-1.1572393,0.7679252,-0.48824754,2.0252192,-0.5132828,-2.4470844,-1.1931733,-1.0836384,0.76465565,-0.43862966,-0.26402843,-0.020112092,0.8083017,1.053251,0.8343588,-1.8352648,-0.34610087,-0.65251756,0.40935397,1.0814956,0.3113147,-0.6468994
disease_or_syndrome,-0.20058753,-1.1201196,0.14267273,0.21895823,-1.5923669,-1.057194,-0.77829844,-0.4617871,0.9715086,-0.09458135,1.1000419,0.59017485,0.8729675,1.2761256,-0.76904875,0.6524638,1.0184685,-0.0012326556,0.18179461,2.3715587,-0.5838785,0.78515583,0.23160325,-0.30464897,0.23855317,0.72732955,-0.1914979,0.11719232,1.1283104,-2.19592,-1.0190796,-0.91167384
