,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,-1.2760141,0.35634974,-0.058230843,-0.4150561,1.0294241,-0.1665456,0.018837437,-0.29957315,-0.18880932,-0.14092587,-0.24503896,-0.6629279,-0.57216316,0.6662894,1.0271153,0.90170616,0.17173664,-0.39993656,0.5881709,-0.10857267,0.17964825,0.4278229,0.1603546,0.19849658,-0.060749963,0.4787384,-0.63553023,-0.15004644,0.31869224,-0.40639055,-0.33218217,-0.9579375
anatomical_abnormality,0.80730665,0.01631978,-0.22844929,0.61662734,-0.6478503,0.81706583,-0.7051866,-0.29514626,-0.14455955,0.9413109,0.5539829,0.04178865,0.4921095,0.24011555,0.61338955,0.32491776,0.5869951,0.41086155,0.9115042,0.09461102,-0.011218077,0.59901595,0.37119278,0.5819652,-0.085886076,-0.17300788,0.09448622,-0.32670093,-0.38907441,-0.3602402,-1.097993,-0.80078346
alga,-0.43526736,0.12517276,0.30224884,-0.582356,-1.1042746,0.24750088,0.7831953,0.13524108,-0.1223077,0.44462773,-0.98740286,-0.2079994,0.3427459,-1.0979662,1.3122373,-1.2140311,0.977455,0.56945574,-0.8326082,-0.95139545,-1.0483681,-0.06644555,1.5573366,-0.21849884,0.7217107,0.25585067,-1.4229932,0.20274313,0.20331903,0.17990404,0.50680315,1.352989
mental_or_behavioral_dysfunction,-0.25074396,0.61950076,1.1653922,-0.8535773,0.16143847,-0.38335222,-0.10230321,0.067232735,-0.3442053,0.5238648,0.7926106,0.13224992,-0.63943756,-0.038526103,0.27998406,0.54717195,0.56443,0.37530276,0.4660825,0.34752172,-0.015861074,0.42860422,0.63130647,0.3232704,0.5726065,0.32215026,-0.305323,-0.40742698,-0.72311103,0.69669116,0.3776536,-1.6676382
health_care_activity,0.80834,-1.8515278,0.7045708,1.6564829,-0.30042818,-1.5942008,0.9725543,0.22446427,-0.43217406,-1.4401488,0.52544767,-0.7588055,0.64589083,-0.21997145,0.23502162,-1.357943,-0.96148235,-0.87603486,1.6665517,0.5955874,0.51107085,-0.56079733,0.9032273,-1.1511484,0.54827124,-0.5928981,0.36322343,0.21448451,1.1000977,1.2073227,0.4727744,1.865416
population_group,0.70374346,0.08441056,-0.11268484,-0.59758145,-0.58479095,0.78077984,-0.5595711,0.6678247,-0.63642496,0.0021442058,0.06179335,-0.16880716,0.2740902,0.4001664,-0.21210271,-1.0964257,0.30658132,-0.5075683,-0.83894074,0.211201,-0.16408296,0.52001727,0.37238,0.25410676,1.3165997,-0.16083206,-0.08343138,1.3267331,0.549638,-0.4732689,0.2790875,0.7652813
clinical_attribute,0.33773628,1.2483428,0.44746438,0.5263809,0.3211133,-0.7001268,-1.1522431,-1.0278958,0.66042477,0.14207347,-0.8845393,1.0650861,-0.8506996,0.05405625,2.1041007,0.78690875,0.12702516,0.012298534,0.12293502,1.8369515,0.61392725,-0.17375953,0.58386296,1.0946212,-1.8300542,0.22923896,0.41257688,-0.33785692,-0.055001166,0.14965811,0.80914295,0.66972226
body_part_organ_or_organ_component,0.9210807,0.858823,-1.3844914,-0.18704748,0.22888502,-0.42511082,-0.38645554,0.2388142,-0.555516,0.17705004,-0.110357985,-0.7278751,-0.33151346,-1.602368,-0.9494674,0.3252249,-0.20009796,1.625955,0.27137095,0.17032537,-0.30632716,-0.25655895,-0.04953237,-0.35098624,0.48128897,0.6049373,0.35624373,0.23110169,0.36130196,0.024188643,0.63853294,0.13597159
biologically_active_substance,-0.68554884,-0.31879684,-0.019272482,0.497873,0.945265,0.95980245,-0.59353155,-0.41208622,-0.30210346,0.37785494,-0.39991456,0.7296999,0.33725795,2.075328,0.5395525,-1.5890018,-0.02877749,-0.17630836,-0.7406952,0.5346003,0.5482705,0.13684487,0.70120925,-0.3931978,-0.46450043,-0.95659155,-0.527635,-0.3618294,0.11097172,0.5084464,0.6905228,0.5494086
disease_or_syndrome,-0.16259794,-0.0057952288,0.344494,-0.06486557,-0.18069337,0.4185984,-0.46159357,-0.17397434,-0.3231424,0.5704545,0.38836256,0.5216368,0.30229726,0.2511281,0.14572215,0.20724103,-0.00980174,-0.40738153,0.7356605,0.83566296,-0.4748512,-0.1125159,0.04037923,0.49889204,-0.06368918,-0.08153176,0.076131895,-0.3634755,0.31415883,-0.23852754,-0.21682395,-0.87310755
