,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
location_of,-0.33318073,0.53329194,-0.6825336,-0.27275005,-0.09847243,-0.01918616,0.38709947,0.33206666,0.5260466,0.073666036,0.4893681,-0.036938064,-0.027788201,-0.40230125,0.580098,0.33373752,-0.27089652,-0.064935185,0.6029993,-0.06214135,0.1384417,-0.2655776,-0.07528788,0.10514462,-0.354676,0.2877385,0.10770365,-0.39805305,-0.22997673,0.10655198,-0.34474194,0.40059772
manifestation_of,-0.43306693,0.10093643,0.42190513,0.043589827,-0.8069563,-0.8336243,-0.058342636,0.1407325,0.39425778,-0.08590784,0.25832325,-0.65511745,-0.014288833,-0.55268013,0.46616277,0.88091123,-0.50626343,-0.005432727,0.8478739,-0.32620382,-0.39452565,0.2511292,-0.37128744,0.4813181,-0.6292974,-1.0289108,0.5325806,0.3920279,0.7308474,0.48214474,-0.34608015,1.0626423
isa,-0.13712698,-0.26794824,0.036361743,0.20694365,-0.28748128,-0.26803234,-0.17715953,0.26408258,-0.27442747,0.19580425,-0.029422702,-0.02036813,0.2298066,-0.33995798,0.20844674,-0.07110567,-0.0066579413,-0.21171767,0.5304494,0.52814853,-0.47249395,0.27771673,0.17639418,-0.13056621,0.19439763,0.54700816,-0.28098866,-0.086673975,0.27131385,0.16811974,0.25063333,-0.09719126
affects,-0.021310061,0.12741286,0.75247884,0.07063853,0.019118495,-0.0068240482,-0.017968131,0.19214791,0.33423895,0.06844061,0.2432243,0.20963061,-0.11118379,0.05106791,0.78408396,-0.50051576,0.39926708,-0.07053968,-0.10681858,0.060602408,0.18422467,0.3272899,0.020077828,-0.20080686,0.2387873,0.022911858,-0.11034147,-0.06090869,-0.12504883,-0.11334747,0.09512981,0.28499803
associated_with,0.16660729,-0.2946025,-0.037101723,-0.22141615,-0.12271413,-0.28741553,0.8560703,-0.12747774,-0.12741657,0.3652721,0.44620243,-0.07212141,-0.23511067,-0.3878294,-0.08834097,-0.21680018,-0.11691976,0.13600786,0.6330173,0.1412167,-0.07173112,-0.21047886,-0.012270935,0.029321946,-0.14203955,-0.8016347,0.15514834,0.21265502,-0.014026699,-0.05932132,0.07556006,-0.5885682
interacts_with,-0.0131762065,0.24192213,-0.15266137,0.08488121,0.20097606,-0.013377378,-0.13082847,-0.34379885,-0.0847756,-0.17703536,0.20607837,-0.00540255,-0.04874094,0.66872716,-0.22730173,0.47408816,-0.16396365,0.15588807,0.75548804,0.6572925,0.008530861,-0.15605998,-0.1389872,0.04985016,-0.13113253,0.22275142,0.36274028,0.21772033,0.08732354,-0.044297513,0.17747286,-0.055689737
result_of,-0.16458903,-0.11665973,0.04275484,0.5394805,-0.15875886,-0.06509066,0.08840743,-0.1899808,-0.024396364,0.32620272,0.40682814,0.3413979,0.16020374,0.08883081,0.4136526,1.1835349,-0.4326581,-0.031809695,0.7655484,0.18886116,-0.16314876,0.24334897,0.07525259,0.6260187,-0.011927149,-1.7353055,-0.24180909,-0.15380512,-0.2780847,0.29390913,0.11813626,-0.2064735
complicates,-0.05829883,-0.011798375,-0.2753108,-0.7093333,-0.0462089,-0.032321315,0.2955187,0.5700313,-0.56398976,-0.3400772,-0.12593289,0.10546815,-1.1659988,0.47414407,0.719062,-0.6544491,0.336518,-0.4940266,-0.11986901,0.27276304,0.103108935,-0.6300274,0.37615326,0.29229245,0.30259058,0.07756325,-0.20311633,0.41031432,0.54389524,0.015694184,-0.2703312,0.57568824
occurs_in,-0.25854757,0.49180427,1.2949501,0.8249807,-0.3465946,1.0085568,0.5549634,-0.22454198,0.66341525,0.54895383,0.46794313,0.7506019,-0.58204216,-1.4500209,-1.4960186,-0.16307677,-0.67027473,0.18117493,-0.635946,-0.14591198,-0.6417204,-0.21984531,-0.062167205,0.3486715,-0.24197745,0.03547754,-0.124055035,-1.1926147,-1.8160286,0.14461927,-1.2264193,0.7660158
uses,0.60789007,1.3971434,-0.33611858,0.3485484,2.3977234,-0.20448536,0.5049476,-0.74009556,-1.767753,-0.73315763,1.897414,-1.3665729,-0.7124904,0.089569956,-0.035245493,0.7263915,-0.117198616,-0.021698166,-0.59269184,-0.9041479,0.080472976,-0.5395762,-0.24345018,-0.090621755,-0.22460648,0.3548492,-0.27547696,-0.9745974,1.6371868,-1.4586362,-0.579455,-0.7949577
