,0,1,2,3
acquired_abnormality,-1.2224144,-0.5020767,-0.45986953,-1.3241668
anatomical_abnormality,0.054085664,-0.32859915,-0.7041002,-1.3038452
alga,-0.6554507,0.30339977,-0.5717384,-0.13078476
mental_or_behavioral_dysfunction,-0.33195922,1.2906367,-0.03344708,0.29969466
health_care_activity,-0.4769136,-0.82988685,0.74478173,0.31142893
population_group,0.5820516,0.118581116,-0.69118035,0.5438476
clinical_attribute,1.169353,0.0068400027,-1.9210488,-1.1482879
body_part_organ_or_organ_component,0.27027178,-0.33855918,-0.52296007,0.10991058
biologically_active_substance,1.5440576,-0.1378762,-0.02478711,-0.87486655
disease_or_syndrome,0.223627,-0.033818103,0.09468967,-0.30117926
carbohydrate,-0.021503864,0.12259083,-0.09000845,0.07742496
molecular_sequence,2.1384187,-0.9363597,1.5141503,-0.5776664
steroid,-0.71097213,0.4042339,0.11999517,-0.30513373
experimental_model_of_disease,0.45749402,0.28926024,0.79913795,1.570801
patient_or_disabled_group,0.070948415,0.7048737,-0.18989944,-0.6405479
professional_or_occupational_group,1.5733778,-0.6491699,-2.9661417,-0.56182814
nucleic_acid_nucleoside_or_nucleotide,0.03989063,-0.7398452,-0.34286478,-0.755594
organism_function,-0.27485523,-0.17814997,1.3394101,-0.08562246
mental_process,-0.33389974,-0.007291765,-0.75314426,-0.53588736
therapeutic_or_preventive_procedure,-0.34469798,-0.4783969,0.36091492,-0.74951786
cell_function,-0.33718225,0.11507694,-0.5589132,0.6475731
pathologic_function,-0.92546207,-0.16636711,0.31789455,0.18094721
organ_or_tissue_function,0.204192,-0.29715422,-0.82052577,0.62335104
enzyme,-0.9098252,-0.3302632,0.021080106,1.6557593
cell,0.35940132,0.8608008,0.49458766,-1.0840396
cell_component,1.1936989,-0.9214792,-0.96405363,0.9426696
cell_or_molecular_dysfunction,0.90281165,0.31939346,-0.23091708,-0.2541741
hormone,-1.7039766,-0.40009198,-1.3227429,-0.9354044
organic_chemical,0.7529686,-0.5114182,1.0991575,0.64605045
behavior,0.21034867,0.25297263,0.4161476,-0.26913977
neuroreactive_substance_or_biogenic_amine,2.2247047,-0.18134472,0.029108142,1.5545932
embryonic_structure,-1.8842834,1.6895505,-0.004458741,0.3263388
neoplastic_process,0.5346622,-1.486106,0.24239314,0.90083015
laboratory_procedure,-0.062242284,-1.3703259,0.7394499,-0.70886
natural_phenomenon_or_process,-1.3141959,-1.5115451,0.43810895,0.49837077
immunologic_factor,1.9428618,0.5049404,1.3619285,-1.6336817
receptor,-1.1532596,-0.77125674,1.4039522,0.6415933
self_help_or_relief_organization,0.4741829,-0.27805305,0.53680724,-1.3494356
pharmacologic_substance,0.34648663,0.009404519,0.059969753,1.0475402
molecular_function,1.3947778,1.5190974,-0.85793316,2.1437535
regulation_or_law,0.27968693,-0.21907927,-0.6643085,-0.28679013
human,-0.53047335,-0.8447695,0.83214974,0.8901382
eicosanoid,0.31877297,1.291865,1.1577228,-1.5654361
amino_acid_peptide_or_protein,-0.3361769,-0.80013394,0.04977034,-0.018183462
group_attribute,0.5792383,0.93133855,0.49632743,1.3660696
organism_attribute,-0.6924394,0.21549034,-0.013103879,-0.18061575
finding,1.4684888,-0.3049201,0.053049248,1.1243211
congenital_abnormality,-0.12579502,0.8238567,-0.49959576,0.665062
anatomical_structure,-0.68881935,0.60755765,1.4927695,-0.41548142
molecular_biology_research_technique,0.34919703,-1.5296484,-2.498534,-0.6182103
diagnostic_procedure,-0.56087345,0.71706223,-0.6317408,0.54674566
biologic_function,-1.1344062,-0.07858047,0.57559586,0.07036491
tissue,0.62158173,0.7600668,-0.75741047,1.0549787
hazardous_or_poisonous_substance,0.14870262,1.5559298,1.5120969,1.2302189
chemical_viewed_functionally,-0.9718652,1.0717005,1.1135089,-0.54779613
reptile,0.062498827,-0.58010226,1.1983316,1.4920908
family_group,1.3853235,-0.36977854,-0.08676099,-1.1814997
virus,0.9423472,0.9836957,0.23120785,0.16386794
