,0,1,2,3
location_of,-0.7476557,-0.43529785,0.6040955,0.4438265
manifestation_of,-0.23334685,-0.5811515,0.76715624,-0.26637274
isa,-1.2698627,0.15704216,0.34322205,0.6243914
affects,-0.18157627,0.23142081,-0.39080167,0.4187662
associated_with,0.12722707,-0.31827334,-0.46330574,0.6603854
interacts_with,-0.5669481,0.2171788,0.013324928,0.24087577
result_of,-0.12411486,-0.2396251,0.539443,-0.22479716
complicates,-0.9602759,0.59775853,1.1795212,-0.8539794
occurs_in,-1.0769457,-1.0898893,-0.8462676,1.9679052
uses,0.8042634,-1.3275336,0.8697327,-0.5154676
produces,-0.9431432,1.1541082,-0.13480766,-0.11016377
degree_of,-1.1917349,0.5125681,0.014818877,-2.4696448
connected_to,-0.50673926,-0.15490289,-1.4753555,1.229355
process_of,-0.09707994,-0.23920794,0.7811219,-0.3818208
co-occurs_with,0.81884784,0.037176333,-0.8898687,-2.0005083
disrupts,-0.271267,-1.1687757,-0.13027816,-0.48188022
issue_in,-0.83134335,0.37846157,1.1178153,-0.5947494
part_of,-1.4344586,-0.2790845,-0.075524054,-1.1941807
measures,0.5682116,-0.35032573,-1.1598847,0.88370705
prevents,-0.39079675,2.5668046,0.71217346,0.92681277
causes,0.20580667,-0.33710426,-0.056137834,0.33946437
indicates,0.87484217,-0.52902764,1.0129044,-0.9210021
treats,-0.784308,-0.6245204,0.37263677,0.11374599
evaluation_of,0.27229786,0.5978345,1.4314044,-1.8633649
diagnoses,0.21555147,0.5830036,-0.48510873,0.4500971
exhibits,0.40984863,-1.7962165,0.971479,0.6695683
ingredient_of,-0.066763915,-0.29491878,0.2943572,0.015321987
property_of,-0.8506493,1.9554478,-0.55462605,1.070285
manages,-0.008612337,0.14016785,0.7264154,-0.036463942
assesses_effect_of,-0.040221408,0.8063569,0.4936866,-0.3640109
method_of,0.5521349,0.6034971,-1.1285248,1.2233944
measurement_of,-0.39377806,-0.8898117,0.7393761,1.1824613
precedes,0.8249681,-0.33959487,0.11023847,0.6121686
consists_of,-0.30738267,-0.29753667,0.8171046,0.25874853
performs,0.5398976,-0.12077477,1.0351961,-0.14265646
conceptual_part_of,-0.63669604,0.50087345,-1.0960099,-0.4561108
analyzes,0.46253654,0.49491444,-0.60228,-1.3151343
carries_out,1.1039358,0.19799869,0.49931684,-2.398364
developmental_form_of,-0.47393277,0.4036287,0.58240414,1.0531311
contains,-0.62170106,0.68124706,1.5277264,-0.25709376
adjacent_to,-0.19480602,0.7301146,-0.7505194,-0.3262938
interconnects,-1.891925,-0.63089436,1.2832862,0.34198162
conceptually_related_to,0.054880958,-0.5202359,0.7673696,1.0677388
surrounds,-0.03361726,1.0592414,-1.0259161,1.5435979
derivative_of,-0.28591067,0.2105566,-1.2976717,-1.021289
practices,-0.28849524,1.3390678,1.8465405,-1.1961256
