,0,1
location_of,0.042971972,-0.024442555
manifestation_of,0.34656084,0.27260953
isa,0.41220748,0.25064632
affects,-0.4273223,-0.19460441
associated_with,-0.41339228,1.2653089
interacts_with,0.34520823,-0.032218292
result_of,0.30449554,0.22907773
complicates,-0.02926121,0.08699744
occurs_in,-0.2325226,0.24428946
uses,0.57192624,-0.8155308
produces,-0.81161815,0.24329074
degree_of,0.13165314,1.0646359
connected_to,1.323079,0.24451795
process_of,0.06689254,0.11106648
co-occurs_with,0.12566282,0.5953636
disrupts,1.1954105,-1.1733527
issue_in,0.020859066,-0.32995722
part_of,0.7845909,-0.40331593
measures,-0.23923057,0.12786485
prevents,0.7680254,-0.012484151
causes,0.070228115,-1.3612484
indicates,0.25428194,-0.4255444
treats,0.08049268,-0.34357548
evaluation_of,-0.5276176,-0.16185279
diagnoses,0.76949763,0.5408823
exhibits,-0.20188852,-0.15724215
ingredient_of,-0.2748369,0.30218035
property_of,0.47012147,-0.14494544
manages,0.54710263,0.07335336
assesses_effect_of,-0.19143732,-0.4074673
method_of,1.1812536,0.21912165
measurement_of,-0.82492626,0.11682457
precedes,1.6847816,-0.3765823
consists_of,-0.15876518,0.6193156
performs,0.23088364,-0.76396316
conceptual_part_of,-0.23349665,-1.2762032
analyzes,-1.0666586,0.47382888
carries_out,0.6413169,0.7927056
developmental_form_of,-0.6955681,-0.8288503
contains,0.15198478,0.38249743
adjacent_to,-0.9355878,1.0925883
interconnects,-0.89637804,-0.64798236
conceptually_related_to,-1.4785666,-0.8833814
surrounds,0.75882214,0.17752276
derivative_of,-0.8381602,-0.406927
practices,-0.78799886,1.8611864
