,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
acquired_abnormality,0.5903197,-0.17639327,0.44621336,-0.018007273,0.32038957,-0.3881156,-0.4946339,-0.93560666,0.15007345,0.3984697,-0.010858782,0.4899588,0.024034185,0.16491057,-0.08963251,0.5265672,-0.7254348,-0.5860694,0.08075068,0.40050232,-0.13753274,0.27723104,-0.21838768,0.0124277035,0.112605214,0.2896167,-0.63064206,1.1046742,0.6788112,0.78868973,-0.81885165,-0.12513034
anatomical_abnormality,0.49753872,-0.22315781,0.6989748,-0.13159236,0.44178352,-0.3704856,-0.6856722,-1.0315125,0.13845791,0.04375167,0.11690135,0.40007865,-0.043936867,0.23868982,-0.13037732,0.40174338,-0.58079475,-0.6172151,0.0270659,0.13666497,0.006648411,0.19407377,0.17051718,-0.061560445,0.110290386,0.19950378,-0.37804642,0.9739145,0.7094712,0.71640944,-0.70850635,-0.09439589
alga,0.8734578,-0.25360858,0.144324,-0.9263404,-0.64713335,-0.80994916,0.49320418,0.45036083,-0.8273697,-0.22543268,-0.35920632,0.020932721,0.21150455,-1.0332911,-0.17816637,0.064166434,-0.29478237,-0.40021345,0.009303065,-0.3666994,-0.342969,0.04087528,-0.24015681,0.24757218,0.6065064,0.79034555,-0.5287469,0.08345948,-0.12269296,0.13396083,0.31823877,0.659524
mental_or_behavioral_dysfunction,0.30443162,-0.10817732,0.52918977,-0.49001697,0.6582976,-0.91753954,-0.3928974,-0.19120106,0.36986467,0.27930796,0.3480835,-0.4765856,-0.5007333,0.042585287,-0.0029341378,0.23551135,-0.15493166,-0.64856493,0.18350486,0.16217801,-0.15203078,-0.29463983,0.2860188,0.4886871,0.18008842,0.51127046,-0.42025128,0.7444719,0.18900739,-0.0094789015,0.30805212,-0.644106
health_care_activity,0.20373704,-0.35848305,-0.0042525865,0.64985514,0.30544722,-2.0244625,0.36841998,-0.6538081,0.20697242,-0.727689,-0.45527646,-0.7001685,0.36445254,0.5699989,0.29043394,-0.22026946,0.438573,-0.8231079,0.19426177,-0.6228512,0.34344146,-0.7187405,0.7433321,0.49505833,-0.18718643,0.9492807,1.1726834,0.36779705,0.030053549,-0.1235797,-0.32392538,0.5508721
population_group,-0.30936742,-0.1749401,-0.7814321,0.63178986,0.103875645,-0.6574352,0.52936983,-0.1951499,0.07906961,-0.6168351,-0.3674409,-0.08077786,-1.7619545,-0.48343182,0.4304154,0.063507564,0.4141892,0.27874923,0.42174664,0.0084444685,-0.5059613,-0.57507175,-0.073745035,-0.20999366,1.1686815,-0.06970459,0.6531988,0.06848968,0.37935784,0.9763997,-0.08190918,0.1685674
clinical_attribute,-0.20588115,0.27528405,0.6957332,-0.63213015,0.2198652,-0.6455247,-1.092442,-0.62278175,0.7664766,-0.7282842,-0.20823723,0.07124054,-0.43442857,0.7064206,0.22104421,0.2728042,-0.21283615,-0.68621844,-0.6246095,0.04431226,-0.38480338,-0.066502094,0.7056066,0.24667887,-0.337641,0.26711634,0.19173513,0.6108049,-0.72704816,0.79466784,0.40138644,0.868115
body_part_organ_or_organ_component,-0.29085338,0.3005471,0.6719461,-0.7996578,-0.44779107,0.5120465,-0.13984784,-0.3917366,-0.7455149,0.3088862,0.61709404,-0.004066403,0.3863837,-0.9173364,0.25625056,-0.45303532,-0.4876701,0.71493375,0.59547764,-0.293306,0.21924582,0.08821199,-0.0019793143,-0.476189,0.6250094,-0.5668364,0.8572028,0.40364394,1.0952796,0.41882738,-0.2966616,0.42895392
biologically_active_substance,0.018835807,0.15123697,-0.7045056,-0.38117746,0.7320405,0.001412256,-0.22112344,-1.0111713,-0.38315183,0.16144414,-0.8228281,0.4571946,0.95361066,0.089176886,-0.2559472,-1.1569204,-0.81250745,-0.15009978,-0.06687348,0.35719925,-0.45309955,0.31162837,0.5026536,-0.0036186583,0.37659302,0.36685926,0.49999937,0.6705154,-0.3231449,0.420227,0.10306494,-0.27087492
disease_or_syndrome,0.5313042,-0.25597134,0.40330982,-0.17437059,0.5199859,-0.70434254,-0.44936284,-0.37843877,0.40917322,0.46372372,0.23965675,-0.23606317,-0.45146075,-0.08688078,-0.16417912,0.34831876,-0.22548845,-0.64465743,0.22058673,0.43714762,-0.0055611217,-0.24662217,0.15730402,0.6199569,0.2284882,0.50022,-0.36354414,0.69110656,0.004418405,0.2360196,0.12787713,-0.4096939
carbohydrate,-0.16540879,-0.15394868,-0.32832536,-0.6551933,-0.033308305,0.7159143,-0.45828253,-0.82072705,-0.016675435,-0.20744257,-0.14413661,-0.47191665,0.73520815,0.102921456,-0.90887237,-0.80943704,-0.06994266,-1.0073041,-0.12708382,0.21003407,0.2782499,-0.17240667,0.7905724,-0.6721559,0.3297797,0.8843037,0.5174652,0.39725217,-0.5467707,0.2257272,0.3488386,0.4418822
molecular_sequence,0.49628568,1.4113686,0.23167115,-0.9454662,0.28924763,0.23501337,-0.73370636,0.10554391,-0.56684834,-0.9133585,-0.5618317,0.20568141,-0.50802505,-0.28239548,0.15644225,0.007293633,-0.061237738,0.8054656,-0.6304044,-0.48619488,-0.9742933,0.19499145,0.6985875,-0.9985799,0.07232095,-0.4130847,0.7391219,0.9405289,0.81950843,0.6521518,0.034268573,1.2335994
steroid,-0.2599132,0.3406749,-0.0063417284,-0.73296183,0.32924062,0.3351782,-0.51982623,-0.6151276,-0.4188446,-0.3573519,-0.32334703,-0.03636878,0.5437901,-0.06308085,-0.20864709,-1.0940111,-0.12728228,-0.7525972,-0.021059722,0.6403451,-0.41914415,-0.28272974,0.5672072,-0.4070894,0.308641,0.69068307,0.6772492,0.18925476,-0.59892356,0.3246316,-0.02792891,0.19866592
experimental_model_of_disease,0.37934792,-0.0041157096,0.3065536,-0.4788263,0.7487999,-0.5999773,-0.39693606,-0.29306352,0.5697256,0.3672574,0.15394576,-0.056400497,-0.8063372,-0.09643691,0.02482991,0.4085503,-0.42100877,-0.41257074,0.07893588,0.29292482,-0.015096129,-0.11100185,0.25845593,0.47795832,0.07076922,0.5513411,-0.23643091,0.8009665,0.06500602,0.106084675,0.11306524,-0.485513
patient_or_disabled_group,-0.12516758,0.09225747,-1.0884246,0.60547787,-0.19122659,0.028281959,0.6605718,-0.45751435,-0.15290834,-0.67660815,-0.14278719,0.46529412,-2.0353124,-0.2054332,0.007615723,-0.26549226,-0.13305506,0.44767466,0.3735324,0.4497875,-0.53252363,-0.018007645,-0.32455996,-0.07378554,0.53097767,0.102588795,0.4724959,-0.27309412,0.4372877,1.1081681,-0.24165687,0.32201692
professional_or_occupational_group,-0.48377562,-0.37663648,-1.1011556,0.72332084,-0.18796673,0.03928452,0.41673815,-0.033613756,-0.4557125,-0.09360449,-0.89384395,0.82528335,-1.5449538,-0.18050805,-0.11023725,-0.022082737,0.21595632,0.2856745,-0.04794628,0.44693002,-0.5036203,-0.28058034,0.08912779,-0.14046286,1.043604,0.22609337,0.38378933,-0.23102623,0.75820345,0.9380658,-0.11889709,0.6036496
nucleic_acid_nucleoside_or_nucleotide,-0.39187282,0.1743014,-0.46574977,-0.5364326,0.17148803,0.59972763,-0.66593856,-0.9854531,-0.16278872,0.02666574,-0.3342566,-0.14997792,0.6346267,-0.29776248,-0.47184244,-1.109653,0.029380174,-0.76703405,-0.019169731,0.31191412,-0.09135425,-0.24028541,0.80558646,-0.35645497,0.19315982,0.880839,0.70863533,0.3991984,-0.649121,0.33218312,0.07686868,0.26561242
organism_function,0.087039724,-0.16899998,0.6175184,-1.1648494,0.0805777,-0.20253916,-0.18294318,0.33189157,-0.036252268,0.44101036,0.30503955,-0.8430836,-0.19711621,-0.00039997057,-0.8101882,0.21612723,-0.039030902,-0.11044315,0.3884058,-0.11851762,0.11726538,0.3354536,0.25500146,0.42245337,-0.7408313,0.5687166,0.19487156,0.5026468,0.20072304,0.4161377,-0.13271001,-0.11096485
