,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
location_of,0.48697942,-0.30334824,0.047322538,-0.039775617,0.2663338,0.23862712,-0.17921449,-0.34117717,-0.12572429,0.2029978,-0.37263718,-0.5825131,0.18072279,0.38377488,0.02058608,-0.049586143,-0.37718636,-0.33002913,0.03172239,-0.15850723,-0.014402275,-0.1057181,0.60186505,0.62995744,-0.9881357,0.2620764,-0.1259805,0.037075233,0.64716834,0.34512737,-0.05005741,0.35975066
manifestation_of,-0.5837056,0.8815957,0.1558678,1.0107561,-0.07424914,-0.19219409,-0.0030829476,-0.027457148,-0.10353684,-0.2562278,-0.19717848,-0.47260222,0.061098605,-0.15720202,-0.14237384,0.25924584,0.22209674,-0.16247536,-0.71077114,0.061804894,-0.87950283,0.24421257,0.717432,0.05359978,-0.018577399,-0.033449028,-0.00023896177,0.48302507,0.5293473,0.41555965,-0.23172827,0.47050542
isa,0.13394375,0.24458,-0.003918138,0.5448794,0.09106955,0.504312,-0.15559319,-0.14661035,-0.03237687,-0.11799221,-0.015901046,-0.020199154,-0.085161805,-0.06845862,-0.8155488,-0.07739683,0.1724098,0.20724799,0.3367254,-0.14669114,-0.048851848,-0.08093584,0.03390538,0.4701451,-0.19028166,-0.389916,0.8854475,-0.14900877,-0.025246449,-0.12702112,0.4335498,-0.1714604
affects,0.055137265,0.49065545,-0.101056784,0.21875122,-0.07086277,0.43032527,-0.027138775,-0.055265117,-0.3810467,-0.6192539,-0.14251989,-0.38925013,0.40956694,-0.33815148,0.08083243,0.21362269,0.080362245,-0.11807288,0.009954078,0.3304635,-0.11773211,-0.049848665,0.015638415,0.054135293,0.24241117,0.068274446,0.15435927,-0.6635419,0.058773257,-0.18734783,0.115536556,0.21169919
associated_with,-0.14826278,0.5153618,0.19780795,-0.6216535,0.43299338,0.069792785,0.499252,-0.042975586,-0.2197908,-0.5139268,0.05316094,-0.23033938,-0.6556973,-0.48624054,-0.22131103,0.9648618,0.048961144,-0.7741083,-0.21919115,-0.18113948,0.035191577,0.7649395,0.46113524,-0.09477486,0.19900697,-0.3527625,0.1934975,0.031374734,0.025434673,0.78587985,-0.48892313,0.56128013
interacts_with,0.3346135,0.2582,0.42011032,0.36174718,-0.19858095,0.16835968,-0.37688583,-0.09489112,0.13152932,0.149599,-0.18531527,-0.021103032,-0.19650142,-0.50472605,-0.37784714,-0.031200469,0.2553192,-0.31993663,0.33015403,0.112792686,-0.025391385,0.42820394,0.02438184,0.31557333,-0.4517082,0.02108447,0.13084851,-0.1550255,-0.16315876,0.19058706,0.2045464,-0.31145224
result_of,-0.19770546,0.110530436,0.10338248,0.011837121,0.17216086,0.47181523,-0.15536563,-0.03779386,-0.51693255,0.2818369,-0.33703774,0.35784885,-0.081870854,-0.7120556,-0.19216833,0.29099646,-0.049615797,0.11696705,-0.070687726,-0.1730181,-0.4676862,-0.1682615,0.36572146,-0.0863894,0.5063835,-0.7930038,0.46211088,0.0049301116,0.33342838,0.6769666,-0.15906118,0.35044968
complicates,0.7304041,0.926522,0.22136854,-0.15432706,0.19000441,0.74822325,-0.4394947,-0.23594493,-0.27296615,-0.21053988,0.010516479,0.053449966,-0.65692216,0.5033325,-0.34210438,-0.15605263,-0.19590777,-0.26658294,-0.00012116178,0.74063104,-0.003608089,-0.7814626,0.76649165,-0.53257275,0.5424512,-0.18401793,0.51967204,0.2750584,0.089450896,-0.07613708,-0.19195428,0.46479192
occurs_in,0.52466416,0.3497179,-0.15088527,-0.10549897,0.49376255,0.2796568,0.2779873,-0.091617435,0.2240296,-0.6826079,-0.22699821,-0.40257788,-1.558735,0.45655873,-0.4494061,-0.042336233,-0.2710628,0.36929503,0.2665917,-0.3321749,-0.3578433,0.5186937,0.7430077,0.27663118,-0.4755948,-0.7781774,0.94748706,-0.18903734,-0.5322249,-0.039916627,-0.22946349,0.5898812
uses,0.47708777,0.6261792,-0.011080381,0.5536921,0.11091248,-0.3547788,-0.33148623,0.0015415314,-0.5080496,-0.105514236,0.84702504,-0.3813499,-0.34838253,-0.10790626,-0.16339394,-0.057711028,-0.022562806,0.32878324,-0.01727217,0.35033423,-0.31281707,-0.07356819,0.02132262,-0.17061308,-0.83531773,0.8514075,0.17365544,-0.3381235,1.1273541,-0.24732377,0.75883305,-0.33091363
produces,0.5281325,0.17504597,-0.0346152,0.24220793,0.16009603,0.14481488,0.19936453,-0.7337528,-0.7060575,-0.04227798,-0.29718986,0.47966883,-0.5271762,-0.18473513,0.14379929,-0.24104036,-0.5806667,0.1697238,0.18175556,0.73357326,0.08775533,-0.42448333,0.42735317,-0.40902013,-0.26308027,0.3167893,-0.43416873,-0.44600752,0.81777066,-0.20047452,0.27349767,-0.105972946
degree_of,0.29390323,0.2014117,0.69476545,0.22794987,-0.38519517,0.6857659,0.34239817,0.17605966,-1.1141088,0.3822536,-0.08748523,-1.7229742,-1.1517601,-0.9699782,-0.13050768,0.05732206,-0.39003685,-0.31489658,-0.6904655,-0.16555832,0.46524453,1.3652353,0.7146656,0.43014088,-0.63819313,-1.112713,1.0116043,-0.023441697,-1.1886085,0.52021956,-0.046813652,1.4068118
connected_to,0.35865548,1.4974273,-0.7435027,-0.24016605,0.96020275,-0.51048315,1.2343327,-0.6376155,-0.053441107,-0.1925338,-0.812934,0.22675732,-0.9198307,-0.1368205,-0.5114361,-0.66636384,-0.20031475,0.6151853,-0.8304072,0.100542665,-0.35230276,0.54431444,0.568757,-0.0799183,-0.97325337,-0.39601246,2.050815,0.13223538,1.5667253,1.5370203,-1.0593739,-0.1421827
process_of,0.36421406,0.20833361,0.074185014,0.6045966,-0.5344578,0.463859,-0.43980518,0.37799218,-0.094743446,0.004512719,-0.2746163,-0.8200744,-0.29743218,-0.33961987,-0.31285775,-0.18108542,0.48510343,0.12185313,0.12836869,0.026284382,-0.19213456,0.039182514,-0.016178437,0.1107254,0.29048324,0.016509186,-0.010764465,-0.21861379,0.04669488,-0.52728796,0.19390522,0.28434202
