,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
acquired_abnormality,-0.4640137,-1.1146737,1.3756974,-0.52104247,1.1801327,0.7302621,1.0532956,-0.8986077,1.4237183,1.390289,-1.6707923,1.9841018,1.1037215,0.90304726,-0.07589458,1.1463358
anatomical_abnormality,-0.3154684,-1.1472723,1.5129745,-0.40785527,1.6275119,0.7420404,0.6937175,-0.86930877,1.6360596,1.7844964,-1.5308454,2.116353,1.4774983,0.99114716,0.007882198,0.9944814
alga,0.8662101,-1.5198448,2.2716005,0.7212402,1.0804405,-1.52283,-0.6156329,-0.6008362,-1.6709201,1.0852444,-0.05109286,0.5021969,-0.6590513,0.74263823,1.6041515,-0.041397665
mental_or_behavioral_dysfunction,-0.53962696,-0.04785045,1.020654,1.4400136,0.86395746,-0.81036216,0.85032755,-0.035048876,1.2931799,0.4138449,-0.08244723,0.9429028,0.755009,1.3739566,-0.48219082,1.2034817
health_care_activity,0.91573346,0.122688554,2.2271113,1.0020813,0.304399,0.9392984,0.81248176,-0.8748545,0.21473789,-1.2003922,-1.5923673,-1.0965772,-1.7838954,1.0148469,0.42578563,1.2805862
population_group,-1.4000237,0.63071805,1.9012682,0.39665735,1.9109151,1.2975055,-0.66818976,0.341945,0.73678106,-0.007560822,0.82986957,-2.016849,1.3639679,-1.7354089,0.26199704,1.3727388
clinical_attribute,-0.26124987,1.3845496,1.8294475,-1.4906316,1.945834,1.2480444,1.1775676,-0.71261185,0.90313435,2.260257,0.56470394,-1.9131984,0.7888983,1.0280863,-1.3633026,1.2552775
body_part_organ_or_organ_component,-0.3530176,-1.3540348,1.3519609,-1.1441019,1.3121986,-0.9902702,-0.50233454,-1.3321611,0.61116874,0.29059425,-0.41053173,1.1277137,-0.84589964,-0.99115074,-0.9611915,-1.4622949
biologically_active_substance,0.8360733,-0.025838515,1.8119187,0.056593068,1.3005807,1.3157817,0.50672156,0.23942164,-1.5807502,-1.1661482,-0.14139962,1.3982663,0.622822,0.5391387,-1.5184335,-1.1285025
disease_or_syndrome,-0.7440641,-0.1387154,1.130492,1.744092,1.0952227,-0.961745,0.9543291,-0.1942547,1.3072556,0.35743883,-0.20779513,1.2557622,0.7314157,1.4330332,-0.558792,1.3550211
carbohydrate,0.79708666,0.19247754,1.9663688,0.5397094,1.3174912,0.46659124,0.34690323,-1.103175,-1.6254143,-0.056413062,-0.98422736,-0.05100692,-0.7493799,0.44297227,-1.6132733,-1.5701777
molecular_sequence,1.5251391,1.9169877,2.4647563,1.249371,1.8003922,0.32102323,-0.2570014,1.8226779,0.5091855,1.1132346,1.009583,-0.23400918,-0.0763178,-0.4604808,0.7596799,-1.6555282
steroid,0.9470086,0.6056622,1.9907496,1.0928079,1.442245,0.6440623,0.23352526,-1.2999188,-1.5458623,0.9542881,-0.70204663,0.45522523,-0.5121409,0.5099999,-1.9129097,-1.6571721
experimental_model_of_disease,-0.5949562,-0.22237267,1.1785117,1.662392,1.1217659,-0.9664782,0.8300085,-0.4377067,1.4547231,0.34103402,-0.1975936,1.1811278,0.53878206,1.4809693,-0.63262624,1.2395334
patient_or_disabled_group,-2.0625217,0.6519854,1.7571,1.2244774,0.75357395,1.820203,0.41535234,0.18998028,-0.0011071521,-0.3018519,0.07763389,-1.3077202,1.7497094,-1.5068207,0.8078637,0.8324637
professional_or_occupational_group,-0.4849378,0.71964025,1.9227134,1.6087356,0.67108506,1.8181357,-0.88171166,0.40648475,0.25482398,-0.6254127,0.017177152,-1.4057018,1.6457541,-2.0337703,0.5833901,0.85609144
nucleic_acid_nucleoside_or_nucleotide,0.7766097,0.32587922,2.053877,0.9026106,1.2883343,0.46362895,-0.15940626,-1.1694212,-1.4135876,0.3478823,-0.65019125,0.3215289,-0.27572638,0.5279821,-1.6007621,-1.7379686
organism_function,-1.2251995,-0.42483398,1.2013046,0.065855384,0.5343393,-1.3461435,1.0525224,1.2585711,0.5249644,0.72273195,-1.6473658,0.8836016,-0.5859414,1.4358009,-0.90483505,0.7553907
mental_process,-0.9386646,-0.26929525,1.022231,-0.4583038,-0.25768206,-1.306652,1.002008,1.2313068,0.4197066,0.84643584,-1.2876189,0.78806764,0.3429985,1.3361115,-0.3109659,0.16928433
therapeutic_or_preventive_procedure,1.3038317,-0.59588575,1.9289799,2.3042889,0.14785334,1.0849261,1.8023828,-1.0440874,0.3295255,-1.6970917,-0.9387268,0.07704255,-1.4168358,0.90492886,0.45247436,1.2212095
cell_function,-1.1921711,-0.5561286,1.3099476,-0.11518852,0.6179096,-1.3296663,1.0509499,1.3092173,0.5703775,0.8475583,-1.5277445,0.89193285,-0.54326665,1.6265131,-0.88286614,0.7899282
pathologic_function,-0.75919557,-0.117494226,1.2121906,1.6546822,1.0553292,-1.0508714,0.8980702,-0.2085794,1.377511,0.42197633,-0.31340668,1.1243787,0.687808,1.3408699,-0.56159854,1.3673741
organ_or_tissue_function,-1.1575621,-0.5642457,1.2390648,-0.1758301,0.5566881,-1.2284276,0.7618076,1.1295185,0.6782149,0.9853032,-1.7337791,0.7847704,-0.4942904,1.4496906,-0.81289136,0.86309403
enzyme,0.7270057,-0.3087399,1.8646779,-0.10491642,1.6530325,1.2739443,0.46008244,0.21435587,-1.7560835,-0.7317429,0.207151,1.3793315,0.944383,0.75106514,-1.5536879,-1.2049685
cell,-0.35194302,-1.6232611,1.6047399,-1.3254304,1.8131725,-1.0256538,-0.06354033,-1.6739769,0.2911041,0.68957967,0.1338322,1.13943,-0.95233345,-0.7718344,-0.9776056,-1.5767249
cell_component,-0.625391,-1.654462,1.8325912,-1.2011095,1.4737011,-0.56931484,-1.3089396,-1.3728077,0.24095777,0.75268835,0.13596457,1.2463969,-1.1874797,0.613567,-1.5862378,-1.1244437
cell_or_molecular_dysfunction,-0.70507157,-0.07467947,1.2462099,1.7764276,1.0438834,-0.95985985,0.9608335,-0.19068713,1.4394367,0.51062655,-0.04349593,1.2151064,0.882421,1.4059091,-0.6194813,1.2049383
hormone,0.90092814,-0.20437117,1.8312978,0.20128869,1.6893152,1.0744506,0.2534558,-0.12949274,-1.8682066,-0.42329818,-0.042175356,1.3695707,0.9140146,0.5193045,-1.4837649,-0.9668318
organic_chemical,0.62878317,0.68339294,2.2175553,0.8059817,1.0496304,0.9634876,0.19357961,-1.7791771,-1.7734153,0.7619377,-1.0850893,-0.054261852,-0.72286385,0.33720887,-1.8708034,-1.2999227
behavior,-0.012567139,2.6873422,1.8631691,-1.0551951,1.8166997,0.4135789,-1.2406756,-0.7501028,0.5362823,0.12609236,-1.7259238,0.35160956,-2.3822906,1.0136604,-0.19450504,1.2640994
neuroreactive_substance_or_biogenic_amine,0.81668735,-0.31557336,1.7712389,0.16160709,1.8613608,1.4702301,0.039692786,0.13322942,-1.696757,-0.57336193,-0.025832577,1.3120699,0.73267037,0.6295661,-1.3577646,-1.115891
embryonic_structure,-1.3492321,-1.5070342,1.8817084,-1.1688215,1.7922248,-0.41085818,-0.05875357,-1.7594222,0.47778726,0.7679726,0.49343315,1.100216,-1.1891178,-1.4557759,-1.0332781,-0.53564435
neoplastic_process,-0.66418874,-0.16574858,1.2173067,1.7949054,0.9868158,-0.9496293,0.8035544,0.02206705,1.2843839,0.37159112,-0.25397158,1.152845,0.66879255,1.3837827,-0.47900286,1.1815356
laboratory_procedure,0.89821476,0.29289603,1.5164224,0.71207535,0.4312946,0.6547249,-0.76952755,-0.8662143,0.7623096,-0.76982373,-1.3938993,-1.0241452,-1.126319,0.8973116,1.8183203,0.72557485
natural_phenomenon_or_process,-1.3434504,0.4242614,1.8997844,0.19833662,0.71935505,-1.528565,0.46162748,0.6131321,0.57514334,1.1032017,-0.73579025,-0.96322036,-0.0047795903,1.8385761,-1.4319813,1.6826706
immunologic_factor,0.7556525,-0.06853324,1.8065822,-0.39054915,1.495596,1.6078435,0.37190992,0.16458698,-1.4063174,-1.0303152,-0.2657749,0.80418116,1.0299697,0.8146664,-1.4989197,-1.4240048
receptor,0.84426636,-0.24111134,1.8506353,0.19596097,1.5322741,0.9445273,0.36021626,0.29646894,-1.8622174,-0.6921485,0.09931598,1.3959049,0.8521871,0.52939713,-1.5407873,-0.92324317
self_help_or_relief_organization,0.44050044,-0.14887582,2.3192527,-1.6177089,1.8114699,1.2165014,0.8816167,1.3730463,0.2314347,0.84223294,0.55213404,-2.147044,1.7254752,-2.128084,0.64487815,-1.7480491
pharmacologic_substance,1.5010774,0.1966458,1.6223847,1.799918,1.0910006,0.539125,-0.3123278,-0.63243467,-1.360612,-1.4576032,0.25447702,0.7214291,0.56852657,0.3803933,-1.120126,-0.51976365
molecular_function,-1.320191,-0.60389054,1.3031737,-0.22341137,0.546123,-1.3680452,0.39039433,1.2551928,0.5715117,0.88347447,-1.703339,0.8707902,-0.5390402,1.568577,-0.9420933,0.7512316
regulation_or_law,-0.45174596,0.6875663,2.0964344,0.10356113,1.2932043,-1.9230542,-1.6662507,1.7967489,-0.42580938,0.45110768,0.077783905,-0.5388508,-0.30340257,-2.0754268,0.6181651,-0.8403491
human,0.60419244,-1.7147418,2.1851747,0.5891815,1.3271873,-0.86777854,-0.15897113,-0.6064738,-1.5969908,-0.1889297,-0.05323307,-1.2180701,1.0463318,0.88726985,1.3071488,0.23155902
eicosanoid,0.6581036,0.29143974,1.9032959,0.94496804,1.6159066,0.6885597,0.27479634,-1.2961777,-1.5985667,0.3382809,-0.7338773,0.187892,-0.3183937,0.5066085,-1.6435153,-1.7267069
amino_acid_peptide_or_protein,0.9203801,0.53008395,1.8525416,0.81672156,1.6534703,0.7098927,0.32482848,-1.3753953,-1.3711132,0.36482245,-1.016942,0.035655994,-0.58733964,0.604803,-1.4729557,-1.7914518
group_attribute,1.099961,1.6452287,2.4914548,-2.0888333,1.5351658,-1.6509818,-0.3704735,0.24900763,-0.15271705,0.28992355,-0.1688851,-0.55753946,1.4036838,-1.6972545,-0.18251388,1.6031657
organism_attribute,-0.4675588,1.5556194,1.711459,-1.2052613,1.6953474,1.0052357,0.81056505,-0.71012074,0.6758703,2.3314085,0.5163436,-2.2472475,0.5940778,0.9010643,-1.0578792,1.1889918
finding,-2.310866,2.0475676,2.1574266,0.40697786,1.4934067,0.4004566,-0.37815425,-0.56168175,1.4224236,0.8205724,0.20699908,-2.0813646,-0.76132953,0.13451958,1.8094126,-1.4616956
congenital_abnormality,-0.39756206,-1.1925726,1.4185477,-0.5289247,1.5117203,0.5777616,0.91618735,-0.8678611,1.7323226,1.6286751,-1.4640113,2.0220969,1.2711056,0.87605506,0.14369005,1.0549515
anatomical_structure,-0.79990965,-2.0015843,2.6769276,-1.7652586,0.6854503,0.5352824,-0.8080045,-2.1557791,0.088103406,1.6491609,-0.69126034,-0.34382764,0.34753665,-1.4345874,-1.4068143,-0.09843821
molecular_biology_research_technique,0.20585564,0.47121727,1.5429214,0.6008412,1.0875081,0.706965,-0.93131125,-0.97078675,0.049342662,-1.1998985,-1.1932397,-1.2658223,-1.3036978,0.23169537,1.917475,1.2085139
diagnostic_procedure,1.8914751,-0.36156806,1.3003591,1.2095433,0.45493883,0.3953118,-1.209408,-0.5291411,0.7797762,-1.3465552,-0.8508556,-0.31065002,-1.2331228,0.34256762,1.366893,0.8702778
biologic_function,-1.3370181,-0.5641825,1.5057671,0.53121614,0.752761,-1.4956503,0.65387076,0.7549516,0.9011467,0.79224783,-1.1846195,0.97210485,0.17788245,1.5336655,-0.8937354,1.3612634
tissue,-0.55190283,-1.2999865,1.6044292,-1.2812312,1.0106937,-0.6780291,-2.115324,-1.3189256,0.19193256,0.6804778,0.094500415,1.2098125,-0.3571495,-1.1556431,-1.3794559,-1.2057953
hazardous_or_poisonous_substance,1.3399522,-0.05464041,1.8272778,0.85149986,1.9430901,0.89475304,0.40754306,0.19859742,-1.6195891,-0.21396875,-0.11652531,1.1034306,0.91024995,0.59219664,-1.368688,-1.4695971
chemical_viewed_functionally,0.8469802,0.25500694,1.954636,0.065547004,0.56135625,0.1715937,-0.1615896,-0.0124318395,-1.697682,-0.91708785,-1.1539091,-0.50505733,0.54092664,0.5510898,-1.480629,-1.6306772
reptile,0.49938726,-1.720286,2.159327,0.47301278,1.7298204,-1.0896655,-0.5036774,-1.0551873,-1.5589535,-0.14344487,0.16847254,-0.6530943,0.85241485,0.7745485,1.2021226,0.09727531
family_group,-1.2315748,0.60880905,1.9165328,0.31665692,1.5564411,1.9642552,-0.37654692,0.6969305,-0.042320304,-0.4683042,0.35742536,-0.8531052,2.0910068,-1.771295,-0.022993762,1.4214069
virus,0.792534,-1.4919426,1.9084485,1.4365185,2.0384178,-1.539033,-0.641046,0.34490004,-1.8503073,0.67265546,0.90683204,0.2849922,-0.5747519,0.7199349,1.0262346,-0.5210827
indicator_reagent_or_diagnostic_aid,1.0901775,0.49824226,1.9394058,0.4017407,1.6524044,0.2211394,0.06535026,-0.16203764,-1.7231138,-0.2984052,-0.5938511,-0.61799276,0.29331514,0.52380216,-1.5316336,-1.620789
sign_or_symptom,-2.065133,1.9138855,1.9790193,0.8635833,1.4904507,0.62604666,-1.494067,-0.7909721,1.6039305,1.4935398,0.16086172,-2.045191,-0.51053494,0.1346994,0.94610196,-1.0693562
antibiotic,1.3736128,0.22736102,1.8184854,1.8868026,1.3483639,0.51533127,-0.17354423,-0.4306834,-1.4067942,-1.4059417,-0.35087863,0.6549724,0.91496384,0.32904834,-1.1159971,-0.7960272
chemical_viewed_structurally,0.6854461,0.4207134,2.0894542,0.48916167,0.72879833,-0.4121627,-0.28539434,-1.1724616,-1.7549019,0.70186126,-0.8010967,-0.19012693,0.22808708,0.40106404,-1.5155468,-1.554209
body_space_or_junction,-0.007198476,-0.8487015,1.6747738,-0.73753375,1.0638462,0.46125585,1.7324462,0.60595584,0.27090418,1.9288753,0.9552339,1.1166724,-0.034726106,-0.6422961,1.1764257,-1.5439643
amphibian,0.60129994,-1.8337145,2.1703494,0.52413523,1.5644202,-1.3627334,-0.16239594,-0.8425805,-1.50648,0.67784727,-0.032659855,-0.89135724,0.9648974,0.83184606,1.3478426,0.09055916
health_care_related_organization,0.59054166,-0.021827303,2.328816,-1.482337,1.2855688,0.776,0.7535913,1.2980657,0.42644566,0.46131697,0.12947543,-2.0773566,1.4780798,-2.0049813,0.48529783,-1.5174949
fish,0.7071484,-1.797465,2.2066972,0.73198533,1.367694,-1.2039281,-0.57712877,-0.9956053,-1.6418356,0.5288348,0.58191967,-0.86154914,0.7250879,0.88808364,1.4433368,0.19426486
physiologic_function,-1.3692757,-0.68828046,1.3380085,-0.218892,0.7941147,-1.4209465,0.66100425,1.162235,0.4584332,0.92573774,-1.2024637,0.90221107,-0.2793043,1.6263316,-0.9534597,0.86805195
animal,0.44317183,-1.8681047,2.253773,0.5316358,1.0903215,-1.4807783,-0.11175536,-1.1634166,-1.7329558,0.21808806,-0.4824408,-0.7364019,1.3969852,0.8747882,1.0448191,-0.0373049
injury_or_poisoning,-0.50296444,-0.46583,1.4243277,1.0771261,0.7013792,0.7299954,0.80629873,-0.34541956,1.4020125,0.72985125,-1.7438034,1.9350564,1.1515088,0.28999364,-0.23890866,1.3559482
lipid,0.66338503,0.51829886,1.9709679,0.7901944,1.1375093,0.7000713,0.18193659,-1.452663,-1.6917846,0.5828684,-0.39681646,0.18600444,-0.311481,0.30815965,-1.7334526,-1.5522541
plant,0.6208404,-1.3613824,2.2984076,1.189042,1.4078369,-1.4169444,-0.8669734,-0.62351894,-1.8087273,1.6272212,0.047183115,0.16288435,-0.96302015,0.8598732,1.4737556,0.23803899
organization,0.46745577,-0.5873061,2.3503885,-1.6928213,0.7404657,1.091918,0.84792364,1.43964,0.21783443,0.49498814,0.59756833,-2.0069804,1.7412498,-1.9698529,0.43579257,-1.778976
genetic_function,-1.1419524,-0.6288599,1.169835,-0.09455137,0.6866564,-1.1491082,0.9937927,1.1286849,0.50726014,0.94321203,-1.646089,0.91622186,-0.5804083,1.3839656,-1.0142237,0.80915546
gene_or_genome,-0.8158402,-1.7850059,2.2406507,-1.5000718,1.3991324,-1.0199583,-0.8788137,-1.7968078,0.5260242,0.1385674,0.018374465,1.4160578,-0.86603415,0.8939931,-1.5350976,-1.4273036
laboratory_or_test_result,-1.9336563,1.6334469,1.959069,-0.054058917,1.3325875,0.13074245,-0.28590432,0.41528574,1.5709856,-0.07499745,1.1141088,-1.6950492,-0.052783057,0.756586,1.591038,-1.1669136
spatial_concept,0.9628182,1.409943,2.3602548,0.4078506,0.88305515,0.2852327,-0.7308699,2.23882,0.13678731,1.9376997,-0.80406094,-0.46302137,-0.94928247,-0.56228954,1.1830534,-1.0255252
rickettsia_or_chlamydia,0.5466266,-1.5581657,2.0330436,1.3356036,1.8896496,-1.9732405,-0.32306656,0.5565586,-1.7991592,0.56716657,0.33695173,1.2253543,-0.31087288,0.774312,0.97940266,-0.6172842
body_substance,-1.8848302,-0.39934352,2.0457582,0.9798711,0.6719753,1.0549039,-0.62663513,-0.35373077,-1.3926122,-0.60220873,-1.1372681,1.0997392,1.3799907,-0.4070366,-1.5983968,-1.508427
intellectual_product,-0.70500964,1.1795003,2.3212757,1.5461972,1.1099582,-2.3031003,-0.8551347,1.7375284,-0.64628905,0.222097,-0.81779736,-1.2717682,-0.3880445,-2.1246638,0.70921916,-0.35093492
element_ion_or_isotope,0.81099665,0.36470473,2.1546564,0.28064382,1.6289983,0.48172638,0.2641726,-1.274803,-2.043122,0.055542193,0.112206854,-0.32753506,0.6766448,0.49734128,-1.4112182,-1.0823088
research_activity,-0.25923565,0.244366,1.696024,0.9235421,0.8458709,0.7879601,-1.2801903,-0.58893436,0.15664625,-1.3356291,-1.3584511,-1.5813112,-1.4274067,-0.67535454,1.8909932,1.2468883
geographic_area,0.8811783,1.9575449,1.9318299,-1.0227638,2.117152,-0.23264548,0.20780097,1.8419087,1.2675195,0.8262599,-0.24922006,-1.8738523,0.20653698,-0.8770307,1.009379,0.094760366
professional_society,0.33883786,-0.43852624,2.2980201,-1.1404446,0.99642396,0.73021525,1.9267256,1.3749182,0.23834923,0.7903909,0.42295042,-2.2026284,1.8620859,-1.8806927,0.24048865,-2.0593555
