,0,1,2,3,4,5,6,7
acquired_abnormality,-0.17885523,0.37409833,0.56291246,-0.49838638,0.5718764,-0.5089339,-0.6801612,0.03670579
anatomical_abnormality,-0.39862987,0.63522714,-0.15491842,0.3166992,-0.41959402,0.40457505,-1.3354578,0.21778104
alga,-1.3502874,-2.0974703,-0.17887162,-0.4094433,0.40075937,-0.20096818,-0.96676016,0.9134442
mental_or_behavioral_dysfunction,-0.3286255,1.2738076,-0.5090559,-0.3212516,0.66705126,-0.13996226,-0.49213567,-0.34349185
health_care_activity,-0.07217732,0.21110132,0.9315755,-0.59604317,-0.3355889,-0.19942027,0.6103195,0.33677822
population_group,0.32519177,0.18231153,-0.7681348,-0.5318807,2.2039099,-1.2946073,1.104258,-0.47784793
clinical_attribute,0.42996436,0.61821157,-0.8032443,-1.1008637,1.0307115,0.297682,-0.4112779,-0.6382036
body_part_organ_or_organ_component,-2.3202388,1.0973637,0.31489992,-1.1620489,0.2242604,-1.1462222,-1.5673298,2.296874
biologically_active_substance,-0.18462346,-0.45066,0.0958065,-0.31203946,0.5957206,0.78218055,2.1339676,0.23574442
disease_or_syndrome,-0.01725497,0.54206914,-0.13172974,0.07880027,0.16925305,-0.5912565,0.013842298,-0.64034253
carbohydrate,-0.19442096,-0.23062369,-0.9724678,1.0757523,-0.27570805,1.064842,1.477333,0.9415164
molecular_sequence,-0.29346535,-0.54858184,-0.62317646,1.1009259,-1.1141709,-0.8092802,-0.09782827,1.7960678
steroid,-0.26462492,-0.0019819378,-0.3198789,-1.0501896,2.3126922,0.6045234,0.32959896,1.7250271
experimental_model_of_disease,0.11498449,0.26678517,0.18700701,0.6976435,-0.86426234,0.7165061,-0.49690527,-0.5674532
patient_or_disabled_group,-0.7067577,-1.3507453,0.5588878,0.17589328,-0.11855801,0.26559663,0.5330224,-0.55065465
professional_or_occupational_group,0.48356906,-1.3412741,-0.32843983,2.0670092,-1.6334246,1.8243793,-0.24814361,0.2553425
nucleic_acid_nucleoside_or_nucleotide,0.60734737,-2.009101,-0.04573291,1.1450979,0.40237162,-0.39641425,2.3084292,1.1052873
organism_function,0.06070649,-0.13165511,0.92912465,-0.28960508,0.63824886,-1.1013441,0.74480575,-0.8837455
mental_process,0.0027496198,-0.39667174,1.1559788,-0.05443014,-0.18975224,-0.9390325,0.62485325,-0.5547353
therapeutic_or_preventive_procedure,-0.12641187,0.71023035,-0.046815336,-0.14154187,0.08897233,0.9500723,-1.4100865,1.0022432
cell_function,-0.05547087,0.33165327,-0.0032046575,0.3778532,0.20221037,-0.44474804,0.37868285,-0.7465891
pathologic_function,-0.22121009,0.6016672,0.90208393,-1.031564,0.82055175,-0.37623212,-0.33653808,-0.5706245
organ_or_tissue_function,0.03266318,0.28112936,-0.1531661,1.1624292,-1.0957936,0.31015262,-0.041120525,-0.6325262
enzyme,0.25178924,-0.8123431,-0.27464604,0.72594494,-0.02134434,1.908841,0.8675195,1.1006833
cell,-2.6123476,0.38568968,1.3144691,-1.2269825,-0.27765477,-1.2058101,-0.8305587,1.9666331
cell_component,-1.6203521,1.3838375,0.0612417,0.98806226,-1.7526114,-0.5179543,0.66749203,0.6161742
cell_or_molecular_dysfunction,-0.11071053,0.75911915,-0.5624629,1.1164132,-0.6419652,0.21047075,-0.35976285,-0.52665484
hormone,-0.5023793,0.2938509,-0.072297975,-0.85381746,1.3322458,0.9093977,1.7038618,0.5279409
organic_chemical,0.0021384556,-0.8344024,0.11830509,-0.88000935,1.4743451,0.9960091,0.35086465,1.7558904
behavior,-0.3879135,0.36926007,0.85843205,-1.6606355,1.600112,-1.9057671,-0.08316943,0.95532703
neuroreactive_substance_or_biogenic_amine,-0.21954861,-0.27195105,0.2522813,-0.74283534,0.59455353,1.7560425,1.038189,0.52021676
embryonic_structure,-2.413328,-0.32557967,0.39593983,1.0420476,-1.3962101,-2.1940293,0.27888557,2.0006247
neoplastic_process,-0.3609122,1.2485939,-0.2680319,-0.38415447,0.83126867,-0.38746336,-0.47430694,-0.3430202
laboratory_procedure,-0.5899793,1.9896259,-1.0616082,0.4318211,-1.4579388,1.1525387,-0.23244643,0.36615673
