,0,1,2,3,4,5,6,7
location_of,-1.0840164,0.7750106,0.33278716,-0.2253707,0.30148152,-1.2635205,0.2909405,1.0461109
manifestation_of,1.8143723,0.46104968,-0.10920006,-0.08473445,1.2918564,0.39168507,0.68100095,-3.0152812
isa,-0.46727806,0.5342162,0.86975884,-1.2218586,0.06773151,0.2715736,0.8069031,-0.19811653
affects,-0.9659055,-0.12615399,0.42044425,-1.7220384,0.23092265,-1.7206529,-0.83963406,-0.65288377
associated_with,-0.702928,0.9698534,-0.36357313,0.14769153,-1.0112216,1.0219036,0.17310514,-2.8502612
interacts_with,0.298124,-1.3880299,2.160195,-1.1301718,0.5372812,-1.2036784,0.39422455,1.5786643
result_of,2.14434,0.39277926,-1.0181079,0.03488788,1.4593922,0.14014257,0.15180579,-0.8067878
complicates,0.447895,-0.43215683,-1.3820951,-0.18083304,-0.74475193,-0.23858315,-1.4387304,-2.8745635
occurs_in,-0.9028653,1.901808,-0.8934214,1.1280488,0.6979601,-0.8961045,-0.012562511,0.23843995
uses,-0.39631373,0.18294314,-0.037501942,0.79212946,-0.746331,1.5653237,-1.2111539,0.42229238
produces,-0.38892105,0.31344312,-0.49303406,0.27880535,0.9164664,-1.6186852,1.4182616,-0.9823464
degree_of,2.031053,-0.4878891,0.13912342,-0.1954405,0.34012443,-0.42482758,0.35239935,-1.035543
connected_to,-0.9118725,0.9143724,0.49721813,-0.70739865,-1.462772,0.70536965,0.11162343,-0.14172918
process_of,-1.5529646,1.1528242,0.46268937,-1.019261,-1.8077918,-1.4854183,-0.5036012,-1.0305988
co-occurs_with,1.7327245,-0.19188106,-1.0713973,0.560345,-0.50250494,0.877651,-1.4133362,-0.3862233
disrupts,-0.602381,0.3677426,-1.5424043,0.92855984,-0.4191998,-0.45376483,-0.55621743,-1.2484959
issue_in,0.3914713,-0.74371797,0.29908073,-0.039455093,0.19740525,0.2808638,-1.1238177,1.4849875
part_of,-0.8434037,0.5776504,-0.35875517,1.208601,-0.09474109,-0.96856076,-0.9683175,1.6982586
measures,0.5201715,-0.55860347,0.74887204,-0.7697296,0.6311214,0.8862331,-0.25465447,-0.655325
prevents,-0.6007066,-0.1951606,-0.55471504,-0.09629831,-0.663829,0.6415677,-1.3837638,-1.0309764
causes,0.835104,-2.0939803,0.7602594,0.43786117,-0.095181786,-0.6678257,0.31716886,0.023816347
indicates,-0.26731518,0.619561,-0.5740124,-1.3001531,1.0820744,0.120579496,0.03175698,-2.942168
treats,-1.0861127,-0.38859904,0.6303634,-0.39369765,-0.62076616,-1.3613929,0.51835495,-0.44701388
evaluation_of,-0.37621027,0.5228191,-0.039021526,0.21494363,-0.05113004,1.0011413,-0.4365868,-0.8027733
diagnoses,0.5689764,-2.0436811,1.145724,-0.18859208,-1.0917588,-0.082930736,-0.25780508,-2.6264677
exhibits,0.46269643,-0.9394192,-1.2000762,0.631544,0.41753614,0.054376435,-0.18378387,-0.48201507
ingredient_of,-1.1914898,1.0945786,0.33702156,-0.59086937,-0.37978128,0.6140418,-0.4966204,0.4915989
property_of,1.0495529,-1.3188434,-0.30474487,-0.31725094,0.62801784,-0.281528,0.826196,-1.0004861
manages,-1.0204965,1.2957411,0.631906,-1.6922418,0.6248039,0.27409366,-0.24420936,1.4541607
assesses_effect_of,-0.089561984,0.4146989,0.24401431,-0.702457,1.5377828,-0.33248758,1.0690994,-1.0290614
method_of,-0.5612272,-0.11701004,0.06700046,-0.30105194,0.8277459,-0.49082834,0.8238175,-1.2562885
measurement_of,0.7129815,-0.18978436,-0.710879,0.183514,0.99912447,0.082153775,0.04575585,-0.26157597
precedes,1.622472,1.0281063,-0.95571595,0.2878696,0.79440004,-0.6364045,0.74497277,-1.5321648
consists_of,-0.31075037,-0.9720996,2.2741296,-1.4875668,-0.8445019,1.1925008,-0.8697899,0.1469546
performs,0.48605132,-1.6751999,-0.3707135,1.2796837,0.81685,-0.9641476,-1.0649976,1.3259536
conceptual_part_of,-0.86007977,1.0775464,0.85459,-0.8264517,-1.241593,0.23972791,2.9281266,-1.653298
analyzes,-0.21070641,0.5305071,-0.099426046,-1.1870061,1.6682097,0.08621448,-0.15325116,-0.14071968
carries_out,-1.0616353,-0.00043073896,1.5237026,-1.4001144,0.06567933,-0.4620029,-0.2971652,0.5401238
developmental_form_of,-0.12584743,0.20502497,-0.3379582,-0.13109457,-0.24090406,-0.11208656,1.353049,0.29824924
contains,-0.27029783,-0.24398994,0.45974028,0.47761577,-0.1290606,-1.4216254,0.73591834,0.0030998047
adjacent_to,0.014607515,0.56479686,-0.37321267,0.67465055,-1.2091787,1.0921968,0.042545658,1.3855896
interconnects,0.596621,-0.74753106,0.64726245,-0.11327396,-0.56357235,0.5352251,0.19439441,2.299449
conceptually_related_to,1.7826016,-0.90623236,-0.3177072,-1.1538043,0.8369028,-1.4909154,-0.9105324,0.32990885
surrounds,-0.12638047,0.88745004,-1.3634976,1.0820584,-0.23863745,-0.85175455,1.548928,-0.75221914
derivative_of,0.0020755853,-0.078988254,-1.1810998,2.0925987,-0.62404007,0.1520175,1.0100183,0.7411086
practices,-1.3290128,0.51797366,1.0442791,-0.4116786,-1.8509538,-0.29655626,-0.21613555,1.821874
