,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
location_of,0.35755652,0.051702444,1.0930068,0.12651627,-0.42479086,-0.082543075,-1.16473,-1.6064423,-0.026084041,0.4743586,-0.20719051,-0.2391171,-0.14119285,0.6373666,-0.073795915,-0.68666726
manifestation_of,-0.25472873,1.0895867,-0.51470244,0.44705755,0.610091,-0.34678662,-0.229039,-0.50668186,0.0058199167,0.2279506,-0.9917098,1.4694443,-0.83578646,0.21188535,-1.071401,-0.45322606
isa,-0.23304687,-0.25379482,0.5231575,0.029331254,0.45564517,-0.28837818,-0.20186442,-0.31274828,0.31297374,0.25567326,1.0306479,-0.0389139,-0.48982546,1.0131416,-0.25126365,-0.0087750815
affects,-0.73093265,0.7939942,0.17780177,0.32160822,-0.05941513,-0.048912156,-0.387812,-0.16948393,0.39989635,-0.58059764,0.40705982,-0.093064815,0.07578094,-0.25994486,-0.1440661,-0.30592582
associated_with,0.12665653,0.15714931,-0.034588628,0.70645106,1.112875,-0.9822202,0.5910517,-0.99619746,0.007452097,0.7337325,0.78880674,-0.39855564,-0.9851952,0.78606874,-0.4285956,-0.68538475
interacts_with,0.14857127,-0.14472336,0.35618085,0.68688226,0.29258415,-0.20092802,-0.6169601,0.2155062,0.026731554,0.4778297,0.16222735,0.4979472,-0.2376004,0.4748066,0.27827325,-0.71311295
result_of,-0.7361268,0.54594463,0.25937384,-0.22057196,0.41578165,-0.60911417,-0.111474074,-0.5335771,-0.33362323,0.658306,-0.0023925167,0.04298642,-0.23308578,0.6100554,-0.7162041,0.21815641
complicates,-0.5610798,0.32599795,0.04341244,-0.24587704,0.37380153,-0.57860017,-0.64108145,-0.696789,0.50571114,-0.5392862,1.4147866,0.5671838,0.60052437,-0.46966034,0.9165214,-0.83770496
occurs_in,-0.27317303,-0.3881242,0.1561542,1.3010123,-0.08680414,-1.4180366,-0.11235345,-0.53504,1.0581685,1.1191088,-0.10058265,1.3718787,-0.46554095,0.7064175,-0.45439497,-0.48874682
uses,-0.38207966,-0.624451,0.87577397,0.14088549,-0.9883088,0.024771817,-0.90335,0.097828716,-0.34359694,0.3918715,-0.21629232,1.2941924,0.60891557,-0.79110444,-0.1106206,-0.6209115
produces,-0.98878866,0.14683108,0.6187829,0.50654286,-1.5991031,-0.0482883,-0.5007946,0.02062069,-0.44411147,0.016886087,0.31827074,1.323193,0.17793342,-0.37552902,0.32506207,-0.44123292
degree_of,-0.74227077,0.10981129,0.69064736,2.050989,1.8413142,-0.5362622,-0.7380451,-0.32433274,-0.20879142,-0.11040186,1.2865505,1.313258,-1.2812487,0.9381515,-0.090356484,-0.017390192
connected_to,0.21324925,0.76348186,0.7199966,1.1411724,0.176108,-0.6213841,-0.92087007,-0.724368,0.014596794,-1.2852058,0.3081444,0.9639869,-0.22264181,0.5383667,-0.5203332,-0.7777344
process_of,-0.29376218,0.55468804,0.6938926,0.38183707,0.009632728,0.40735346,-0.16769345,-0.40060872,0.8364414,-0.35084298,0.4666203,0.3172536,0.15597688,-0.11255542,-0.32416385,-0.20413488
co-occurs_with,-0.5667049,-0.76015824,1.2667363,0.25297016,0.7640973,-0.36323062,-1.0296544,-1.5971236,1.022632,0.85183686,0.28268987,0.61800843,-1.2955729,0.40134647,0.37145466,-0.46590263
disrupts,-0.29242635,-0.16677922,0.8737866,-0.1850783,-0.5841545,-1.0216576,-0.8117207,-0.7568654,0.55516696,0.05621912,0.38477638,0.5459741,1.3643934,-0.19759358,0.45092487,-0.4043726
issue_in,-0.03425805,-0.16325353,0.25600806,0.014437097,0.27902603,-0.19389309,-0.097149305,-0.22753681,-0.44702104,0.0869614,0.20603386,0.6319772,0.16957274,0.12509698,-0.5165251,-0.14489523
part_of,-0.30832723,0.10553335,0.33938676,0.49510562,0.2985081,-0.40030345,-0.45234206,-0.41292185,0.43482444,0.019582124,0.18087731,0.065943785,-0.74313664,-0.221533,-0.6559349,-0.3279009
measures,0.4594677,0.23903829,-0.047637068,0.16932043,0.3403904,-0.19352545,0.6998582,-0.61293083,-0.88658565,0.35545048,1.1094524,-0.09834677,0.57598186,-0.47907296,-0.6588766,-0.6743666
prevents,-0.23454657,0.6546118,-0.6826338,0.5506716,-0.52210605,-0.15712948,-0.84962225,-1.0634803,-0.75697464,0.24760015,1.3859762,0.18794537,0.20198625,1.0174348,-0.4788885,-1.865158
causes,0.27145764,0.955835,-0.1621738,0.37075403,0.2916699,-0.23768215,-0.5330248,0.51609766,-0.71432555,-0.5639803,0.97992676,0.3770763,0.2097222,0.018584382,-0.15034981,-0.9057602
indicates,0.40216607,0.45370826,-0.44041404,-0.28115043,1.3438408,-1.1522952,-0.31763074,-0.09687809,-0.31180316,0.18216091,0.77995455,1.0803449,-0.46454123,-0.5609334,-0.3323975,-2.3951118
treats,-0.29426333,0.3734829,0.04847157,0.78476137,-0.83855224,-0.43744636,0.22446781,-0.7900384,-0.068363085,-0.008670795,2.1671476,-0.08174591,0.49267682,0.76298535,0.5610638,-1.4928197
evaluation_of,0.42319024,-0.19761649,0.3364462,0.5361504,0.93311906,-0.16630836,0.20915878,0.045605578,0.3007177,-0.4113753,-0.4396287,1.2145498,-0.93201375,0.104118384,-1.3854681,-0.41577733
diagnoses,0.26002666,0.9217785,-0.70337695,2.2000756,-0.38496187,-1.35399,-0.8376386,-0.78528214,0.75795585,0.67622006,0.0020007822,-0.00897118,0.32390797,1.6291679,-1.332487,-0.8156874
exhibits,-0.41644198,1.0475166,0.08197655,0.76564753,-0.916157,-0.59629065,-0.5051192,-0.7985819,-0.2210142,0.23095508,-0.07005526,-0.9609364,0.85326064,0.12426508,0.29402006,-1.0682193
ingredient_of,0.32590362,0.26489133,-0.36829713,-0.124284685,1.1030698,-0.72436565,0.6876694,-1.0031645,-1.3950104,0.43509042,1.1055522,0.27470565,-0.10312067,-0.08173543,-0.115597405,-0.15973903
property_of,-0.938245,0.14610621,-0.61492795,0.30694082,0.053554773,-0.64520466,-0.9905337,0.5128647,0.6269239,0.18321404,0.60991406,-0.67070997,0.5406785,0.008043342,-0.5779497,-0.96392757
manages,1.2331325,0.30738094,0.48839596,0.036199696,0.582431,0.56981546,-0.31661043,-0.08641762,-1.1654125,0.15428571,0.17720109,1.0285407,1.4001259,-0.23594902,-1.2919924,0.011874086
assesses_effect_of,0.34260336,-0.1914615,0.0551056,0.81716627,-0.37527192,0.29116994,0.37089506,-0.71168923,-0.80090904,0.3303757,1.140555,-0.07554569,0.990772,-0.5526893,-1.2562512,-0.47519097
method_of,-0.07525767,-0.22813405,1.7268425,1.3865553,-0.44245723,-0.047922794,-0.75511855,-0.09829912,0.574557,0.44137368,1.0228376,0.7134027,-1.2491956,-1.3623464,-0.56505704,0.58072907
measurement_of,-0.91541046,0.7022738,0.17182097,1.1426494,0.27914652,-0.8995634,0.4230569,0.28460583,-0.53992766,-0.04298256,-0.17822519,0.13380061,0.16303213,0.49218822,-0.8036682,-0.7691443
precedes,-0.8412643,0.02858151,0.8970298,1.5106086,1.0195012,-0.6418944,-1.6512914,-0.17915359,0.40429446,0.5124637,1.1200421,0.78874743,-1.2605133,0.81799525,-0.28680518,0.3858868
consists_of,0.08065801,-0.95667034,1.217414,0.76468533,0.4163454,-1.4350145,-0.30012354,0.124775395,0.19519375,-1.1526276,0.7758689,0.16042335,-0.008520648,-0.17573884,-1.044895,-0.11675253
performs,-0.8337555,0.85900825,0.40980038,0.5790311,-0.18101636,-0.5402366,0.06372418,-0.35641974,-0.2716854,0.2511799,-0.3493604,0.15607776,0.18662708,-0.739875,0.06294551,-0.36938414
conceptual_part_of,-0.58726645,-0.0980692,0.39484322,0.6621335,-0.17667757,-1.369378,-0.17060903,-0.11621239,-1.228942,1.3902662,0.10935167,1.2089353,-0.4200244,0.58955365,0.54044193,0.055398207
analyzes,0.78259313,-0.22717834,0.71781987,0.42222574,0.036059376,-0.005476691,0.17250998,-0.37922338,-1.0473627,0.5218419,1.2034993,0.24215107,0.76875013,-0.5163461,-0.89204437,-0.6547074
carries_out,-0.14579287,0.58535075,0.6342189,0.3912349,-0.25419715,-0.29762566,-0.49348044,-0.54991275,-0.30356216,0.5251821,-0.2780397,-0.17413999,0.331807,0.7722011,-0.55905193,-0.9580593
developmental_form_of,0.09505277,0.12622927,1.296902,1.5154948,0.76910204,-1.1500868,0.4826728,-1.8735296,0.1328063,-1.0344373,0.5737464,0.4997824,-0.27760535,-0.12910023,-0.4446346,-0.04299151
contains,-0.03313377,-0.08832447,1.1048189,1.5078831,-0.5184558,-0.7347037,-0.7388996,-1.1445994,0.046849575,-1.1125199,0.02699338,1.1671438,-1.2626638,0.80867255,-0.34967026,-0.115339294
adjacent_to,0.99480927,0.45867762,0.33753097,1.5500329,0.62178695,-0.8402044,-0.9333264,-1.058744,-0.3362442,0.0574785,0.021092584,0.87886363,0.016571462,1.0093724,-0.535035,-0.9042584
