,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
acquired_abnormality,-1.4800918,0.49030158,-0.66362774,-0.8538222,1.3498845,0.71938884,-0.53440505,-1.719205,-0.96583486,0.19151078,-0.76041573,-0.2940744,-0.49867442,1.3976171,-0.03564244,0.12546514
anatomical_abnormality,-1.3791777,0.3852868,-0.78656083,-0.84271747,1.2574668,1.1635572,-0.50551623,0.13961986,0.32250074,-0.00011228677,-1.2172198,-0.5786781,0.048967127,-1.1366129,-1.1347194,0.5407063
alga,0.52274483,-1.9589465,1.2540996,0.6706146,0.6722791,-0.31396502,-0.011883308,-0.40030465,0.04405394,-0.17996621,-1.2280207,-0.99726653,2.192075,-0.77137864,1.6501607,-1.5468352
mental_or_behavioral_dysfunction,-1.3117092,-0.831047,-0.35338083,-0.28436542,0.52452505,-0.47186202,0.07215899,1.295436,0.14030337,1.3071253,0.065175965,-0.6543583,1.4375683,-1.0994095,-3.2150087,-0.35708362
health_care_activity,-0.069503725,-0.15920262,0.03917342,-0.17793532,0.2508242,-0.40045512,1.1118686,0.08556863,-0.27745315,0.10886739,-0.683138,-0.9640751,-0.72894627,-0.46101752,0.86688435,-0.76662004
population_group,0.012785407,-0.027011625,-0.40580317,1.3331137,-0.8217242,-0.16923441,0.60693955,0.15799922,0.11426186,-1.1294235,-1.5996088,0.5165825,-0.7613199,-0.1459826,-0.012654556,0.9416007
clinical_attribute,-0.056215104,-0.14387609,0.40183428,-1.0489298,1.750175,0.016279738,0.5288198,1.9504435,1.8605962,0.78413296,0.21827014,0.19648468,-1.3542387,-0.30388433,-1.6959983,-1.7523593
body_part_organ_or_organ_component,1.3712966,-1.4138052,1.2291229,-0.23305175,-1.5122845,-0.9199435,-0.26349342,-1.411501,1.5414367,-0.841225,0.3348651,2.9576852,-1.1972833,1.6145179,-0.29631758,0.64704925
biologically_active_substance,0.41299304,0.6695649,0.20105673,1.5228398,0.5823382,-1.1096554,0.018609416,-1.7022753,-2.0957704,-1.5094644,0.72158617,-0.13488111,0.52180755,-0.94261116,1.1270692,-1.2865822
disease_or_syndrome,-1.3221655,-0.5231799,0.17593825,0.030666571,0.13491893,-0.6293132,0.6323927,-1.8821646,-0.3776023,-0.49067932,-0.41153884,0.3761186,0.88899505,0.8673114,-2.1668298,1.4368087
carbohydrate,0.14473738,0.3632451,0.26322293,0.76229316,0.5902827,-0.047893375,1.0582569,0.19869456,-0.9427934,0.28688157,0.54278463,-1.884426,-0.3505496,-1.6182611,-1.1034405,-1.3988885
molecular_sequence,-0.015716724,0.037133522,-0.31538272,0.75375646,-0.9492014,0.7462268,0.0024587985,-0.7243292,1.1881319,-0.8311178,-0.26144964,0.73864204,-0.65009624,0.5088283,-0.6474947,0.64672863
steroid,0.24388686,0.4425516,1.0885477,-0.57662445,2.0988266,0.11069925,-1.5444342,-0.31252167,-1.6591401,-0.29680717,-1.1131995,0.9368243,-1.207961,0.11729404,-0.20133512,-1.0111692
experimental_model_of_disease,1.2576115,0.57521516,-0.15336113,0.9255512,-1.0631621,0.47028142,0.9975481,0.9320167,-1.3860937,0.4370266,0.062697425,-1.5184118,-0.21794659,-0.5792389,1.357214,1.2443997
patient_or_disabled_group,0.03129505,-0.15570466,0.3483178,-0.5272141,0.56979835,0.19970202,-0.30876687,0.8190019,0.4193572,-0.031074964,-0.4682918,-2.4522436,1.7096261,-1.3358748,-0.27313602,-0.27641052
professional_or_occupational_group,-0.03958058,0.039073844,0.20019041,-0.3557658,0.15989995,0.4676648,-0.2878731,-0.21636719,0.3808727,-0.19934805,-0.23318756,1.2527822,0.25130188,-0.7414141,0.3376412,0.74302447
nucleic_acid_nucleoside_or_nucleotide,0.23697329,0.54317397,0.8116281,-0.03841404,1.2097236,0.31206888,-0.55914116,-1.559907,-1.3787572,1.3392256,-1.2334967,0.46199444,-1.648394,1.4676484,-0.7435921,-2.0276718
organism_function,-1.1556643,-0.8003546,0.1555994,-0.31227484,0.5233272,0.19388533,0.072045095,-0.03214421,0.2898487,-1.3078004,1.1545672,0.19956274,-0.20371756,-0.46399894,-0.9638104,-0.48427597
mental_process,-0.9826009,-0.83752316,0.3607938,0.58654356,-0.7316191,-0.21696961,-0.45775178,-0.59962034,0.3153034,-0.7139963,0.8789438,0.6876219,0.8251121,0.90835613,-1.9524919,-0.7109223
therapeutic_or_preventive_procedure,0.27819955,0.11135757,0.15882178,1.8736987,-1.3514457,0.20516522,0.4491681,0.1889849,0.26542372,0.043082714,-1.4542892,-0.94575393,1.07188,-1.7096875,-0.6901349,-1.2864679
cell_function,1.1045864,0.5284678,0.65073305,-1.021909,0.64417493,0.3593561,-0.25300503,-0.4949083,0.7087648,0.40332037,-1.1151463,-0.61677724,-0.27168888,1.0954475,0.09806309,1.114869
pathologic_function,-1.2309434,-0.54326713,-0.03199429,-0.23938046,0.3040573,-0.47587344,0.2955821,-1.8653995,0.87303275,0.24082859,0.74036366,0.68210167,0.08107475,0.60940534,-0.33368227,-2.229536
organ_or_tissue_function,-1.2223318,-0.77884376,0.06483069,-0.35099575,0.7369967,-0.21384642,1.6978451,-0.52475065,0.13766296,0.15117534,-1.1639088,2.0275297,-1.7480426,-0.5677369,-0.79605925,0.113934465
enzyme,-0.3399465,-0.6492979,-0.33800417,-1.1784061,-1.1413443,0.53423357,0.9872689,-0.40819246,2.2729769,0.53729004,-0.01819742,-0.5769761,0.6274557,0.8778685,-0.30225495,1.6795905
