,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
location_of,1.1501479,1.2275672,-1.8629051,-1.1973013,-0.28488803,-0.33476502,-0.8741305,-0.9145242,1.0182706,0.7127745,-1.1943549,1.5108607,0.17896344,0.13263626,-1.1073382,-0.80674535
manifestation_of,-0.092427894,-1.5450755,-2.0827193,-0.16580178,-1.2888705,-0.32873324,-1.3063905,0.17076932,2.9332695,1.305886,1.3039105,0.4700896,-1.3764862,1.0716412,0.9008528,-1.2380664
isa,-0.24660498,1.2789973,-0.613133,0.58453965,-2.4958947,-0.23369059,1.1631216,0.88099664,0.9014474,1.013549,-0.48274708,-0.23674999,0.9186825,0.82450736,0.56836027,0.93434644
affects,-0.37262842,0.85306793,-1.2664914,0.13724893,-0.21013921,0.17270526,-0.97150445,0.02621914,-0.9306613,0.74460566,0.009629083,-0.1264368,-0.10587895,2.1425416,0.30115473,0.2877293
associated_with,-0.7553515,0.97131974,-2.5510633,0.6471729,0.7551956,-1.644334,0.34383425,-0.09242018,1.8279153,-0.075867966,0.43555143,-1.2123902,-1.3320946,0.11848535,-0.36109263,0.6384511
interacts_with,1.0141727,1.2036732,-1.394382,0.12909766,-0.19397068,-0.07360341,0.6549269,-0.093897976,0.91873217,-0.25738966,0.43001354,-0.35666347,0.49054712,1.2999018,0.9614099,0.59417385
result_of,-0.60576713,0.31576198,-1.2267995,-0.24002743,-1.485397,0.62056214,0.10539218,0.5257598,2.3003979,-0.19756688,0.7541972,-0.31141567,-0.9084566,0.038956918,1.0892377,0.6742538
complicates,-1.295611,0.0582177,-2.2036455,0.06791742,-0.25960705,-1.5763469,-0.273884,0.5734891,-0.015537044,0.10367254,1.8763024,1.7815217,0.6356934,0.6646698,0.1626239,-0.2134974
occurs_in,-0.13350146,-0.84871817,-2.6976898,0.85977024,0.059749264,-0.4238143,0.15430355,2.1636188,0.8886237,0.8232777,-1.3058804,0.13260832,2.1780965,-0.30659497,1.5447835,1.4439337
uses,0.19951306,-0.591371,-1.7421021,1.9173815,-0.50338876,-1.8886199,0.55108804,0.39836577,-0.61073214,0.57391906,0.62211114,0.40714148,-0.76572293,0.71935993,0.6241841,-0.3236805
produces,0.3027948,-1.0700583,-2.0410237,-0.2965882,-0.3848125,-2.2326922,-1.4149635,1.1944133,-1.022637,0.21808243,-0.75172347,1.1835963,0.27497083,0.35968348,2.1943283,0.8147033
degree_of,1.0859615,1.4087642,-3.6751118,1.7425315,-0.52052695,-0.3047891,0.6089756,2.3831518,1.0520641,0.8642571,-0.8889365,0.68589,-0.014029828,1.0791019,0.45400846,-0.13163865
connected_to,0.8844676,0.90398,-2.626502,-0.19341289,-0.8115264,-0.4296558,-1.2036021,1.0489786,-0.049508523,-0.86756235,0.24632029,2.2662716,-0.6892125,2.2435145,-0.5847907,0.86806875
process_of,-0.29031545,0.5306486,-2.2424803,-0.030024555,0.30152243,0.21358639,1.6750046,-0.41486248,-0.5616112,-0.41003847,-0.9507205,0.052900165,0.6807982,2.1729622,-1.0290163,0.6224904
co-occurs_with,0.88322943,1.0843211,-3.1607478,-0.22256842,-0.2669192,-0.29622322,-0.32742932,2.8371356,1.3940476,0.6669181,0.38930324,1.1700883,2.1931229,0.16696037,1.1051079,1.1544919
disrupts,-3.0925825,0.7921731,-2.374774,-0.18407248,-0.2563011,-0.8032224,-0.28536,-0.35982293,0.37902328,-1.1493012,-0.45680162,0.95442563,-0.81882775,-0.106518835,1.7198774,0.4129444
issue_in,0.12755802,0.16649991,-0.048297867,-0.012665082,-3.3835347,-0.26228276,0.016138483,-0.05066691,0.050435204,0.23424982,0.28403166,-0.19786622,0.046668608,-0.1416631,0.008886247,0.24164237
part_of,-0.05473675,2.444124,-1.5171355,-0.38877916,-0.48386866,-0.47370708,-0.9746986,0.34865266,-1.040966,-0.120695546,0.6660467,0.30601358,-0.914865,-0.26863736,-0.58529043,0.92091477
measures,0.36538908,0.7851617,-1.9285119,0.28381208,0.11908675,-0.6434993,-0.99052286,-0.3939252,0.13027987,0.013728729,0.5756518,0.087539315,-1.3186702,-0.26024273,-2.5299978,-0.20516986
