,0,1
location_of,0.9001787,-0.91191936
manifestation_of,3.6964054,3.1482158
isa,0.24960619,-0.13397112
affects,0.82789874,-1.1242063
associated_with,0.2055341,1.0850073
interacts_with,1.0725648,-0.9999647
result_of,3.5460851,2.0883853
complicates,1.0972314,-1.3230594
occurs_in,2.4533715,3.5572524
uses,0.07752456,-0.7368003
produces,0.50999296,-0.88368887
degree_of,3.3906662,0.41394848
connected_to,1.4204825,-2.0430584
process_of,1.1464723,-1.4588482
co-occurs_with,3.2237992,1.2584157
disrupts,1.372779,-1.5769806
issue_in,-0.15210265,-0.23427454
part_of,1.7637551,-2.0530713
measures,-0.6420392,0.35286632
prevents,-0.31092307,-0.059092518
causes,-0.010555906,-0.69745463
indicates,-0.41411486,0.21706766
treats,-0.22819266,-0.29950568
evaluation_of,2.642833,3.1378527
diagnoses,-0.62849945,0.36457542
exhibits,-0.07617853,-0.48831278
ingredient_of,-0.5601528,0.60108405
property_of,-0.29516864,-0.61560565
manages,-0.18999298,-0.80785495
assesses_effect_of,-0.95448023,0.46936446
method_of,2.8473241,1.9540013
measurement_of,-0.570591,0.08238125
precedes,4.1080327,0.9387477
consists_of,0.7326582,-0.70536
performs,3.154537,2.4172132
conceptual_part_of,-0.84518486,0.28042817
analyzes,-1.0288628,0.3976204
carries_out,-0.14113301,-0.6025099
developmental_form_of,1.5650941,-3.3362744
contains,1.1838562,-1.3298032
adjacent_to,1.317606,-1.9699641
interconnects,1.465459,-1.6805365
conceptually_related_to,1.1321968,-0.23436795
surrounds,1.5624905,-1.7571353
derivative_of,1.1026176,-1.0776168
practices,2.1205637,1.8358018
