,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
location_of,0.5369959,-0.09950699,0.9818126,0.1060651,-0.28186134,-0.35857937,-1.1543163,-1.2361214,0.12909012,0.15851882,-0.15635072,-0.13973907,0.09708042,0.5520111,-0.06890971,-0.4934072
manifestation_of,0.41534105,0.57490134,-0.38046324,0.8505835,0.531815,-0.6440818,-0.194369,-0.6334146,0.06723697,0.015294802,-0.9422144,1.2062838,-0.34699938,0.078503266,-1.5893363,-0.4613486
isa,-0.07092998,-0.25057143,0.15918115,0.10230657,0.39579222,-0.35301036,-0.08000085,-0.37350652,0.32971063,0.35093784,0.93175775,0.13707893,-0.3015328,1.0661184,-0.40723655,0.04911284
affects,-0.57943016,0.6536699,0.13852741,0.49079627,-0.12734759,-0.4257648,-0.15780461,-0.00035851053,0.35177058,-0.71213466,0.36699748,0.017562171,0.14687397,-0.48902288,-0.050474115,-0.33006287
associated_with,-0.040849455,0.09965567,0.45806766,0.48266804,0.58238983,-0.9715524,0.63818294,-0.5531209,-0.39948508,0.37723872,1.2398958,-0.10844007,-1.1897444,0.7362819,0.027891137,-0.7024009
interacts_with,0.25078213,-0.10645146,-0.022256395,0.6964237,0.22597614,-0.3378335,-0.48292187,0.18405949,0.023977056,0.6916172,0.10236723,0.41854748,-0.060257625,0.5347762,0.029226225,-0.7634341
result_of,-0.55784893,0.19857204,0.26765588,0.009320878,0.59893584,-1.0699242,0.06945637,-0.362536,-0.22903803,0.20033619,0.033765133,0.40852153,-0.14143379,0.2674271,-0.5130074,0.36142376
complicates,-0.013672206,0.048691545,0.098144524,-0.06626447,0.52312917,-0.7915932,-0.72331583,-0.6308768,0.77735674,-0.9383556,0.9685243,0.56049776,0.6832975,-0.6163777,0.8365869,-0.85853714
occurs_in,-0.4392745,0.03842838,1.0522645,0.9878569,-0.9510642,-1.7742621,0.16582063,-0.078746416,0.6153883,0.49423325,0.11785763,1.1943122,-0.8467276,0.9337533,0.335945,-1.2096251
uses,-0.018765263,-0.17982535,0.35423478,0.91022223,-0.47424734,-0.21111526,0.19046535,0.7267529,0.20145051,-0.008925779,-0.21576098,0.8934933,0.2125643,-1.0092558,-0.40315276,-0.67452985
produces,-0.23536439,0.05825666,0.2459667,1.0082152,-0.77030236,-0.6683044,-1.0129476,0.54504335,0.3373713,-0.29923114,-0.4965512,1.4830301,0.5072968,-0.7894611,0.048009064,-0.34725252
degree_of,-0.96213627,1.1251426,0.5668456,1.5173858,2.1039038,-0.015827777,-1.2385281,-0.19492528,0.31464928,0.34460276,0.38988486,0.7432831,-1.4779762,1.810859,-0.6612226,-0.822462
connected_to,-0.089091584,0.74316347,1.4529817,1.2309484,-0.3425738,-0.47477,-0.73188156,-0.7223522,0.057907656,-0.9706904,0.17389488,0.9239103,-0.36264515,1.3394566,-1.1686083,-1.2531978
process_of,-0.26864246,0.6647798,0.5355545,0.5725482,-0.09342544,0.4329546,-0.10222996,-0.4101553,0.74396574,-0.27009514,0.43792805,0.38493872,0.17263293,-0.24619068,-0.21721545,-0.11814119
co-occurs_with,-0.79821616,-0.68756515,1.2883397,0.5736043,0.829111,-0.7328005,-1.5079554,-1.3958858,1.629161,0.4334726,-0.2501158,0.6536969,-0.9362786,0.2195736,0.1434633,-0.10656365
