,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
acquired_abnormality,-1.0093755,0.17952752,-0.1619147,0.18215324,-0.15763763,-0.9529088,0.96935725,-0.596467,0.6036216,1.0378854,0.25098303,-0.25774908,0.37751848,0.1271315,-0.48104963,0.028797068
anatomical_abnormality,-0.9680946,0.09416607,-0.3063627,0.14395368,-0.16669571,-0.89973557,1.0166998,-0.5439344,0.56731033,1.0376366,-0.09596356,-0.2738315,0.22011422,-0.09850891,-0.47566837,0.15718666
alga,-1.5919695,-0.61089045,1.4479104,1.9813392,1.5904026,-1.0805563,0.2680653,-1.6581802,0.47623134,0.059010506,1.0376447,1.4175591,1.6927847,0.6931914,0.031196304,0.8342985
mental_or_behavioral_dysfunction,-0.42178738,0.7017806,-0.6578726,0.4485664,-0.38987678,-0.6312498,0.4451227,-0.7917144,0.27275383,0.5524624,0.3335952,-0.28478843,0.22255713,0.7957485,-0.5692518,0.4733214
health_care_activity,-0.30577636,0.32113504,-1.927046,-1.11213,-1.1412739,-0.16876163,0.69390726,0.7566114,-0.3334525,-0.13157806,-1.2600626,-1.1197574,-1.7055622,-0.41235074,0.24623996,1.2884097
population_group,0.030068286,0.2663588,0.4845119,-1.030165,1.3759396,-0.51859516,-0.544104,1.2310138,-0.027347306,-0.61560667,0.46031016,-0.7868621,0.15175629,-1.6639562,0.65983045,2.246865
clinical_attribute,-0.14529112,1.6974037,0.7716813,0.9260445,-0.25159973,-0.36139557,0.23594593,-1.2306321,1.375826,0.86826277,1.8472639,-0.064765416,0.81370115,0.7156091,-1.7761862,-0.14504069
body_part_organ_or_organ_component,-2.117742,-1.3923719,1.3861456,-1.059021,0.91081315,-0.83298707,0.5781386,-0.8155651,0.88564914,1.6487885,0.89035815,1.6199365,-0.30933598,-1.0937113,0.24604565,-0.43776762
biologically_active_substance,1.2844443,-0.8470264,-1.2007523,1.0915376,-0.7427514,0.37330452,-0.45923352,-0.5335748,-1.4944609,-0.12844968,-1.0669231,0.60104954,-0.032461658,1.3795247,-0.32765606,-1.7016777
disease_or_syndrome,-0.44698855,0.52338684,-0.56915003,0.40162766,-0.22525086,-0.70861185,0.42701408,-0.8058377,0.20625404,0.6481121,0.39223486,-0.11090655,0.24787892,0.8171597,-0.47450793,0.4198825
carbohydrate,0.97147596,-2.0415602,-0.7156398,-0.21780889,-0.29213247,0.7690792,0.062362082,0.34622163,-1.8782605,-0.08046368,-0.6992691,1.7153335,-0.6989464,0.06251706,-1.4955816,-2.1953726
molecular_sequence,0.30089727,0.05567666,3.1436412,-1.1044135,-0.20482427,0.93026876,-0.9976933,1.896885,1.3478397,-0.6388033,1.9040616,0.45723352,-0.36219335,-2.037762,-0.81429434,-1.3791538
steroid,0.94089305,-1.8451823,-0.8052004,-0.27470368,-0.2688256,0.72591895,-0.42056012,-0.09191675,-1.6785874,0.3724147,-0.87380016,1.5611427,-0.6337834,0.6676746,-1.0278342,-2.3622801
experimental_model_of_disease,-0.51054335,0.5067603,-0.5213245,0.63025635,-0.22553669,-0.7579344,0.5182307,-0.9345333,0.3121566,0.7053193,0.4063325,-0.14142394,0.44514114,0.7530417,-0.489103,0.29122308
patient_or_disabled_group,0.07089937,-0.07227212,0.7677338,-1.3398414,1.7350821,-0.54637855,-0.6012883,1.42546,0.6267612,-0.07477997,1.1189735,-0.7335946,0.29943544,-1.794346,1.054455,2.5150738
professional_or_occupational_group,0.5612238,-0.16358201,0.62756383,-1.4018888,1.7822133,-0.34281936,-0.87111187,1.347624,0.20237967,-0.59249544,0.51102483,-0.48097014,0.065971516,-1.9402213,0.930549,2.208492
nucleic_acid_nucleoside_or_nucleotide,0.7303753,-1.8694513,-0.5740129,-0.57725585,-0.25681528,0.7328939,-0.112808004,0.4083475,-1.6596285,0.33787936,-0.8337375,1.3070185,-0.53457314,0.44819754,-1.5485678,-2.297995
organism_function,-0.42403722,0.15417059,-0.32085085,0.0076163397,-0.115878254,-0.5152201,0.38583174,-0.7495437,0.37906662,0.7225686,0.47787946,0.58998746,0.04157476,1.5179371,-0.73536897,0.27597243
mental_process,-0.7552091,0.46103665,0.19145349,-0.3152286,-0.22758026,-0.45431578,0.27166414,-0.50221515,0.56368154,0.550861,0.60431916,0.3408135,-0.29724106,0.9403316,-0.51500684,0.47350252
therapeutic_or_preventive_procedure,0.81121093,0.23804998,-1.6083044,-0.61808926,-0.24912193,0.18986095,-0.8441583,0.025848357,-0.32179826,-0.3194384,-0.91606176,-0.045803998,-1.450563,-0.34531045,0.39975062,1.1359198
cell_function,-0.6882807,0.34930345,-0.25152355,0.29782122,-0.13760374,-0.686379,0.5100949,-0.909504,0.42645404,0.74088854,0.48598623,0.52059305,0.28123125,1.6896292,-0.62448215,0.36105043
pathologic_function,-0.23357952,0.6492427,-0.590542,0.6081607,-0.44088784,-0.67228913,0.5230183,-0.8326594,0.38201764,0.5923465,0.35188788,-0.2696039,0.36789462,1.0679327,-0.66071916,0.32763028
organ_or_tissue_function,-0.54040056,0.25089142,-0.23928267,0.2730979,-0.18325761,-0.51946175,0.4320062,-0.77477014,0.35659158,0.6342454,0.39359573,0.6662004,0.28288162,1.3901278,-0.7997029,0.08841373
enzyme,1.3254391,-1.0475441,-1.3163478,1.0388535,-0.38467088,0.3595304,-0.6217638,-0.61503315,-1.4423145,-0.11322309,-0.7457168,0.8652549,-0.004830542,1.4265934,-0.05647695,-1.2777879
cell,-2.1842654,-1.6983647,1.446773,-1.1393182,0.969368,-0.8650069,0.86127096,-1.1613336,0.9666371,1.7395041,0.72015965,1.5208133,-0.29326472,-0.74431956,0.21461293,-0.5582067
cell_component,-1.9282744,-1.4959642,0.54053557,-1.1816565,0.5262546,-0.8595196,0.956059,-1.0693198,0.63852906,1.8648348,0.18431616,1.4095057,-0.5298768,-0.6868901,-0.16344614,-0.58787996
cell_or_molecular_dysfunction,-0.43692058,0.6063121,-0.5231109,0.6823454,-0.35495734,-0.6938948,0.50108725,-0.88761866,0.32364684,0.66728055,0.3938649,-0.08676484,0.39216197,0.99933267,-0.616372,0.25649878
hormone,1.560368,-0.95810944,-1.3845768,0.9433556,-0.47033963,0.3715707,-0.7752083,-0.5068355,-1.548169,-0.077686116,-0.9440523,0.48570925,0.17180327,1.418307,-0.11062851,-1.5492538
organic_chemical,1.2511024,-2.1236455,-0.3641513,-0.35680714,-0.5899155,0.9129574,0.39817503,0.29288068,-1.4572434,-0.30765203,-0.90518844,1.2986171,-0.8293961,0.33084014,-1.3167062,-2.1668177
behavior,-0.39894894,1.688488,0.37630922,-0.9396297,-0.46045968,0.3856706,-0.7098024,0.7099649,0.124750905,-1.0484434,-0.26037547,-1.1998068,-1.5336446,-0.9835295,0.46917102,2.0862892
neuroreactive_substance_or_biogenic_amine,1.2731172,-0.73293346,-1.3293588,0.9972231,-0.6220814,0.42665944,-0.69669527,-0.5698515,-1.5092095,-0.09335374,-0.8848738,0.70251703,-0.18332876,1.093842,-0.17652702,-1.5202848
embryonic_structure,-2.528214,-1.4818113,1.7745656,-0.6728534,0.7231018,-0.80678725,1.1606914,-0.2592795,0.94322264,1.7902439,-0.06441341,1.5850369,0.1770503,-0.47717336,-0.18926749,-0.60832995
neoplastic_process,-0.44297823,0.5305775,-0.58004457,0.65131515,-0.16998473,-0.7334208,0.42023152,-0.85051614,0.18790373,0.6920384,0.39211142,-0.074411914,0.51744366,0.83793736,-0.6070897,0.26760402
laboratory_procedure,-0.34490037,0.7740827,-2.0151842,-1.2173344,-0.6637132,-0.50703424,0.43349525,0.95245045,-0.5055601,-0.023359383,-1.3614178,-0.91730607,-1.4622254,-0.63596404,0.608642,1.1696273
natural_phenomenon_or_process,-0.27592137,0.36323434,-0.092141606,0.41328782,-0.68197083,-0.35714462,0.81608224,-0.69857603,0.5296181,0.41279894,0.31049392,0.32717085,0.28775206,2.1957831,-0.9459814,-0.030743401
