,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
location_of,1.6558396,0.9890313,-2.001284,0.9574711,-1.073087,0.4343421,-0.66199774,0.02166297,-1.1405495,-0.7485058,-0.7560444,-0.5818837,-0.29980105,1.490008,-0.022965493,0.058028787
manifestation_of,0.118533924,-1.1202313,-0.4441647,-0.55760366,0.19323158,-0.18531497,0.16140518,-0.3198591,0.23066482,0.3208581,0.61810166,1.5122235,-0.2689628,1.7994126,0.26845762,0.63791466
isa,0.5431509,-0.46316093,1.9101121,-0.030946763,-0.80228674,0.7779685,0.98699105,1.0348641,1.1772934,-0.95753264,-0.78080976,-0.7741263,0.02520939,0.88610655,0.90292174,-0.24879955
affects,-0.8652575,0.7879268,1.1589768,0.88802296,0.63801193,-0.5864588,0.111354195,-0.56813544,1.0300429,-0.0786965,1.1226432,0.061366525,0.92521286,0.64636374,0.4023356,1.2898573
associated_with,0.32696176,-0.71820706,0.38949654,0.79975766,0.42612875,-0.43898162,0.48721385,-1.3664019,1.1372528,1.2846155,1.5118495,1.0188382,1.2892776,0.9984643,-0.67317283,-0.29921395
interacts_with,0.07552843,0.6709976,-0.12195503,0.2943138,-0.094818525,0.22514106,-0.912393,0.4857954,0.546815,0.6534832,0.1402595,-1.1181619,0.3770313,0.7980029,1.1670531,0.09720031
result_of,-0.17865688,0.11711345,-0.42429906,-0.34958315,0.094766244,0.16206686,-0.15933892,0.10970034,-0.30350175,-0.43757108,-0.8353658,0.023696534,-0.7560221,0.19646046,0.62355185,1.2436868
complicates,-1.7187852,0.29626435,0.95546365,-0.6763023,0.10923652,-1.048441,1.853725,0.27885237,0.98576933,0.87776196,1.0215482,-0.6153944,0.71820664,-0.0065213866,-0.7479689,0.50716287
occurs_in,0.8024173,-0.19503728,1.0345937,-1.6576535,1.7018839,0.27675635,-1.2935126,1.9550424,-0.04260549,-0.8573854,0.8630648,0.14383508,0.047357082,-1.0701628,0.80747366,1.167541
uses,1.635268,-1.8638568,0.4450903,1.357945,0.06605257,1.0828546,-0.7164175,0.9951859,-1.493751,-1.0510162,-1.0696604,1.4724659,0.8390336,0.297216,-0.54998165,-2.311039
