,0,1
acquired_abnormality,-0.2281422,-0.9890859
anatomical_abnormality,-0.14748782,-1.0195782
alga,-1.8485311,2.706005
mental_or_behavioral_dysfunction,-0.23339503,-1.0980768
health_care_activity,0.70328826,-0.73576546
population_group,1.5357096,-1.2900095
clinical_attribute,0.11901997,-0.9824025
body_part_organ_or_organ_component,-1.522851,3.458414
biologically_active_substance,-2.150851,3.0157638
disease_or_syndrome,-0.057972986,-1.3123487
carbohydrate,-1.9939469,3.78208
molecular_sequence,0.8887455,0.7984664
steroid,-1.8408717,3.7161043
experimental_model_of_disease,-0.4517032,-1.1427114
patient_or_disabled_group,1.4914328,-0.056975216
professional_or_occupational_group,1.3226539,-1.0444572
nucleic_acid_nucleoside_or_nucleotide,-1.8684053,3.817761
organism_function,-0.5560017,-0.91113466
mental_process,-0.3356793,-0.83866596
therapeutic_or_preventive_procedure,0.43526456,-0.7649037
cell_function,-0.48446158,-0.7765845
pathologic_function,-0.3885002,-1.2399027
organ_or_tissue_function,-0.5860262,-0.9310874
enzyme,-2.116011,2.9667792
cell,-1.9425002,3.965389
cell_component,-1.8951396,3.9323869
cell_or_molecular_dysfunction,-0.3637573,-1.1420739
hormone,-2.1441503,3.1071572
organic_chemical,-1.715354,3.8493433
behavior,1.0159689,-0.57337224
neuroreactive_substance_or_biogenic_amine,-1.9524516,2.843883
embryonic_structure,-1.388658,3.584704
neoplastic_process,-0.06971431,-1.2322079
laboratory_procedure,0.8381846,-1.3379829
natural_phenomenon_or_process,-0.438208,-0.77548087
immunologic_factor,-1.5251555,1.5511067
receptor,-2.0617514,2.957338
self_help_or_relief_organization,0.8424781,2.2305984
pharmacologic_substance,-1.2536194,1.2256355
molecular_function,-0.65436053,-0.6714095
regulation_or_law,0.8050026,1.6002644
human,-1.8068093,2.5651517
eicosanoid,-1.7900482,3.7980251
amino_acid_peptide_or_protein,-1.7506683,3.8479059
group_attribute,0.78529865,0.6406846
organism_attribute,0.4898866,-1.0438356
finding,1.9549989,-1.9556897
congenital_abnormality,-0.16528663,-1.0796721
anatomical_structure,-0.95542985,2.8172982
molecular_biology_research_technique,1.8946593,-1.3604413
diagnostic_procedure,0.7985477,-1.1744502
biologic_function,-0.4863762,-0.85458
tissue,-1.5726407,3.5831256
hazardous_or_poisonous_substance,-2.046867,3.4295838
chemical_viewed_functionally,-2.0205295,3.4545774
reptile,-1.7892474,2.621975
family_group,1.4442089,-0.34647304
virus,-1.9444481,2.465531
indicator_reagent_or_diagnostic_aid,-1.8157023,2.9414408
sign_or_symptom,1.8203036,-2.081386
antibiotic,-1.1294041,1.3948896
chemical_viewed_structurally,-1.7864174,3.8770058
body_space_or_junction,-0.62420774,2.349517
amphibian,-1.6609882,2.32274
health_care_related_organization,0.7150041,2.0608227
fish,-1.8944502,2.5884907
physiologic_function,-0.57875246,-0.82451427
animal,-1.6782272,2.6288466
injury_or_poisoning,0.29519486,-1.4182953
lipid,-1.8564885,3.7470253
plant,-1.6566097,2.8723283
organization,0.75065523,1.6959049
genetic_function,-0.5390468,-0.86055785
gene_or_genome,-1.6675916,3.9753816
laboratory_or_test_result,2.182662,-2.2149293
spatial_concept,1.0790349,0.78314906
rickettsia_or_chlamydia,-1.9722977,2.5896084
body_substance,-1.6606833,2.7719586
intellectual_product,0.87429804,1.1922793
element_ion_or_isotope,-1.8667736,3.6948404
research_activity,1.7080321,-1.6146823
geographic_area,1.5095065,-1.1346664
professional_society,0.79772156,1.6786991
organophosphorus_compound,-1.9110788,3.8777592
body_location_or_region,-0.3368938,1.7717712
invertebrate,-2.0010674,2.7985675
age_group,1.3897417,-0.26650643
human_caused_phenomenon_or_process,1.0149317,-1.3179319
phenomenon_or_process,0.32346493,-1.2297305
individual_behavior,1.0725247,-0.9679106
bird,-1.6962727,2.8346045
mammal,-1.8047527,2.7580998
qualitative_concept,1.9179912,-0.2519021
environmental_effect_of_humans,0.9947263,-1.2465839
social_behavior,1.0686642,-0.5299835
biomedical_or_dental_material,-1.7380044,3.1397302
quantitative_concept,0.13887435,0.66306376
inorganic_chemical,-2.1446316,3.7331638
drug_delivery_device,0.21634276,0.63464546
educational_activity,2.1234522,-1.2865063
chemical,-1.9436936,3.1732554
vitamin,-1.9802587,2.9771595
fully_formed_anatomical_structure,-1.6342666,3.4666853
group,1.3407315,-0.36090726
nucleotide_sequence,0.973298,0.5135665
body_system,0.82782036,0.88462114
food,-1.57758,3.5058134
bacterium,-1.8304633,2.5432556
fungus,-1.9640038,2.712639
research_device,-0.34662956,3.1573513
governmental_or_regulatory_activity,1.8188955,-1.132559
idea_or_concept,0.90409964,0.5699106
occupational_activity,1.9089022,-1.1024504
physical_object,-1.4934465,2.7091365
vertebrate,-1.6877306,2.7298846
substance,-1.2564669,2.7554357
medical_device,0.10273613,0.6573223
manufactured_object,-0.31619304,3.0080469
classification,0.99537385,1.2139843
daily_or_recreational_activity,1.3558362,-0.9515131
conceptual_entity,1.0628574,0.89329404
occupation_or_discipline,0.6576112,-0.22224048
amino_acid_sequence,0.5707019,0.9182894
clinical_drug,-0.74864686,2.6908555
activity,0.8764138,0.8036907
event,0.41934818,0.39123017
temporal_concept,0.08094974,0.43180445
archaeon,-1.5956026,2.3541925
language,0.9014346,1.6732848
biomedical_occupation_or_discipline,0.6273876,-0.18358299
functional_concept,1.0256732,0.50321496
machine_activity,1.1167917,0.94511974
entity,-0.8164736,2.6439261
carbohydrate_sequence,0.7250582,1.6139532
organism,-1.7359798,2.526144
