,0,1,2,3
location_of,-1.0705163,-0.70802784,0.41737908,0.25122443
manifestation_of,-0.5467928,-0.80082804,0.68543327,-0.5315425
isa,-1.6589925,0.09125293,0.6961817,0.72692627
affects,-0.3953277,0.14408605,-0.6776745,0.422983
associated_with,0.26130977,-0.435268,-0.5650459,0.9075089
interacts_with,-0.7899202,0.61086744,0.33733538,0.4112488
result_of,-0.35127872,-0.36537546,0.75349164,-0.3459179
complicates,-1.0030305,0.7318821,1.3877224,-0.9384715
occurs_in,-1.1965095,-1.3471793,-1.0102601,2.0452673
uses,0.8682084,-1.4037162,0.99477386,-0.5302143
produces,-1.0009128,1.4901649,0.014995864,-0.14026682
degree_of,-1.3209257,0.43754703,0.03877753,-2.6842594
connected_to,-0.4267802,-0.14204554,-1.3083445,1.4318961
process_of,-0.27934828,-0.2238567,1.1251441,-0.56618017
co-occurs_with,0.6491954,-0.13280907,-1.0289488,-2.1444736
disrupts,-0.50834674,-1.4320009,-0.32362148,-0.71360546
issue_in,-0.9738736,0.8780995,1.5718299,-0.6031034
part_of,-1.7387086,-0.45523813,-0.18548693,-1.4652091
measures,0.6777187,-0.36304605,-1.3430789,1.0813471
prevents,-0.2978474,2.706072,0.8580179,1.0722349
causes,0.39042747,-0.2573002,0.09201278,0.55633485
indicates,0.929589,-0.5679939,1.109181,-1.0301796
treats,-0.96371233,-0.7733445,0.24426009,-0.0147776585
evaluation_of,0.32622066,0.70623094,1.5468576,-2.0456078
diagnoses,0.33838135,0.6365726,-0.57452273,0.5496131
exhibits,0.4295729,-2.050301,1.0513529,0.7635864
ingredient_of,0.028717993,-0.24639645,0.4131487,0.1774695
property_of,-0.7571413,2.2143698,-0.4203763,1.1244668
manages,0.006865534,0.30709255,0.8376099,-0.087405406
assesses_effect_of,0.06710825,1.0152308,0.5639304,-0.27873033
method_of,0.26124537,0.40464354,-1.3279184,1.0951148
measurement_of,-0.29689395,-0.82880074,0.83191746,1.4206996
precedes,0.9486036,-0.24978997,0.17144313,0.74081147
consists_of,-0.17659126,-0.11188396,1.0277476,0.44838238
performs,0.6560152,0.07841504,1.3348652,-0.025387883
conceptual_part_of,-0.6920496,0.5357869,-1.2355549,-0.42757553
analyzes,0.44411665,0.5398352,-0.65903604,-1.4162287
carries_out,1.0711417,0.09291353,0.46202743,-2.6505437
developmental_form_of,-0.4480899,0.46885997,0.5412922,1.0096439
contains,-0.5455668,0.86504555,1.76776,-0.13510042
adjacent_to,-0.09733176,0.776236,-0.78414863,-0.18438154
interconnects,-1.9089596,-0.6071356,1.3911033,0.3528733
conceptually_related_to,0.025012769,-0.5527621,0.7537216,1.1335123
surrounds,-0.028707983,1.0615255,-0.99602854,1.5853518
derivative_of,-0.39797318,0.21904308,-1.4094651,-1.0126649
practices,-0.39602694,1.3097692,1.8029854,-1.2894329
