,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
acquired_abnormality,-1.4427403,-0.6677574,-0.5716617,-1.5272824,-0.017998913,-0.52707964,-0.8976982,-1.5270703,-0.6301211,0.3857323,-0.6953379,-0.16953315,-0.1404616,1.7683691,0.30823472,0.54001075
anatomical_abnormality,-0.45270842,-0.91699165,0.9434953,0.44331285,1.1102197,0.48925683,-0.4177361,1.0528071,1.3475199,0.070191525,-1.9986162,-1.2013496,0.32045928,-0.42392996,-0.3173913,-0.15342139
alga,1.5182669,-0.4094819,-0.17489973,-1.0252464,-0.039605252,-0.19152246,-0.08986542,-0.72151804,-0.36242652,0.037376348,-0.41773084,-0.27422294,2.1558888,-1.1813958,1.4471352,-0.41682237
mental_or_behavioral_dysfunction,-1.0268615,0.42151248,-0.03726792,-0.5596681,0.66067606,0.3230008,1.0608972,1.9166303,0.039055694,0.84553397,-0.27853495,-0.72230726,1.5019003,-0.77562714,-3.0679882,-0.41423118
health_care_activity,0.16249458,-0.82186806,-0.40930176,-0.8242201,-0.032623153,0.16802569,1.8471912,0.18296582,-0.5321853,-0.013115295,-0.8239591,-0.63970214,-0.30645797,-0.09282207,0.30429697,-0.52912796
population_group,-0.35743663,0.2438596,-0.5121326,0.8718283,-1.2957817,-0.36354586,0.30764136,-0.025257597,0.38763207,-0.37534758,-0.9553364,0.7266115,-1.1454238,-0.69174004,0.26763338,1.868727
clinical_attribute,0.70640457,1.2362883,0.8632793,-0.86660594,1.432156,-0.766762,-0.8804624,1.1591624,1.3823421,0.6517104,-0.056611788,-0.10263429,-2.0577307,-0.56270695,-1.4566746,-0.983763
body_part_organ_or_organ_component,0.33782408,-1.0947655,0.7652551,0.30343458,-0.3010378,-0.20658335,0.038379624,-0.9428452,2.0702553,-0.7425708,-0.49630815,1.3504591,-2.4680862,1.2892145,-0.35254872,-0.14086981
biologically_active_substance,0.93021,-1.5565416,0.50694376,1.3284353,-0.25123566,-1.6437466,0.6548888,-0.7695769,-1.627199,-1.8786482,0.49789247,0.6703594,2.274471,0.85447884,1.8290713,-1.6702394
disease_or_syndrome,-1.6245066,-1.2724564,1.2459885,0.3535298,0.20587008,-0.7162472,0.28387237,-1.8349897,0.25046757,-0.18133621,-0.019235188,1.0313352,1.4574746,1.5390923,-0.9026225,2.3487236
carbohydrate,0.45502234,-0.1393448,-0.81231236,-0.37152442,-0.6300717,-0.92926556,0.8889382,1.0831715,0.3157859,1.5967025,1.1950794,-1.753424,-0.4178103,-0.8401438,0.02056762,0.088281535
molecular_sequence,0.39101624,0.72717005,0.091269985,1.1724638,-1.3868928,-0.4020139,-0.5063371,-0.9465836,1.3935593,-0.8968888,-0.08173519,0.75074536,-0.21028319,0.48716855,-0.68878394,0.13450581
