,EpochLoss
0,16383091402.463766
1,1953630849.4869392
2,52715161.661851354
3,190926865.03971496
4,894981761.4028498
5,73602157.99958366
6,182270620.6638702
7,16276543.310711257
8,167875159.1749612
9,6227462.401767474
10,5562088.588800723
11,169336027.84885302
12,9196154.319784153
13,9138626.228379965
14,6759569.208721886
15,109027426.03095672
16,42711108.03864649
17,75019974.18994841
18,10542442.88871933
19,90832309.74181001
20,15303755.994983181
21,1851298.8426960905
22,71241225.20885289
23,15435223.293213105
24,788841.9980197274
25,621878.2108682153
26,3230454.4553159
27,9536664.276038889
28,732973.4675469311
29,804312.4058408327
30,467652.89414139907
31,427663.46359098906
32,4975193.444347622
33,10099949.210095435
34,7594462.176808304
35,193833.62708455653
36,151211.90131229564
37,164634.30514618225
38,4115374.216559391
39,555315.0773032253
40,14381035.556976037
41,977405.7537478347
42,124315.10574277779
43,118910.92289414874
44,92591.13650250288
45,393095.99846085155
46,96211.22816188789
47,869283.7063601683
48,1969422.2293041323
49,513842.92216272297
50,146739.26987018468
51,1571404.038952646
52,72591.68035012227
53,1659684.0501780063
54,195425.31963548265
55,25227.93289022431
56,927790.686470698
57,30877.12801421932
58,197108.95760381734
59,189844.35514870158
60,37414.986667479476
61,108010.97104922686
62,168952.98060367297
63,780674.4316401833
64,24837.79082682345
65,26757.09607638647
66,1468107.6731739629
67,12591.305436425413
68,95143.28243819885
69,10219.516526677126
70,20539.86958692849
71,508593.12633417576
72,157671.280342403
73,21413.996677669278
74,310057.7001731721
75,7505.644063471285
76,62738.38892124036
77,5190.372972988644
78,152907.57139206043
79,5153.833728783336
80,41036.739655142184
81,197780.97635169007
82,36022.67349831824
83,20285.48675783134
84,5322.152289667012
85,4779.673860301269
86,44754.28415353825
87,31410.605656606287
88,3233.091818359732
89,19331.8917585008
90,1479.0784398163755
91,86663.76261714082
92,23768.172499403998
93,9252.622935963554
94,3479.4813095086192
95,3328.8297197738307
96,13681.495066081088
97,6951.454967449779
98,1513.7370873627488
99,2136.3851322667
