,0,1,2,3,4,5
acquired_abnormality,1.2092699,0.7310239,-0.6466523,-1.9853823,-0.49394953,0.16289271
anatomical_abnormality,1.1700155,0.38264328,-0.44144058,-1.2311871,-0.6606497,-0.6964282
alga,-0.7519996,0.70964634,2.1758912,2.1339898,0.76427794,1.6176609
mental_or_behavioral_dysfunction,1.303204,1.9222577,-1.1971112,-1.3734612,-0.97747713,-0.82039577
health_care_activity,0.15541837,-0.90384376,-0.08693418,0.506012,-0.99537927,1.0748646
population_group,-1.0268643,-3.5777636,2.151241,2.8456757,-0.8208373,3.59281
clinical_attribute,0.771798,-0.28110054,0.39432475,-0.14025076,-0.8681363,0.020083038
body_part_organ_or_organ_component,0.10103978,-2.4088454,0.651852,0.22250187,-0.15803595,1.3925209
biologically_active_substance,-1.3041537,2.3527195,1.6064063,0.5190916,1.8634013,0.3349427
disease_or_syndrome,1.3508325,1.6119744,-1.7795837,-1.0202792,-0.83427715,-1.1927718
carbohydrate,-1.7621868,2.7607777,0.030907514,2.553953,1.7548244,0.69554
molecular_sequence,-1.3809981,-0.11025201,-1.241531,1.613305,1.0267569,2.5616739
steroid,-2.0337882,2.9775364,1.5609297,1.7510811,0.93243814,0.73714864
experimental_model_of_disease,1.2720704,1.6379106,-1.7331811,-1.3172927,-0.4481729,-0.9975014
patient_or_disabled_group,-1.6319183,-0.22672686,0.27137816,1.6771085,1.0427456,1.414618
professional_or_occupational_group,-1.4839103,-1.0480882,0.99974227,-0.12775776,2.705999,2.6485682
nucleic_acid_nucleoside_or_nucleotide,-1.9853554,3.0656161,1.3621336,1.114487,0.9312874,0.6672867
organism_function,1.2993706,1.4456555,-1.8592817,0.14556915,-2.2192914,0.14824651
mental_process,1.0830072,1.5364534,-2.5440843,-0.0042577474,-1.2946655,-0.16149607
therapeutic_or_preventive_procedure,0.2024372,-0.13698791,-0.33331126,0.10670424,-0.43528646,-1.0537682
cell_function,1.388027,1.2125101,-1.9096866,0.68576014,-2.8185565,0.58722955
pathologic_function,1.2438993,2.2120824,-1.8107597,-2.920739,-0.47646308,-0.14469154
organ_or_tissue_function,1.3665771,0.9622811,-1.3309574,0.8350312,-3.0937026,-0.055072684
enzyme,-1.2670915,2.1221364,2.0888352,2.3074691,1.2722383,-0.8463201
cell,0.120144814,-2.7708778,0.9544968,1.4167279,0.043565545,1.5441092
cell_component,0.32465142,-1.5032213,0.92297494,-0.77365714,-0.56403005,1.5848186
cell_or_molecular_dysfunction,1.6403209,1.4790105,-2.4412599,-0.8085397,-0.4630573,-1.3021
hormone,-1.3777622,2.1274955,1.4775019,0.30491978,2.616815,0.6936778
organic_chemical,-2.192885,3.4296253,2.2122738,0.70190895,0.28450835,1.1505424
behavior,-0.4600382,1.044851,-0.59996337,-0.698864,0.2944086,-0.0070622927
neuroreactive_substance_or_biogenic_amine,-1.3347168,2.32243,1.0886403,1.0402871,2.331089,0.10212312
embryonic_structure,-0.50831753,-2.1025047,1.2573761,-0.19765206,-0.06465054,1.705583
neoplastic_process,1.3184386,1.7015519,-1.160032,-0.61510235,-1.1930697,-1.4931892
laboratory_procedure,0.27368858,-1.6908321,1.1746464,0.6384689,-0.38552383,0.07853458
natural_phenomenon_or_process,0.8174892,2.047744,-1.2799579,0.44369358,-2.2103322,0.6180385
immunologic_factor,-1.1978807,1.7677916,2.2186844,0.6570342,2.284881,0.73317814
receptor,-1.6111426,2.4850235,2.2226334,0.50304043,1.1041034,-0.11019755
self_help_or_relief_organization,-2.2601235,0.6532011,1.4464568,-0.03518727,-0.5073513,-0.113907866
pharmacologic_substance,-1.8630576,1.4358834,3.269595,0.5006919,1.2212946,0.35277614
molecular_function,1.210164,1.8356543,-1.4006565,-0.8772844,-3.1058736,0.3690335
regulation_or_law,-1.8990474,-0.09816849,-0.013828654,0.8503656,-0.021777174,2.3987777
human,-1.4056702,1.7700708,0.93713456,1.6837844,1.0269063,2.1337638
eicosanoid,-2.1142325,2.231796,1.8989764,2.7805727,-0.022429468,0.8559217
amino_acid_peptide_or_protein,-2.0876632,2.7596788,2.7717597,2.6867878,-0.9557583,-0.8178464
group_attribute,-1.6335218,0.23011465,0.058993805,0.022053555,1.6902367,2.0995498
organism_attribute,0.72948885,-1.0774615,-0.1144436,0.5750253,-0.37789387,-0.1968865
finding,-0.3935523,-2.8513722,2.1966856,1.8516504,-1.1773055,-0.4358389
congenital_abnormality,1.1979462,0.40388516,-0.79443204,-0.8160937,-0.66719395,-0.57140553
anatomical_structure,-0.4955847,-2.2815504,2.3603952,1.2700335,-0.039989814,1.3850944
molecular_biology_research_technique,0.65324956,-3.4093647,-0.12712221,0.6287165,0.2171233,2.5044994
diagnostic_procedure,0.6653795,-1.6382774,0.15536986,0.4755428,0.13025159,0.43991077
biologic_function,1.500528,1.4149197,-2.1850338,0.2930969,-1.6292441,0.3079106
tissue,0.15916395,-2.6413276,0.61833054,1.3429296,0.5171626,1.4157428
hazardous_or_poisonous_substance,-1.6249635,2.375263,2.5369978,0.8566127,0.9994048,0.003487539
chemical_viewed_functionally,-1.6133173,3.1077826,0.70717263,1.4502848,1.1819186,0.8899488
