,0,1,2,3
acquired_abnormality,-0.40190753,-1.1403751,-1.1347377,1.5590621
anatomical_abnormality,-0.13713983,-1.1382582,-1.0900742,1.6091077
alga,-1.0586088,3.0420227,-1.3818552,3.1380267
mental_or_behavioral_dysfunction,-1.1635692,-1.3471817,-0.4157757,1.9542872
health_care_activity,-0.9655397,-3.2392297,1.15723,-2.207713
population_group,-0.6273966,-0.07274351,-2.3808062,-3.0455112
clinical_attribute,-1.2748847,-1.7493585,-2.7272172,2.7123778
body_part_organ_or_organ_component,2.3734026,1.6617996,-2.5995374,1.8619409
biologically_active_substance,0.28198913,-0.029710831,3.9076421,1.4579735
disease_or_syndrome,-1.1027017,-1.2532974,-0.2992718,1.6820475
carbohydrate,2.9244003,0.120933294,3.4224088,1.1022032
molecular_sequence,4.17633,1.8054917,-1.8429037,-2.5245376
steroid,2.6654186,-0.27294156,3.646614,1.0105041
experimental_model_of_disease,-1.1291684,-1.1950004,-0.22103952,1.8293682
patient_or_disabled_group,-0.7497729,0.8704602,-3.1775224,-3.3696673
professional_or_occupational_group,-0.19666755,0.72663176,-2.1955576,-3.5313134
nucleic_acid_nucleoside_or_nucleotide,3.0917447,-0.1341037,3.582009,0.86348146
organism_function,-0.8754831,-0.69312567,-0.3488712,1.937445
mental_process,-0.66506153,-0.8735204,-0.8132221,1.1645703
therapeutic_or_preventive_procedure,-0.73993105,-1.8166695,1.3629761,-1.8254071
cell_function,-1.0527806,-0.618124,-0.2696074,2.5669818
pathologic_function,-1.2338638,-1.1784096,-0.3711591,1.8467736
organ_or_tissue_function,-0.8502034,-0.52100444,-0.17636417,2.3110623
enzyme,0.14925653,0.064941175,3.8855338,1.3276546
cell,2.5670245,1.446559,-2.702786,2.079289
cell_component,2.6970704,0.46572864,-2.1400785,2.1493576
cell_or_molecular_dysfunction,-1.2739972,-1.0374795,-0.31516302,1.8008761
hormone,0.1579671,-0.013627261,4.1194882,1.423401
organic_chemical,3.0701044,0.00987276,3.325963,0.2209821
behavior,-1.2125262,-1.6406662,-1.1068784,-3.5340176
neuroreactive_substance_or_biogenic_amine,0.14450376,-0.31811136,4.0061994,1.6285937
embryonic_structure,2.4267972,2.08675,-2.6766305,2.0036004
neoplastic_process,-1.2746658,-1.1565323,-0.4232908,1.8477876
laboratory_procedure,-0.56329304,-3.782362,0.95890075,-2.2471294
natural_phenomenon_or_process,-1.8412632,-1.1790543,0.37696424,2.4320843
immunologic_factor,0.40076637,-0.51964855,3.8870823,1.535809
receptor,-0.0019507345,-0.38156337,4.023369,1.6944561
self_help_or_relief_organization,2.0257711,-0.102458544,-2.9939973,-4.0099115
pharmacologic_substance,1.0114319,-0.8366903,3.734195,-0.44115248
molecular_function,-0.87857926,-0.80186,-0.17280926,2.2440715
regulation_or_law,1.7376072,1.0889428,0.32195655,-4.849461
human,-3.668066,2.791684,-2.3721251,2.2111213
eicosanoid,2.7951767,0.18642488,3.7255602,0.61563385
amino_acid_peptide_or_protein,3.1587808,0.065045916,3.2764103,0.48849344
group_attribute,-0.1993469,-1.3957076,-4.243766,-3.075174
organism_attribute,-0.9806378,-1.7304423,-3.144802,2.7272673
finding,2.6110995,-3.3181906,-1.487772,-0.8655443
congenital_abnormality,-0.39075014,-1.3135846,-1.0665405,1.524636
anatomical_structure,1.9156632,2.6944072,-2.7344375,1.1929536
molecular_biology_research_technique,-0.72749984,-3.7446716,0.5647564,-3.4227645
