,EpochLoss
0,0.942145417133967
1,0.602967252333959
2,0.31993500888347626
3,0.11249775066971779
4,0.03704264651363095
5,0.01242398206765453
6,0.003928035109614332
7,0.0013794590583226334
8,0.0005945743129511053
9,0.00032786740727412206
10,0.00019476764524976412
11,0.0001558505573484581
12,0.00011658567260989609
13,0.00013008672491802523
14,8.886913868385211e-05
15,7.755255986315508e-05
16,8.539322031235012e-05
17,6.414927823546653e-05
18,6.39655051296965e-05
19,6.477646517547934e-05
20,5.565097065603671e-05
21,5.6121163045948684e-05
22,6.327356034792804e-05
23,5.139621134730987e-05
24,5.739804570718358e-05
25,5.406729421035076e-05
26,4.124555077093343e-05
27,3.933956910865769e-05
28,4.0198767237598076e-05
29,4.153910170619687e-05
30,3.893671752545439e-05
31,4.070405339007266e-05
32,3.490309336484643e-05
33,3.6487508623395115e-05
34,3.219094802868009e-05
35,2.9752296237954095e-05
36,2.6194175764734002e-05
37,2.9833457726150907e-05
38,2.7724084551058088e-05
39,3.0162225508926593e-05
40,2.4124313616387855e-05
41,2.4907352174826276e-05
42,2.569083881098777e-05
43,2.23749375436455e-05
44,2.7966327555380605e-05
45,2.3405231938037712e-05
46,2.042789431773902e-05
47,2.162308343637657e-05
48,2.0325133846199606e-05
49,2.05631067728973e-05
50,1.807966630925269e-05
51,1.727834887788049e-05
52,1.7802564798330422e-05
53,1.73778486593316e-05
54,1.6245025714548927e-05
55,1.5013182822561552e-05
56,1.739180788717931e-05
57,1.4372976617475311e-05
58,1.6712970288305467e-05
59,1.4974411593963547e-05
60,1.3572418007849288e-05
61,1.4004627397904793e-05
62,1.3693634173250757e-05
63,1.3080748431093525e-05
64,1.4676943919766927e-05
65,1.2266068476189199e-05
66,1.3324013252713485e-05
67,1.263236178298636e-05
68,1.2086332693191556e-05
69,1.1762596386688529e-05
70,1.1275786998036589e-05
71,1.0909578046873017e-05
72,1.1551695327701358e-05
73,1.0928029269052786e-05
74,1.0163020344104249e-05
75,1.2046747997374041e-05
76,1.2055743506304376e-05
77,1.155650913157539e-05
78,1.2344339590223777e-05
79,9.126549002758111e-06
80,9.457980316559164e-06
81,1.0759155732860867e-05
82,8.99989125476471e-06
83,8.721810900169658e-06
84,8.896395002011559e-06
85,8.674496560464226e-06
86,9.008461802295642e-06
87,8.992969848501767e-06
88,8.685194188728929e-06
89,8.73487056196609e-06
90,7.695759109083156e-06
91,8.298179712558825e-06
92,8.202338904084172e-06
93,7.812115806397438e-06
94,7.582125211532305e-06
95,7.363908556120198e-06
96,9.408675244534e-06
97,7.127148364816094e-06
98,7.461527275154367e-06
99,6.825230419356861e-06
100,7.299375890094477e-06
