,EpochLoss
0,5.2717922528584795
1,2.2428616682688394
2,0.47511083881060284
3,0.08547865847746532
4,0.10231467833121617
5,0.10897544274727504
6,0.09997657686471939
7,0.09570546448230743
8,0.09048496683438619
9,0.07249909391005833
10,0.0582270547747612
11,0.039855822920799255
12,0.020941936721404392
13,0.015597918691734472
14,0.006006764713674784
15,0.0029115816578269005
16,0.0018480675450215738
17,0.0010102195277189214
18,0.000704944288978974
19,0.0005358427103298405
20,0.0003452429761334012
21,0.00020394298189785331
22,0.000132283120668338
23,0.00010641250022066136
24,9.338675590697676e-05
25,8.430569384169455e-05
26,7.304412914284815e-05
27,6.336424606464182e-05
28,5.533874476289687e-05
29,4.932206017353261e-05
30,4.468116215624226e-05
31,4.265474732771205e-05
32,3.9350690106706075e-05
33,3.678442590171471e-05
34,3.506702220571848e-05
35,3.324760473333299e-05
36,3.1877563742455095e-05
37,3.029634596411294e-05
38,2.905975391816658e-05
39,2.8189528165967204e-05
40,2.707463439340548e-05
41,2.6141906952640664e-05
42,2.513971776352264e-05
43,2.426415509641326e-05
44,2.35971862518151e-05
45,2.2563263579892617e-05
46,2.233660597994458e-05
47,2.121127545251511e-05
48,2.0989803791356582e-05
49,2.0394747480168007e-05
50,1.9771139704971574e-05
51,1.9140670095415164e-05
52,1.894272039256369e-05
53,1.7952717826119624e-05
54,1.7779260209257092e-05
55,1.725218680803664e-05
56,1.7030679979749646e-05
57,1.6680308059828047e-05
58,1.6052104607903555e-05
59,1.5971356030301347e-05
60,1.5625218717711203e-05
61,1.503823871947437e-05
62,1.4601540594109489e-05
63,1.438057612782965e-05
64,1.4275412771288151e-05
65,1.3766620213573333e-05
66,1.3536392240591036e-05
67,1.3511712192363726e-05
68,1.303247396814792e-05
69,1.274489629092083e-05
70,1.2389807731475836e-05
71,1.2257443813723512e-05
72,1.2015215361316223e-05
73,1.1837533444728857e-05
74,1.1658729514844405e-05
75,1.1345502874367716e-05
76,1.1444885785749648e-05
77,1.088264495289574e-05
78,1.0840172762982547e-05
79,1.0844732969417237e-05
80,1.0480083195337405e-05
81,1.0334650445050405e-05
82,9.995278257216947e-06
83,9.919528262495684e-06
84,9.746706382429693e-06
85,9.685746893713562e-06
86,9.450091359515985e-06
87,9.373762016669692e-06
88,9.277777280658484e-06
89,8.985213450311372e-06
90,8.950060267428247e-06
91,8.742427780816797e-06
92,8.666365223083025e-06
93,8.496767198569918e-06
94,8.227487190500446e-06
95,8.22033355992365e-06
96,8.1919650559333e-06
97,8.049403732002247e-06
98,7.852826608238198e-06
99,7.727040762498897e-06
100,7.59362865210278e-06
101,7.614494734298205e-06
102,7.5543791050828686e-06
103,7.340439727461974e-06
104,7.256689059431665e-06
105,7.091049913772925e-06
106,7.140108664316358e-06
107,6.998282363686788e-06
108,6.909106105013052e-06
109,6.7795158429362345e-06
110,6.736177510902053e-06
111,6.735851002304116e-06
112,6.569702842777285e-06
113,6.5029330471588764e-06
114,6.384977496054489e-06
115,6.413611269332857e-06
116,6.211029964712604e-06
117,6.224674507393502e-06
118,6.021700301062083e-06
119,6.044242581992876e-06
120,6.0122668704328435e-06
121,5.881284475132513e-06
122,5.791800049337326e-06
123,5.748626487426615e-06
124,5.667200639436487e-06
125,5.561596481129527e-06
126,5.460061098953399e-06
127,5.4508812657635035e-06
128,5.365522459518009e-06
129,5.323749519448029e-06
130,5.270101761804351e-06
131,5.186680482438533e-06
132,5.119907048841317e-06
133,5.1411448112048674e-06
134,5.12763911804844e-06
135,4.988199937846123e-06
136,4.968737660722884e-06
137,4.908742539555533e-06
138,4.864022685069358e-06
139,4.7410976549144834e-06
140,4.7261011483594e-06
141,4.743615894161242e-06
142,4.620928848453332e-06
143,4.605947651725728e-06
144,4.540458121482516e-06
145,4.4548708804844255e-06
146,4.403620702457071e-06
147,4.367945014867776e-06
148,4.364784975526466e-06
149,4.315279056754662e-06
150,4.32519906704935e-06
151,4.256917388071694e-06
152,4.1935839666014845e-06
153,4.1324950264728004e-06
154,4.15298086409166e-06
155,4.083058532463231e-06
156,4.002049915167542e-06
157,3.9683395698375534e-06
158,3.979865596193122e-06
159,3.8827113257866586e-06
160,3.866839961119695e-06
161,3.839282120073524e-06
162,3.8124321690702345e-06
163,3.7885103362593022e-06
164,3.7550895134093785e-06
165,3.6851317114875806e-06
166,3.6932359914014037e-06
167,3.6180745155434124e-06
168,3.5977213125685617e-06
169,3.5917159948439803e-06
170,3.554210555497169e-06
171,3.4945880997838685e-06
172,3.4839866505838777e-06
173,3.4226810233424962e-06
174,3.4426489037286956e-06
175,3.4396777361204536e-06
176,3.3481652129315385e-06
177,3.326476416987134e-06
178,3.314902793742173e-06
179,3.253366988550018e-06
180,3.2626027556640715e-06
181,3.247038269667731e-06
182,3.1839883831707994e-06
183,3.156929551551002e-06
184,3.0977303140389267e-06
185,3.166420356137678e-06
186,3.0696208644561316e-06
187,3.067497497492392e-06
188,3.0277540948494184e-06
189,2.9907215169563037e-06
190,2.983010972457123e-06
191,2.9965424346301006e-06
192,2.9557449276277716e-06
193,2.918392207599633e-06
194,2.9178112678588755e-06
195,2.8715478492813418e-06
196,2.8035556169925258e-06
197,2.7995157931097006e-06
198,2.7875357773154974e-06
199,2.772012370163187e-06
